power.draw [W], uuid
69.10 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
71.51 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
44.48 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
43.54 W, GPU-f98c80e5-2252-86b9-cc11-1559c8f6947a
69.58 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
71.51 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
44.48 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
43.52 W, GPU-f98c80e5-2252-86b9-cc11-1559c8f6947a
69.58 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
71.51 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
44.48 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
43.52 W, GPU-f98c80e5-2252-86b9-cc11-1559c8f6947a
69.10 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
71.51 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
44.48 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
43.52 W, GPU-f98c80e5-2252-86b9-cc11-1559c8f6947a
69.58 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
71.51 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
44.48 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
43.54 W, GPU-f98c80e5-2252-86b9-cc11-1559c8f6947a
69.58 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
71.51 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
44.48 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
43.54 W, GPU-f98c80e5-2252-86b9-cc11-1559c8f6947a
69.58 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
71.51 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
44.48 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
43.52 W, GPU-f98c80e5-2252-86b9-cc11-1559c8f6947a
70.06 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
72.00 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
60.88 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
58.95 W, GPU-f98c80e5-2252-86b9-cc11-1559c8f6947a
69.58 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
71.51 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
60.40 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
58.95 W, GPU-f98c80e5-2252-86b9-cc11-1559c8f6947a
69.58 W, GPU-a37d1102-1c2c-28a6-26c0-7d26c7ccd233
71.51 W, GPU-a354b174-f373-d227-d895-d0ab24adf75e
60.40 W, GPU-f335b35c-eb52-3114-45c6-83db031398d8
