power.draw [W], uuid
60.64 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
64.51 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
58.22 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
71.25 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.15 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
59.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
64.47 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
53.86 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
70.71 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.10 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
59.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
64.47 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
53.86 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
70.71 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.10 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
59.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
64.47 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
53.86 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
70.71 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.10 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
59.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
64.47 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
53.86 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
71.20 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.10 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
59.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
64.47 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
53.86 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
71.20 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.10 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
45.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
47.57 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
45.66 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
70.71 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.10 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
45.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
47.57 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
45.63 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
71.20 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.10 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
45.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
47.57 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
45.63 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
71.20 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.15 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
45.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
47.57 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
78.93 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
45.63 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
70.71 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.10 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
45.15 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
47.60 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
52.41 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
45.66 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
71.20 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.15 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
44.66 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
46.63 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
49.02 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
45.18 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
71.20 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.15 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
44.69 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
46.63 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
49.02 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
45.18 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
71.20 W, GPU-bd8547a3-7346-917c-980e-ffda10a319d5
74.15 W, GPU-7f1d97c4-4374-4f35-c107-241881703812
44.66 W, GPU-a06a2262-9168-7cef-a1d7-95a14be07307
46.60 W, GPU-c6c73f7a-5f60-07a8-7f77-74903f4aa41a
48.05 W, GPU-d5327a74-60ab-0e40-9939-df6a1f086f2c
45.18 W, GPU-d7e71a82-6a3b-7b93-d874-e3053f4699b4
