power.draw [W], uuid
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
41.25 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
