Running for 3600.0 seconds (7200 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
13:27:10   0.4   0.0   4.6  95.0   0.0    7  13192   7560    9   16    2 102.51 
13:27:11   0.3   0.0   1.4  98.3   0.0    2  30710   7848    0    0    0  91.40 
13:27:11   0.0   0.0   1.1  98.9   0.0    2  28856   3068    2    0    0  91.07 
13:27:12   0.1   0.0   1.5  98.4   0.0    2   9272   7174   12    0    0  91.38 
13:27:12   0.5   0.0   1.2  98.3   0.0    2  14942  10222   14    0    0  95.54 
13:27:13   0.0   0.0   1.1  98.9   0.0    2  19408   2736    0    0    0  90.58 
13:27:13   0.4   0.0   1.3  98.2   0.0    2  19012   5566    0    0    0  94.07 
13:27:14   0.0   0.0   1.1  98.9   0.0    2  17296   5530    0    0    0  91.69 
13:27:14   0.0   0.0   1.1  98.9   0.0    2  15116   6530    6    0    6  92.52 
13:27:15   0.1   0.0   1.0  98.9   0.0    2  22344   2590    0    0    0  90.93 
13:27:15   2.2   0.0   1.1  96.7   0.0    7  11932   4310    0    0    0  98.16 
13:27:16   4.4   0.0   1.0  94.6   0.0    8  11480   7520    0    0    2 103.61 
13:27:16   5.5   0.0   0.7  93.7   0.0    8   4502   3318    0    0    0 104.31 
13:27:17   5.6   0.0   0.6  93.8   0.0    7   4198   3038    0    0    0 104.09 
13:27:17   5.6   0.0   0.6  93.8   0.0    7   4132   3038    0    0    0 104.10 
13:27:18   5.6   0.0   0.5  93.9   0.0    7   3590   2922    0    0    0 103.74 
13:27:18   5.6   0.0   0.6  93.8   0.0    7   3814   3262    0    0    0 103.98 
13:27:19   5.5   0.0   0.7  93.8   0.0    7   3858   3084    0    0    0 103.98 
13:27:19   5.5   0.0   0.7  93.8   0.0    7   3418   2960    0    0    0 103.76 
13:27:20   5.5   0.0   0.6  93.8   0.0    7   3542   2992    0    0    0 103.70 
13:27:20   0.7   0.0   1.0  98.3   0.0    2  19638   6306    0    0    0  93.47 
13:27:21   0.1   0.0   1.3  98.6   0.0    2  17278   5650    0    0   27  91.81 
13:27:21   0.1   0.0   0.6  99.4   0.0    1   5240   2214    0    0   12  84.52 
13:27:22   0.0   0.0   0.3  99.7   0.0    2   3152   1054    0    0    0  80.77 
13:27:22   0.0   0.0   0.4  99.5   0.0    1   3194   1312    0    0    0  81.14 
13:27:23   0.0   0.0   0.4  99.6   0.0    1   3318   1082    0    0    0  80.71 
13:27:23   0.0   0.0   0.4  99.6   0.0    1   3596   1004    0    0    0  80.96 
13:27:24   0.0   0.0   0.4  99.6   0.0    1   3944    988    0    0    0  81.01 
13:27:24   0.0   0.0   0.4  99.6   0.0    2   3856   1094    0    0    0  80.83 
13:27:25   0.0   0.0   0.4  99.6   0.0    2   3326   1036    0    0    0  80.43 
13:27:25   0.0   0.0   0.4  99.6   0.0    1   3840   1564    0    0    0  81.13 
13:27:26   0.0   0.0   0.4  99.6   0.0    2   3566   1086    0    0    0  81.17 
13:27:26   0.0   0.0   0.4  99.6   0.0    2   3226   1260    0    0    0  80.94 
13:27:27   0.1   0.0   0.4  99.5   0.0    2   4298   1522    0    0    0  81.38 
13:27:27   0.0   0.0   0.4  99.6   0.0    1   3442   1088    0    0    0  80.81 
13:27:28   0.0   0.0   0.4  99.6   0.0    2   4820   2696    2    1    0  81.53 
13:27:28   0.0   0.0   0.3  99.6   0.0    1   4222   1626    0    0    2  81.15 
13:27:29   0.0   0.0   0.4  99.6   0.0    1   3334   1206    0    0    0  81.07 
13:27:29   0.0   0.0   0.4  99.6   0.0    1   3470   1170    0    0    0  81.04 
13:27:30   0.0   0.0   0.4  99.6   0.0    1   3714   1046    0    0    0  80.69 
13:27:30   0.0   0.0   0.4  99.5   0.0    2   4138   1428    0    0    0  81.82 
13:27:31   0.0   0.0   0.3  99.6   0.0    2   3974   1618    0    0    0  81.54 
13:27:31   0.0   0.0   0.5  99.5   0.0    1   3746   1148    0    0    0  81.39 
13:27:32   0.0   0.0   0.4  99.6   0.0    1   3462   1158    0    0    0  81.28 
13:27:32   0.0   0.0   0.4  99.6   0.0    2   3286   1094    0    0    0  81.65 
13:27:33   0.0   0.0   0.4  99.5   0.0    1   3324   1192    0    0    0  82.46 
13:27:33   0.0   0.0   0.4  99.6   0.0    1   3282   1108    0    0    0  82.01 
13:27:34   0.0   0.0   0.4  99.6   0.0    1   3152   1086    0    0    0  81.20 
13:27:34   0.0   0.0   0.4  99.5   0.0    1   3886   1336    0    0    0  81.83 
13:27:35   0.0   0.0   0.4  99.6   0.0    1   3808   1226    0    0    0  81.53 
13:27:35   0.0   0.0   0.4  99.6   0.0    2   3632   1198    0    0    0  80.69 
13:27:36   0.0   0.0   0.4  99.6   0.0    2   3590   1226    0    0    0  80.77 
13:27:36   0.7   0.0   0.5  98.8   0.0    3   4898   3192    2    2    2  88.25 
13:27:37   0.8   0.0   4.2  95.1   0.0    7  21056   7768   16   23    2 101.76 
13:27:37   0.3   0.0   2.2  97.5   0.0    2  25804   7962    0    0    0  92.75 
13:27:38   0.0   0.0   1.1  98.9   0.0    2  32138   2960    0    0    0  91.18 
13:27:38   0.0   0.0   1.3  98.7   0.0    2  10348   6866   12    0    0  91.29 
13:27:39   0.3   0.0   1.8  97.9   0.0    2  15502   9398   16    0    0  94.22 
13:27:39   0.1   0.0   1.1  98.9   0.0    2  14644   4022    0    0    0  90.98 
13:27:40   0.1   0.0   1.1  98.8   0.0    2  18960   3556    0    0    0  91.00 
13:27:40   0.3   0.0   1.4  98.3   0.0    2  19618   4932    0    0    0  93.31 
13:27:41   0.1   0.0   1.1  98.8   0.0    2  17438   7546    6    0    6  92.29 
13:27:41   0.1   0.0   1.1  98.9   0.0    2  15236   3586    0    0    0  90.44 
13:27:42   0.1   0.0   1.1  98.8   0.0    6  19076   3876    0    0    0  91.16 
13:27:42   4.6   0.0   1.0  94.4   0.0    7  11316   4148    0    0    0 103.81 
13:27:43   4.9   0.0   0.8  94.3   0.0    8   5022   6760    0    0    0 103.18 
13:27:43   5.7   0.0   0.5  93.8   0.0    8   3792   2774    0    0    0 103.55 
13:27:44   5.6   0.0   0.6  93.9   0.0    8   3746   2898    0    0    0 103.83 
