Running for 3600.0 seconds (7200 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
09:33:09   2.0   0.0  15.8  82.2   0.0    3  20256  11114   39   76    2 123.53 
09:33:09   0.0   0.0   1.0  99.0   0.0    3  36396   4068    0    0    0  91.34 
09:33:10   0.0   0.0   1.0  99.0   0.0    2  34048   4362    0    0    0  91.48 
09:33:10   0.0   0.0   1.1  98.9   0.0    3  33606   4398    0    0    0  91.98 
09:33:11   0.0   0.0   1.1  98.9   0.0    2  32922   4124    0    0    0  91.43 
09:33:11   0.1   0.0   1.0  98.9   0.0    3  24796   2642    2    0    0  88.15 
09:33:12   0.0   0.0   2.2  97.8   0.0    2   4948   1398   12    0    0  83.84 
09:33:12   4.6   0.0   2.8  92.6   0.0   20  25688   3632   23    0    0 102.65 
09:33:13   9.5   0.0   4.7  85.7   0.0    2  24892   6572   51    0    0 128.91 
09:33:13   0.0   0.0   1.0  99.0   0.0    2   1612   5236    0    0    0  83.21 
09:33:14   0.0   0.0   1.0  99.0   0.0    2   2828   6088    0    0    0  83.74 
09:33:14   0.0   0.0   1.2  98.8   0.0    2   2564   5090    0    0    0  83.89 
09:33:15   0.0   0.0   1.1  98.8   0.0    2  21630   2232    0    0    0  87.32 
09:33:15   0.0   0.0   1.0  99.0   0.0    3  18758   1476    0    0    0  85.13 
09:33:16   0.0   0.0   1.2  98.8   0.0    2  25354   2024    0    0    0  87.12 
09:33:16   0.0   0.0   1.0  98.9   0.0    3  22878   1356    0    0    0  85.67 
09:33:17   0.1   0.0   1.1  98.9   0.0    2  23612   1522    0    0    0  86.50 
09:33:17   0.3   0.0   1.1  98.6   0.0    1  21590   2148    0    0    0  86.61 
09:33:18   4.1   0.0   3.3  92.6   0.0   22  23080  11334    0    0    0 110.73 
09:33:18   2.1   0.0   1.4  96.5   0.0    2  24472  13856    0    0    0  96.08 
09:33:19   0.1   0.0   1.0  98.9   0.0    2  21814   8108    0    0    0  90.35 
09:33:19   0.0   0.0   1.0  99.0   0.0    2  21436   7062    0    0    0  89.41 
09:33:20   0.0   0.0   1.0  99.0   0.0    2  21324   7428    0    0    0  89.57 
09:33:20   0.0   0.0   1.2  98.8   0.0    2   2650  11460    0    0    0  85.70 
09:33:21   0.0   0.0   1.0  98.9   0.0    2   9388   9550    0    0   36  86.43 
09:33:21   0.0   0.0   1.1  98.9   0.0    3  24410   2688    0    0    0  87.86 
09:33:22   0.3   0.0   1.2  98.5   0.0    2  11134   4704   36    0    0  87.17 
09:33:22   0.0   0.0   1.0  99.0   0.0    2   1648   5238    0    0    0  83.26 
09:33:23   0.0   0.0   1.0  99.0   0.0    2   1836   5296    0    0    0  83.17 
09:33:23   0.0   0.0   1.3  98.7   0.0    2   9258   3974    0    0    0  85.08 
09:33:24   0.1   0.0   1.1  98.8   0.0    2  26812   2176    0    0    0  87.88 
09:33:24   0.0   0.0   1.0  99.0   0.0    2  17890   1144    0    0    0  84.83 
09:33:25   0.1   0.0   1.0  98.9   0.0    2  23900   1456    0    0    0  86.09 
09:33:25   0.1   0.0   1.1  98.9   0.0    3  22032   1404    0    0    0  85.97 
09:33:26   0.0   0.0   1.1  98.9   0.0    2  23864   1536    0    0    0  86.36 
09:33:26   0.5   0.0   1.2  98.3   0.0    2  17270   9620    0    0    0  89.41 
09:33:27  13.6   0.0   3.2  83.1   0.0   37  21596   6362    0    0    0 135.49 
09:33:27  25.3   0.0   1.7  73.0   0.0   37  10674  31934    0    0    0 151.49 
09:33:28   3.3   0.0   1.3  95.5   0.0    2  21514  22830    0    0    0 100.22 
09:33:28   0.0   0.0   1.0  99.0   0.0    2  20938   6480    0    0    0  89.09 
09:33:29   0.1   0.0   1.0  98.9   0.0    2  22130   7854    0    0    0  89.47 
09:33:29   0.0   0.0   1.0  99.0   0.0    4  21454   7166    0    0    0  89.28 
09:33:30   0.0   0.0   1.0  98.9   0.0    2   5042  11766    0    0    0  86.85 
09:33:30   0.0   0.0   1.0  99.0   0.0    2   7628   9904    0    0   36  86.06 
09:33:31   0.4   0.0   3.1  96.5   0.0    2  23316   8032    0    0   81  91.57 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average   1.5   0.0   1.7  96.8   0.0  4.6 18597.5 6441.0  3.6  1.7  3.4  92.83 
 GeoMean   0.0   0.0   1.3  96.6   0.0  2.7 14436.7 4704.6  0.0  0.0  0.0  91.93 
  StdDev   4.4   0.0   2.3   5.3   0.0  8.0 9356.6 5698.5 11.1 11.2 13.8  14.44 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   0.0   0.0   1.0  73.0   0.0  1.0 1612.0 1144.0  0.0  0.0  0.0  83.17 
 Maximum  25.3   0.0  15.8  99.0   0.0 37.0 36396.0 31934.0 51.0 76.0 81.0 151.49 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  92.83 Watts on average with standard deviation 14.44 
Note: power read from RAPL domains: dram, package-0, dram, package-1.
These readings do not cover all the hardware in this device.
