power.draw [W], uuid
67.77 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
69.75 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
67.77 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
69.75 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
67.77 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
69.75 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
67.77 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
69.79 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
67.77 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
69.79 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
67.77 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
69.79 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
43.18 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
45.15 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
43.15 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
45.15 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
43.18 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
45.15 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
43.15 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
45.15 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
43.18 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
45.15 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
42.22 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
44.18 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
42.22 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
44.18 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
42.22 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
44.18 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
42.22 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
44.18 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
42.22 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
44.18 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
59.07 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
60.60 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
59.07 W, GPU-a131412e-0d10-9336-28aa-f429cc9066f6
60.60 W, GPU-6800773e-6bd9-58a4-3f27-6bd6d5c1521d
