Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:01:58
Number of ranks;32
Ranks per node;32
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987174
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_32n_1ont_2048k_aps
Elapsed Time, s;4.80
SP GFLOPS;21.99
DP GFLOPS;12.40
Average CPU Frequency, GHz;                      2.38
Instructions Per Cycle Rate;1.17
MPI Time, s;1.55
MPI Time, % of Elapsed Time;32.31
MPI Imbalance, s;0.11
MPI Imbalance, % of Elapsed Time;2.34

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;1.30
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;27.00
MPI Hotspot 2 - MPI_Wait, s;0.06
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.27
MPI Hotspot 3 - MPI_Bcast, s;0.06
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;1.26
MPI Hotspot 4 - MPI_Sendrecv, s;0.06
MPI Hotspot 4 - MPI_Sendrecv, % of Elapsed Time;1.26
MPI Hotspot 5 - MPI_Allreduce, s;0.04
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.90
Memory Stalls, % of Pipeline Slots;27.70
Cache Stalls, % of Cycles;15.20
DRAM Stalls, % of Cycles;16.90
DRAM Bandwidth Peak, GB/s;162.30
DRAM Bandwidth Average, GB/s;45.24
DRAM Bandwidth Bound, %;50.10
NUMA, % of Remote Accesses;0.50
Vectorization, %;40.90
SP FLOPs, % of uOps;3.60
Packed, % from SP FP;53.60
SP 128-bit, %;0.00
SP 256-bit, %;2.80
SP 512-bit, %;50.80
SP Scalar, % from SP FP;46.40
DP FLOPs, % of uOps;5.50
DP Packed, % from DP FP;32.50
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;32.50
DP Scalar, % from DP FP;67.50
Non-FP, % of uOps;90.80
FP Arith/Mem Rd Instr. Ratio;0.34
FP Arith/Mem Wr Instr. Ratio;0.87
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         5281.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         5281.00
Per rank
Peak resident set size,MB;          172.00
Peak resident set rank;0
Average resident set size,MB;          165.03
Virtual
Per node
Peak memory consumption,MB;       189350.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       189350.00
Per rank
Peak memory consumption,MB;         5921.00
Peak memory consumption rank;18
Average memory consumption,MB;         5917.19
