Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Wait,MPI_Sendrecv,MPI_Bcast,MPI_Cart_get,MPI_Cart_shift,MPI_Alltoallv,MPI_Waitany,MPI_Init,MPI_Allreduce,MPI_Comm_size,MPI_Comm_dup,MPI_Reduce,MPI_Send,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Finalize,MPI_Irecv,MPI_Comm_free,MPI_Cart_rank,MPI_Comm_rank,MPI_Allgather,Processes,Size
in.rhodo,47.56,15.84,30.9,20.12,41.96,0.37,3.96,9.23,25.5,8.89,0.0,0.0,0.17,0.0,30.19,12.73,0.0,0.03,0.0,0.14,1.27,8.81,2.69,0.0,0.0,0.0,0.0,0.0,0.35,2.0,2048.0
in.rhodo,50.74,1.22,38.33,37.43,50.21,0.03,338.06,70.47,3.25,0.33,0.0,0.0,0.03,0.21,0.6,19.35,0.0,0.0,0.0,5.46,0.02,0.17,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2048.0
in.rhodo,50.76,2.16,44.4,42.67,49.09,0.07,396.81,69.8,2.78,0.62,0.0,0.0,0.02,1.33,1.29,19.77,0.0,0.0,0.0,4.02,0.02,0.23,0.08,0.01,0.02,0.0,0.0,0.0,0.0,8.0,2048.0
in.rhodo,51.46,3.57,47.5,44.78,48.86,0.21,434.99,51.17,1.96,1.16,0.0,0.0,0.11,19.23,2.54,20.01,0.0,0.0,0.0,3.56,0.01,0.15,0.07,0.01,0.02,0.0,0.0,0.0,0.0,16.0,2048.0
in.rhodo,55.23,8.28,51.1,44.48,47.28,0.6,517.25,36.7,0.94,2.3,0.0,0.0,0.25,28.51,8.56,20.15,0.0,0.01,0.0,2.25,0.01,0.04,0.14,0.03,0.03,0.0,0.0,0.0,0.08,32.0,2048.0
in.rhodo,63.3,17.66,55.2,40.2,42.13,1.14,704.93,25.69,0.36,1.21,0.0,0.0,0.8,29.76,20.35,20.14,0.0,0.01,0.0,1.42,0.01,0.11,0.03,0.07,0.04,0.0,0.0,0.0,0.0,64.0,2048.0
in.rhodo-double,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.74,0.0,0.0,1.35,0.0,66.08,4.57,0.0,0.54,0.01,0.0,0.08,0.03,0.05,24.67,0.0,1.84,0.0,0.01,0.01,1.0,32.0
in.rhodo-double,24.5,23.78,24.14,11.31,11.5,11.12,31.17,26.4,2.36,1.22,0.0,0.0,0.0,16.96,3.9,42.81,0.0,0.52,0.0,5.29,0.0,0.0,0.01,0.08,0.01,0.0,0.0,0.0,0.44,2.0,32.0
in.rhodo-double,65.8,31.74,49.12,39.47,62.83,15.24,72.64,44.73,1.85,1.76,0.0,0.0,0.39,12.11,1.77,34.67,0.0,0.0,0.0,2.25,0.14,0.15,0.0,0.13,0.02,0.0,0.0,0.0,0.03,4.0,32.0
in.rhodo-double,70.65,39.65,63.6,52.26,64.02,17.26,110.78,54.4,1.83,5.57,0.0,0.0,0.01,17.81,2.74,16.78,0.0,0.01,0.0,0.46,0.35,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,8.0,32.0
in.rhodo-double,74.57,41.15,69.32,56.12,62.45,17.46,145.74,39.1,0.37,5.81,0.0,0.0,0.02,30.34,7.24,16.24,0.0,0.01,0.0,0.65,0.01,0.01,0.0,0.03,0.06,0.0,0.0,0.0,0.11,16.0,32.0
in.rhodo-double,87.11,63.96,84.33,68.54,72.64,27.02,365.79,21.71,1.47,9.28,0.0,0.0,1.31,25.72,10.3,29.39,0.0,0.01,0.0,0.44,0.23,0.03,0.0,0.04,0.05,0.0,0.0,0.0,0.0,32.0,32.0
in.rhodo-double,91.96,72.8,88.83,62.84,65.12,26.46,663.3,12.58,0.61,6.3,0.0,0.0,0.53,28.02,21.94,28.09,0.0,0.01,0.0,0.53,0.37,0.37,0.37,0.22,0.06,0.0,0.0,0.0,0.0,64.0,32.0
in.rhodo-double,0.06,0.06,0.06,0.0,0.0,0.0,0.08,0.0,0.0,0.23,0.01,0.0,3.38,0.0,62.33,2.97,0.0,0.25,0.69,0.0,0.14,0.06,0.04,27.82,0.0,2.04,0.0,0.01,0.01,1.0,256.0
in.rhodo-double,15.63,12.37,14.0,6.64,7.76,5.52,22.17,28.68,1.21,2.72,0.0,0.0,0.18,9.88,5.04,34.12,0.0,0.01,0.0,17.06,0.12,0.75,0.04,0.01,0.01,0.0,0.0,0.0,0.18,2.0,256.0
in.rhodo-double,62.49,26.88,45.0,37.47,60.71,12.44,84.19,43.95,1.47,5.33,0.0,0.0,0.01,10.95,1.44,27.68,0.0,0.0,0.0,8.46,0.0,0.27,0.19,0.23,0.01,0.0,0.0,0.0,0.03,4.0,256.0
in.rhodo-double,69.78,39.95,61.98,54.3,66.14,18.65,145.27,42.49,1.99,5.3,0.0,0.0,0.12,14.53,2.15,31.06,0.0,0.28,0.0,1.46,0.13,0.31,0.01,0.03,0.01,0.0,0.0,0.0,0.14,8.0,256.0
in.rhodo-double,68.94,37.7,62.78,53.3,59.81,15.25,145.57,35.05,1.87,9.12,0.0,0.0,0.57,19.59,7.23,24.35,0.0,0.01,0.0,0.97,0.01,0.28,0.63,0.29,0.02,0.0,0.0,0.0,0.0,16.0,256.0
in.rhodo-double,80.47,57.48,76.41,60.95,65.17,21.65,283.05,18.32,2.03,17.71,0.0,0.0,1.06,12.21,13.31,29.65,0.0,2.24,0.0,0.53,0.01,0.48,0.13,0.36,0.02,0.0,0.0,0.0,1.94,32.0,256.0
in.rhodo-double,86.92,63.12,79.88,45.8,48.74,14.32,413.31,13.49,1.07,7.38,0.0,0.0,3.76,12.19,35.95,22.52,0.0,0.32,0.0,0.51,0.81,1.24,0.01,0.36,0.03,0.0,0.0,0.0,0.38,64.0,256.0
in.rhodo-double,0.02,0.02,0.02,0.0,0.0,0.0,0.11,0.0,0.0,0.62,0.0,0.0,4.7,0.0,58.4,2.82,0.0,0.46,0.02,0.0,0.1,0.08,0.03,31.76,0.0,0.97,0.0,0.01,0.01,1.0,864.0
in.rhodo-double,6.4,5.33,5.87,2.65,2.99,2.31,28.7,28.09,2.08,5.21,0.0,0.0,0.31,13.48,3.97,28.39,0.0,0.01,0.0,17.53,0.07,0.64,0.11,0.09,0.01,0.0,0.0,0.0,0.02,2.0,864.0
in.rhodo-double,55.85,12.08,33.92,30.66,54.72,5.22,178.45,55.95,2.28,4.55,0.0,0.0,0.0,5.75,0.68,19.53,0.0,0.14,0.0,10.44,0.02,0.25,0.15,0.05,0.01,0.0,0.0,0.0,0.18,4.0,864.0
in.rhodo-double,59.82,18.83,49.6,45.52,57.73,9.71,290.45,55.62,2.94,2.97,0.0,0.0,0.02,9.46,1.07,19.47,0.0,0.0,0.0,7.89,0.06,0.32,0.11,0.01,0.03,0.0,0.0,0.0,0.0,8.0,864.0
in.rhodo-double,61.41,22.38,55.82,50.97,57.46,9.49,343.86,39.86,1.7,4.48,0.0,0.0,2.54,18.56,3.04,26.71,0.0,0.0,0.0,2.03,0.1,0.69,0.2,0.01,0.02,0.0,0.0,0.0,0.05,16.0,864.0
in.rhodo-double,67.54,30.51,62.67,54.08,58.22,11.66,458.17,26.9,0.78,12.51,0.0,0.0,1.44,22.33,8.06,26.15,0.0,0.01,0.0,0.97,0.01,0.59,0.14,0.03,0.02,0.0,0.0,0.0,0.07,32.0,864.0
in.rhodo-double,78.48,49.86,72.6,55.14,58.11,16.71,839.11,20.19,1.36,2.41,0.0,0.0,3.26,20.33,17.53,31.63,0.0,0.55,0.0,0.71,0.21,0.75,0.5,0.15,0.02,0.0,0.0,0.0,0.4,64.0,864.0
