Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Allreduce,MPI_Send,MPI_Bcast,MPI_Reduce,MPI_Comm_free,MPI_Allgather,MPI_Finalize,MPI_Wait,MPI_Comm_size,MPI_Init,MPI_Comm_dup,MPI_Comm_rank,MPI_Reduce_scatter,MPI_Scan,MPI_Sendrecv,MPI_Irecv,MPI_Cart_shift,MPI_Waitany,MPI_Cart_get,MPI_Cart_rank,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Alltoallv,Processes,Size
in.chute-long,22.29,12.96,18.18,6.77,11.29,1.9,6.88,37.61,5.14,2.22,0.0,0.0,0.0,0.07,11.48,0.0,42.69,0.0,0.0,0.02,0.0,0.43,0.28,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,4.0,32.0
in.chute-long,39.43,22.28,33.35,10.1,14.75,2.6,15.74,30.64,4.07,2.63,0.0,0.0,0.0,0.08,10.06,0.0,51.83,0.0,0.0,0.0,0.0,0.37,0.28,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,8.0,32.0
in.chute-long,54.69,44.74,49.59,5.61,10.81,2.16,34.17,16.55,3.28,2.1,0.0,0.0,0.0,0.1,9.33,0.0,67.89,0.0,0.0,0.0,0.0,0.42,0.25,0.0,0.0,0.0,0.0,0.07,0.0,0.01,0.0,16.0,32.0
in.chute-long,77.61,60.87,66.12,2.93,9.72,0.12,70.84,10.76,1.64,2.13,0.0,0.0,0.0,0.2,5.83,0.0,78.88,0.0,0.0,0.0,0.0,0.3,0.21,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,32.0,32.0
in.chute-long,88.22,79.75,83.4,1.28,2.58,0.1,191.5,6.09,1.02,0.4,0.0,0.0,0.0,0.26,3.61,0.0,88.2,0.0,0.0,0.0,0.0,0.24,0.14,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,64.0,32.0
in.chute-long,8.46,4.44,6.38,2.1,3.24,0.92,7.97,33.1,10.87,2.4,0.0,0.0,0.0,0.07,21.45,0.0,31.29,0.0,0.0,0.0,0.0,0.44,0.34,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,4.0,256.0
in.chute-long,13.94,8.22,11.0,2.97,5.48,0.7,14.96,27.43,6.68,3.03,0.0,0.0,0.0,0.09,15.36,0.0,46.48,0.0,0.0,0.01,0.0,0.55,0.32,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,8.0,256.0
in.chute-long,29.6,16.39,23.16,6.61,12.18,1.9,36.94,32.31,3.79,2.17,0.0,0.0,0.0,0.1,11.47,0.0,49.3,0.0,0.0,0.0,0.0,0.54,0.26,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,16.0,256.0
in.chute-long,48.58,30.23,38.95,5.84,16.38,0.88,82.54,22.51,2.74,1.83,0.0,0.0,0.0,0.15,8.21,0.0,63.86,0.0,0.0,0.0,0.0,0.39,0.25,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,32.0,256.0
in.chute-long,70.11,54.79,62.09,4.95,12.38,0.67,215.78,14.73,1.32,0.6,0.0,0.0,0.0,0.22,4.78,0.0,77.91,0.0,0.0,0.01,0.0,0.26,0.14,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,64.0,256.0
in.chute-long,6.95,3.23,4.82,1.42,2.32,0.55,13.32,30.47,11.2,1.28,0.0,0.0,0.0,0.05,19.91,0.0,36.2,0.0,0.0,0.01,0.0,0.57,0.3,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,4.0,864.0
in.chute-long,8.84,4.68,7.31,2.63,4.22,0.61,21.64,37.4,7.45,1.98,0.0,0.0,0.0,0.06,16.15,0.0,36.09,0.0,0.0,0.01,0.0,0.48,0.34,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,8.0,864.0
in.chute-long,18.21,9.04,14.46,5.17,8.96,1.0,48.33,39.68,5.08,1.59,0.0,0.0,0.0,0.08,16.37,0.0,36.03,0.0,0.0,0.0,0.0,0.81,0.34,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,16.0,864.0
in.chute-long,34.27,19.01,26.0,5.1,12.93,0.89,103.13,28.64,3.43,1.63,0.0,0.0,0.0,0.12,10.64,0.0,54.59,0.0,0.0,0.0,0.0,0.65,0.26,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,32.0,864.0
in.chute-long,52.08,37.92,45.4,6.11,13.0,0.62,250.87,19.61,2.12,1.04,0.0,0.0,0.0,0.2,7.2,0.0,69.21,0.0,0.0,0.0,0.0,0.35,0.24,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,64.0,864.0
