Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:47:14
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987203
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.timer_16n_1ont_32k_aps
Elapsed Time, s;1.50
SP GFLOPS;0.00
DP GFLOPS;0.01
Average CPU Frequency, GHz;                      1.47
Instructions Per Cycle Rate;1.52
MPI Time, s;0.74
MPI Time, % of Elapsed Time;49.10
MPI Imbalance, s;0.03
MPI Imbalance, % of Elapsed Time;2.27

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.67
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;44.71
MPI Hotspot 2 - MPI_Bcast, s;0.05
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;3.25
MPI Hotspot 3 - MPI_Wait, s;0.01
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;0.35
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.30
MPI Hotspot 5 - MPI_Finalize, s;0.00
MPI Hotspot 5 - MPI_Finalize, % of Elapsed Time;0.17
Memory Stalls, % of Pipeline Slots;12.40
Cache Stalls, % of Cycles;14.20
DRAM Stalls, % of Cycles;1.00
DRAM Bandwidth Peak, GB/s;61.18
DRAM Bandwidth Average, GB/s;2.55
DRAM Bandwidth Bound, %;1.60
NUMA, % of Remote Accesses;1.70
Vectorization, %;0.00
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;0.00
Non-FP, % of uOps;100.00
FP Arith/Mem Rd Instr. Ratio;0.00
FP Arith/Mem Wr Instr. Ratio;0.00
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         2046.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         2046.00
Per rank
Peak resident set size,MB;          131.00
Peak resident set rank;0
Average resident set size,MB;          127.88
Virtual
Per node
Peak memory consumption,MB;        62950.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        62950.00
Per rank
Peak memory consumption,MB;         3938.00
Peak memory consumption rank;15
Average memory consumption,MB;         3934.38
