Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:15:42
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987297
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.eam.timer_8n_1ont_32k_aps
Elapsed Time, s;1.31
SP GFLOPS;5.09
DP GFLOPS;1.72
Average CPU Frequency, GHz;                      1.42
Instructions Per Cycle Rate;0.78
MPI Time, s;0.45
MPI Time, % of Elapsed Time;33.93
MPI Imbalance, s;0.02
MPI Imbalance, % of Elapsed Time;1.48

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.39
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;29.55
MPI Hotspot 2 - MPI_Wait, s;0.02
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.85
MPI Hotspot 3 - MPI_Bcast, s;0.02
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;1.49
MPI Hotspot 4 - MPI_Send, s;0.01
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;0.43
MPI Hotspot 5 - MPI_Allreduce, s;0.00
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.25
Memory Stalls, % of Pipeline Slots;24.60
Cache Stalls, % of Cycles;23.90
DRAM Stalls, % of Cycles;1.30
DRAM Bandwidth Peak, GB/s;29.37
DRAM Bandwidth Average, GB/s;1.56
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;7.20
Vectorization, %;91.20
SP FLOPs, % of uOps;3.90
Packed, % from SP FP;100.00
SP 128-bit, %;1.10
SP 256-bit, %;0.00
SP 512-bit, %;98.90
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;3.20
DP Packed, % from DP FP;80.30
DP 128-bit, %;0.00
DP 256-bit, %;0.50
DP 512-bit, %;79.80
DP Scalar, % from DP FP;19.70
Non-FP, % of uOps;92.90
FP Arith/Mem Rd Instr. Ratio;0.40
FP Arith/Mem Wr Instr. Ratio;0.80
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1014.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1014.00
Per rank
Peak resident set size,MB;          129.00
Peak resident set rank;2
Average resident set size,MB;          126.75
Virtual
Per node
Peak memory consumption,MB;        26098.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        26098.00
Per rank
Peak memory consumption,MB;         3264.00
Peak memory consumption rank;2
Average memory consumption,MB;         3262.25
