Benchmark,MPI_(%),MPI_Time,MPI_Comm_size,MPI_Allreduce,MPI_Cart_get,MPI_Bcast,MPI_Barrier,MPI_Cart_shift,MPI_Allgather,MPI_Finalize,MPI_Cart_rank,MPI_Scan,MPI_Comm_free,MPI_Init,MPI_Send,MPI_Alltoall,MPI_Reduce,MPI_Alltoallv,MPI_Wait,MPI_Sendrecv,MPI_Waitany,MPI_Comm_dup,MPI_Cart_create,MPI_Reduce_scatter,MPI_Comm_rank,MPI_Irecv,Processes,Size
in.chain,38.27,49.75,0.0,44.42,0.0,3.3,0.01,0.0,0.0,0.06,0.0,0.0,0.0,17.38,1.95,0.02,0.34,0.06,24.34,7.71,0.0,0.0,0.38,0.0,0.0,0.02,16.0,2048.0
in.chain,34.55,59.65,0.0,33.14,0.0,4.6,0.02,0.0,0.0,0.13,0.0,0.0,0.0,36.34,0.31,0.53,0.0,0.18,16.65,8.06,0.0,0.0,0.03,0.0,0.0,0.02,32.0,2048.0
in.chain,25.62,75.15,0.0,24.34,0.0,2.42,0.05,0.0,0.0,0.19,0.0,0.0,0.0,61.58,0.2,0.08,0.0,0.67,6.98,3.44,0.0,0.0,0.03,0.0,0.0,0.01,64.0,2048.0
in.chute,0.0,12.84,0.0,0.23,0.01,0.2,0.02,0.01,0.0,2.5,0.01,0.0,0.03,96.77,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.19,0.02,0.0,0.0,1.0,32.0
in.chute,11.05,70.48,0.0,12.26,0.0,10.65,0.05,0.0,0.0,1.04,0.0,0.0,0.0,74.6,0.13,0.0,0.0,0.0,1.14,0.03,0.0,0.0,0.08,0.0,0.0,0.01,2.0,32.0
in.chute,19.63,77.69,0.0,10.12,0.0,15.99,0.01,0.0,0.0,0.73,0.0,0.0,0.0,71.3,0.16,0.0,0.02,0.0,1.58,0.03,0.0,0.0,0.04,0.0,0.0,0.01,4.0,32.0
in.chute,14.63,87.11,0.0,5.84,0.0,13.5,0.03,0.0,0.0,0.23,0.0,0.0,0.0,79.43,0.15,0.0,0.0,0.0,0.7,0.02,0.0,0.0,0.06,0.03,0.0,0.01,8.0,32.0
in.chute,7.8,93.4,0.0,0.95,0.0,8.47,0.01,0.0,0.0,1.34,0.0,0.0,0.0,88.68,0.13,0.0,0.0,0.0,0.33,0.02,0.0,0.0,0.05,0.0,0.0,0.0,16.0,32.0
in.chute,5.78,95.44,0.0,0.78,0.0,6.29,0.01,0.0,0.0,0.28,0.0,0.0,0.0,92.19,0.08,0.0,0.0,0.0,0.28,0.02,0.0,0.0,0.06,0.0,0.0,0.0,32.0,32.0
in.chute,3.2,97.15,0.0,1.39,0.0,2.3,0.01,0.0,0.0,0.32,0.0,0.0,0.0,95.69,0.07,0.0,0.0,0.0,0.14,0.03,0.0,0.0,0.04,0.01,0.0,0.0,64.0,32.0
in.chute,0.0,4.2,0.0,0.49,0.01,0.25,0.03,0.01,0.0,2.91,0.01,0.0,0.03,95.95,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.24,0.02,0.0,0.0,1.0,256.0
in.chute,16.35,54.42,0.0,28.31,0.0,8.42,0.03,0.0,0.0,0.77,0.0,0.0,0.0,57.55,0.17,0.0,0.0,0.0,4.62,0.08,0.0,0.0,0.04,0.0,0.0,0.0,2.0,256.0
in.chute,26.5,60.13,0.0,29.83,0.0,12.77,0.05,0.0,0.0,0.24,0.0,0.0,0.0,51.16,0.37,0.0,0.0,0.0,3.81,1.66,0.0,0.0,0.07,0.03,0.0,0.01,4.0,256.0
in.chute,21.19,77.3,0.0,15.82,0.0,14.15,0.03,0.0,0.0,0.39,0.0,0.0,0.0,68.96,0.19,0.0,0.0,0.0,0.35,0.02,0.0,0.0,0.05,0.02,0.0,0.01,8.0,256.0
in.chute,11.93,89.61,0.0,4.63,0.0,7.8,0.01,0.0,0.0,0.25,0.0,0.0,0.0,84.5,0.1,0.0,0.0,0.0,0.37,1.17,0.0,0.0,1.13,0.0,0.0,0.04,16.0,256.0
in.chute,10.14,92.37,0.0,3.56,0.0,7.91,0.01,0.0,0.0,0.31,0.0,0.0,0.0,86.76,0.1,0.0,0.0,0.0,0.2,0.03,0.0,0.0,1.12,0.01,0.0,0.01,32.0,256.0
in.chute,4.75,96.34,0.0,2.65,0.0,2.69,0.01,0.0,0.0,0.31,0.0,0.0,0.0,93.89,0.09,0.0,0.0,0.0,0.29,0.03,0.0,0.0,0.04,0.01,0.0,0.0,64.0,256.0
in.chute,0.0,1.98,0.0,1.85,0.01,1.21,0.05,0.01,0.0,10.14,0.01,0.0,0.02,86.38,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.27,0.02,0.0,0.0,1.0,864.0
in.chute,18.22,39.68,0.0,42.36,0.0,6.58,0.62,0.0,0.0,0.08,0.0,0.0,0.0,43.72,0.75,0.0,0.0,0.0,5.34,0.46,0.0,0.0,0.07,0.0,0.0,0.01,2.0,864.0
in.chute,29.0,55.66,0.0,35.99,0.0,10.17,1.05,0.0,0.0,0.47,0.0,0.0,0.0,40.01,0.4,0.0,0.0,0.0,11.75,0.11,0.0,0.0,0.03,0.0,0.0,0.02,4.0,864.0
in.chute,28.04,65.49,0.0,33.32,0.0,11.56,0.02,0.0,0.0,0.37,0.0,0.0,0.0,52.38,0.29,0.0,0.0,0.0,0.52,0.04,0.0,0.0,0.06,1.44,0.0,0.01,8.0,864.0
in.chute,20.0,79.26,0.0,14.48,0.0,11.07,0.01,0.0,0.0,0.31,0.0,0.0,0.0,71.74,0.21,0.0,0.0,0.0,2.03,0.05,0.0,0.0,0.07,0.0,0.0,0.01,16.0,864.0
in.chute,10.8,91.04,0.0,5.61,0.0,6.45,0.28,0.0,0.0,0.23,0.0,0.0,0.0,86.1,0.13,0.0,0.0,0.0,1.1,0.03,0.0,0.0,0.06,0.0,0.0,0.01,32.0,864.0
in.chute,5.83,95.3,0.0,3.23,0.0,2.84,0.63,0.0,0.0,0.3,0.0,0.0,0.0,92.69,0.08,0.0,0.0,0.0,0.15,0.03,0.0,0.0,0.03,0.01,0.0,0.0,64.0,864.0
in.chute,0.0,1.02,0.0,1.95,0.07,1.22,0.05,0.01,0.0,10.42,0.01,0.0,0.04,85.88,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.28,0.03,0.0,0.0,1.0,2048.0
in.chute,19.76,31.79,0.0,57.24,0.0,4.81,0.46,0.0,0.0,0.06,0.0,0.0,0.0,33.7,0.21,0.0,0.0,0.0,1.8,1.66,0.0,0.0,0.04,0.0,0.0,0.01,2.0,2048.0
in.chute,30.6,48.75,0.0,53.24,0.0,7.07,0.01,0.0,0.0,0.3,0.0,0.0,0.0,30.16,0.5,0.0,0.0,0.0,7.98,0.68,0.0,0.0,0.04,0.0,0.0,0.02,4.0,2048.0
in.chute,29.33,63.85,0.0,34.89,0.0,10.44,0.03,0.0,0.0,0.24,0.0,0.0,0.0,48.81,0.41,0.0,0.0,0.0,4.5,0.62,0.0,0.0,0.04,0.02,0.0,0.01,8.0,2048.0
in.chute,23.62,74.72,0.0,19.93,0.0,10.49,0.59,0.0,0.0,0.19,0.0,0.0,0.0,64.89,0.3,0.0,0.0,0.0,3.51,0.03,0.0,0.0,0.05,0.02,0.0,0.01,16.0,2048.0
in.chute,15.41,85.8,0.0,10.18,0.0,7.53,0.01,0.0,0.0,0.25,0.0,0.0,0.0,79.41,0.17,0.0,0.0,0.0,1.81,0.57,0.0,0.0,0.06,0.0,0.0,0.01,32.0,2048.0
in.chute,7.64,93.1,0.0,5.07,0.0,2.74,0.01,0.0,0.0,0.32,0.0,0.0,0.0,90.39,0.12,0.0,0.01,0.0,0.52,0.23,0.0,0.0,0.04,0.53,0.0,0.01,64.0,2048.0
in.eam,0.0,3.64,0.0,0.2,0.01,0.19,0.03,0.01,0.0,2.88,0.01,0.02,0.03,96.36,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1.0,32.0
in.eam,17.07,51.52,0.0,1.02,0.0,0.64,0.03,0.0,0.0,0.69,0.0,0.0,0.0,54.46,3.19,0.0,0.0,0.0,37.89,2.05,0.0,0.0,0.02,0.0,0.0,0.01,2.0,32.0
in.eam,22.57,63.79,0.0,0.44,0.0,2.06,0.01,0.0,0.0,0.21,0.0,0.03,0.0,56.27,0.51,0.0,0.0,0.0,40.24,0.17,0.0,0.0,0.03,0.0,0.0,0.02,4.0,32.0
in.eam,18.65,80.06,0.0,0.12,0.0,4.26,0.01,0.0,0.0,0.22,0.0,0.0,0.0,71.67,0.36,0.0,0.0,0.0,23.21,0.11,0.0,0.0,0.02,0.0,0.0,0.03,8.0,32.0
in.eam,13.41,87.69,0.0,0.78,0.0,2.03,0.01,0.0,0.0,0.45,0.0,0.01,0.0,79.9,0.36,0.0,0.0,0.0,16.23,0.1,0.0,0.0,0.1,0.0,0.0,0.03,16.0,32.0
in.eam,4.55,96.06,0.0,0.63,0.0,1.27,0.01,0.0,0.0,1.18,0.0,0.01,0.0,92.03,0.17,0.0,0.0,0.0,4.6,0.04,0.0,0.0,0.04,0.0,0.0,0.01,32.0,32.0
in.eam,3.02,98.57,0.0,1.03,0.0,0.77,0.01,0.0,0.0,0.32,0.0,0.01,0.0,95.46,0.12,0.0,0.01,0.0,2.03,0.04,0.0,0.0,0.18,0.0,0.0,0.01,64.0,32.0
in.eam,0.0,0.57,0.0,1.41,0.01,0.2,0.9,0.01,0.0,9.71,0.01,0.02,0.02,87.44,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,1.0,256.0
in.eam,21.69,29.31,0.0,2.12,0.0,0.28,0.01,0.0,0.0,0.27,0.0,0.0,0.0,20.48,1.55,0.0,0.0,0.0,73.99,1.28,0.0,0.0,0.01,0.0,0.0,0.01,2.0,256.0
in.eam,30.89,42.1,0.0,0.93,0.0,0.53,0.03,0.0,0.0,0.06,0.0,0.0,0.0,18.7,1.88,0.0,0.01,0.0,76.49,1.35,0.0,0.0,0.01,0.0,0.0,0.02,4.0,256.0
in.eam,34.95,52.57,0.0,3.02,0.0,1.05,0.01,0.0,0.0,0.2,0.0,0.01,0.0,23.9,1.24,0.0,0.0,0.0,68.78,1.74,0.0,0.0,0.01,0.0,0.0,0.03,8.0,256.0
in.eam,29.42,65.28,0.0,3.12,0.0,1.35,0.01,0.0,0.0,0.17,0.0,0.01,0.0,47.89,0.47,0.0,0.0,0.0,44.6,2.35,0.0,0.0,0.01,0.0,0.0,0.03,16.0,256.0
in.eam,18.89,81.65,0.0,3.0,0.0,1.38,0.44,0.0,0.0,0.23,0.0,0.01,0.0,72.55,0.3,0.0,0.67,0.0,20.4,0.96,0.0,0.0,0.04,0.0,0.0,0.02,32.0,256.0
in.eam,7.63,92.7,0.0,0.76,0.0,0.76,0.01,0.0,0.0,0.77,0.0,0.01,0.0,88.75,0.18,0.0,0.0,0.0,8.68,0.06,0.0,0.0,0.03,0.0,0.0,0.01,64.0,256.0
in.eam,0.0,0.19,0.0,1.22,0.01,0.96,0.06,0.01,0.0,8.56,0.01,0.02,0.02,88.91,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,864.0
in.eam,24.25,26.67,0.0,1.31,0.0,0.03,0.01,0.0,0.0,0.08,0.0,0.0,0.0,6.74,0.68,0.0,0.0,0.0,88.54,2.61,0.0,0.0,0.0,0.0,0.0,0.01,2.0,864.0
in.eam,34.98,39.07,0.0,1.97,0.0,0.4,0.0,0.0,0.0,0.24,0.0,0.0,0.0,6.45,17.0,0.0,0.0,0.0,71.25,2.66,0.0,0.0,0.0,0.0,0.0,0.02,4.0,864.0
in.eam,36.85,46.34,0.0,3.76,0.0,0.35,0.0,0.0,0.0,0.07,0.0,0.0,0.0,14.57,0.69,0.0,0.27,0.0,78.09,2.16,0.0,0.0,0.01,0.0,0.0,0.03,8.0,864.0
in.eam,36.11,53.57,0.0,6.95,0.0,0.57,0.0,0.0,0.0,0.07,0.0,0.0,0.0,24.41,0.96,0.0,0.0,0.0,65.26,1.72,0.0,0.0,0.02,0.0,0.0,0.04,16.0,864.0
in.eam,29.87,64.49,0.0,6.84,0.0,0.89,0.01,0.0,0.0,0.68,0.0,0.01,0.0,45.97,0.48,0.0,0.44,0.0,44.19,0.45,0.0,0.0,0.01,0.0,0.0,0.04,32.0,864.0
in.eam,18.96,81.82,0.0,3.47,0.0,0.56,0.48,0.0,0.0,0.23,0.0,0.01,0.0,71.93,0.25,0.0,0.0,0.0,22.67,0.37,0.0,0.0,0.02,0.0,0.0,0.02,64.0,864.0
