Benchmark,MPI_(%),MPI_Time,MPI_Comm_size,MPI_Allreduce,MPI_Cart_get,MPI_Bcast,MPI_Barrier,MPI_Cart_shift,MPI_Allgather,MPI_Finalize,MPI_Cart_rank,MPI_Scan,MPI_Comm_free,MPI_Init,MPI_Send,MPI_Alltoall,MPI_Reduce,MPI_Alltoallv,MPI_Wait,MPI_Sendrecv,MPI_Waitany,MPI_Comm_dup,MPI_Cart_create,MPI_Reduce_scatter,MPI_Comm_rank,MPI_Irecv,Processes,Size
in.lj,28.79,63.5,0.0,1.38,0.0,0.99,0.5,0.0,0.0,0.16,0.0,0.0,0.0,47.08,0.95,0.0,0.0,0.0,46.87,1.97,0.0,0.0,0.03,0.0,0.0,0.06,32.0,2048.0
in.lj,19.29,79.96,0.0,1.02,0.0,0.58,0.01,0.0,0.0,0.64,0.0,0.01,0.0,70.31,0.39,0.0,0.0,0.0,25.94,1.05,0.0,0.0,0.02,0.0,0.0,0.03,64.0,2048.0
in.rhodo,0.0,0.27,0.0,3.9,0.0,0.24,0.51,0.0,0.01,5.07,0.0,0.0,1.51,87.0,0.0,0.03,0.02,1.29,0.0,0.0,0.0,0.26,0.13,0.0,0.01,0.0,1.0,32.0
in.rhodo,23.97,27.15,0.0,16.61,0.0,1.27,0.08,0.0,0.0,0.07,0.0,0.0,0.0,6.08,0.77,0.08,0.0,0.0,71.56,1.82,1.61,0.01,0.02,0.0,0.0,0.02,2.0,32.0
in.rhodo,35.23,40.89,0.0,16.19,0.0,2.79,0.0,0.0,0.0,0.01,0.0,0.0,0.0,4.09,1.48,0.09,0.0,0.0,69.43,1.75,4.06,0.01,0.01,0.0,0.0,0.08,4.0,32.0
in.rhodo,39.9,49.82,0.0,21.42,0.0,3.72,0.0,0.0,0.01,0.06,0.0,0.0,0.0,9.65,1.16,0.01,0.0,0.01,59.1,1.38,3.37,0.02,0.02,0.0,0.0,0.06,8.0,32.0
in.rhodo,41.52,58.61,0.0,17.39,0.0,5.73,0.0,0.0,0.01,0.07,0.0,0.0,0.0,15.13,1.33,0.01,0.0,0.06,35.96,1.47,22.66,0.03,0.02,0.0,0.0,0.12,16.0,32.0
in.rhodo,38.03,69.56,0.0,20.0,0.0,7.79,0.0,0.0,0.19,0.1,0.0,0.0,0.0,31.96,1.32,0.32,0.0,0.11,20.63,0.12,17.26,0.04,0.05,0.0,0.0,0.12,32.0,32.0
in.rhodo,28.18,79.44,0.0,12.43,0.0,3.53,0.01,0.0,0.27,0.17,0.0,0.0,0.0,53.14,1.25,0.12,0.0,0.89,13.35,0.31,14.31,0.04,0.02,0.0,0.0,0.15,64.0,32.0
in.rhodo,0.0,0.13,0.0,2.92,0.01,1.1,0.08,0.01,0.03,7.75,0.0,0.0,1.61,81.46,0.0,0.07,0.03,3.79,0.0,0.0,0.0,0.86,0.27,0.0,0.01,0.0,1.0,256.0
in.rhodo,24.42,26.38,0.0,17.6,0.0,1.12,0.1,0.0,0.0,0.05,0.0,0.0,0.0,4.35,0.8,0.14,0.0,0.12,72.03,2.0,1.65,0.0,0.05,0.0,0.0,0.01,2.0,256.0
in.rhodo,36.29,38.9,0.0,18.97,0.0,2.3,0.01,0.0,0.0,0.04,0.0,0.0,0.0,4.09,2.44,0.31,0.0,0.01,67.33,2.08,2.39,0.01,0.01,0.0,0.0,0.01,4.0,256.0
in.rhodo,40.0,45.93,0.0,19.1,0.0,3.74,0.2,0.0,0.0,0.02,0.0,0.0,0.0,7.95,0.81,0.02,0.0,0.21,63.83,1.95,2.13,0.02,0.01,0.0,0.0,0.02,8.0,256.0
in.rhodo,37.66,50.93,0.0,16.7,0.0,6.92,0.01,0.0,0.01,0.07,0.0,0.0,0.0,18.14,1.06,0.28,0.0,0.06,40.12,1.88,14.63,0.03,0.05,0.0,0.0,0.03,16.0,256.0
in.rhodo,33.49,60.04,0.0,8.61,0.0,10.22,0.45,0.0,0.37,0.11,0.0,0.0,0.0,33.5,1.16,0.14,0.0,0.51,26.14,0.83,17.81,0.04,0.07,0.0,0.0,0.04,32.0,256.0
in.rhodo,26.72,75.36,0.0,7.62,0.0,4.23,0.02,0.0,0.01,0.19,0.0,0.0,0.0,57.03,0.71,0.4,0.0,0.99,12.71,1.28,14.69,0.04,0.03,0.0,0.0,0.04,64.0,256.0
in.rhodo,0.0,0.04,0.0,3.44,0.01,1.04,0.05,0.01,0.03,7.66,0.0,0.0,2.1,77.08,0.0,0.09,0.04,7.0,0.0,0.0,0.0,1.19,0.25,0.0,0.01,0.0,1.0,864.0
in.rhodo,24.69,25.53,0.0,19.25,0.0,0.29,0.11,0.0,0.0,0.02,0.0,0.0,0.0,1.43,0.52,0.15,0.0,0.0,73.81,2.65,1.74,0.0,0.03,0.0,0.0,0.0,2.0,864.0
in.rhodo,37.03,38.22,0.0,19.41,0.0,0.74,0.05,0.0,0.0,0.01,0.0,0.0,0.0,1.19,3.71,0.19,0.0,0.01,70.63,2.75,1.27,0.0,0.03,0.0,0.0,0.02,4.0,864.0
in.rhodo,41.88,44.84,0.0,18.92,0.0,1.4,0.06,0.0,0.0,0.02,0.0,0.0,0.0,3.47,3.15,0.3,0.0,0.03,67.73,2.42,2.46,0.01,0.01,0.0,0.0,0.02,8.0,864.0
in.rhodo,43.33,48.48,0.0,18.93,0.0,2.64,0.12,0.0,0.0,0.15,0.0,0.0,0.0,5.7,2.22,0.14,0.0,0.15,50.21,1.41,18.27,0.01,0.01,0.0,0.0,0.03,16.0,864.0
in.rhodo,39.18,56.02,0.0,16.5,0.0,4.11,0.19,0.0,0.01,0.04,0.0,0.0,0.0,23.54,1.38,0.2,0.0,0.23,31.25,1.41,21.07,0.02,0.03,0.0,0.0,0.03,32.0,864.0
in.rhodo,35.05,63.19,0.0,20.06,0.0,2.36,0.25,0.0,0.01,0.3,0.0,0.0,0.0,35.73,1.19,0.11,0.0,0.7,19.85,0.97,18.37,0.02,0.02,0.0,0.0,0.04,64.0,864.0
in.rhodo,0.0,0.75,0.0,0.31,0.01,1.05,0.03,0.01,0.02,0.0,0.0,0.0,0.03,80.18,0.0,0.8,0.0,14.66,0.0,0.0,0.0,2.61,0.27,0.0,0.01,0.0,1.0,2048.0
in.rhodo,20.12,30.9,0.0,12.73,0.0,8.89,2.69,0.0,0.35,0.0,0.0,0.0,0.0,30.19,0.14,8.81,0.0,0.17,9.23,25.5,0.0,0.03,1.27,0.0,0.0,0.0,2.0,2048.0
in.rhodo,37.43,38.33,0.0,19.35,0.0,0.33,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,5.46,0.17,0.0,0.03,70.47,3.25,0.21,0.0,0.02,0.0,0.0,0.0,4.0,2048.0
in.rhodo,42.67,44.4,0.0,19.77,0.0,0.62,0.08,0.0,0.0,0.01,0.0,0.0,0.0,1.29,4.02,0.23,0.0,0.02,69.8,2.78,1.33,0.0,0.02,0.0,0.0,0.02,8.0,2048.0
in.rhodo,44.78,47.5,0.0,20.01,0.0,1.16,0.07,0.0,0.0,0.01,0.0,0.0,0.0,2.54,3.56,0.15,0.0,0.11,51.17,1.96,19.23,0.0,0.01,0.0,0.0,0.02,16.0,2048.0
in.rhodo,44.48,51.1,0.0,20.15,0.0,2.3,0.14,0.0,0.08,0.03,0.0,0.0,0.0,8.56,2.25,0.04,0.0,0.25,36.7,0.94,28.51,0.01,0.01,0.0,0.0,0.03,32.0,2048.0
in.rhodo,40.2,55.2,0.0,20.14,0.0,1.21,0.03,0.0,0.0,0.07,0.0,0.0,0.0,20.35,1.42,0.11,0.0,0.8,25.69,0.36,29.76,0.01,0.01,0.0,0.0,0.04,64.0,2048.0
