Benchmark,MPI_(%),MPI_Time,MPI_Init,MPI_Comm_size,MPI_Send,MPI_Cart_rank,MPI_Cart_create,MPI_Allgather,MPI_Comm_rank,MPI_Barrier,MPI_Cart_get,MPI_Finalize,MPI_Alltoallv,MPI_Allreduce,MPI_Wait,MPI_Comm_dup,MPI_Comm_free,MPI_Reduce,MPI_Bcast,MPI_Alltoall,MPI_Irecv,MPI_Cart_shift,MPI_Sendrecv,MPI_Waitany,Processes,Size
in.rhodo,55.82,343.86,3.04,0.0,2.03,0.0,0.1,0.05,0.0,0.2,0.0,0.01,2.54,26.71,39.86,0.0,0.0,0.0,4.48,0.69,0.02,0.0,1.7,18.56,16.0,864.0
in.rhodo,60.79,320.14,3.29,0.0,2.68,0.0,0.13,0.2,0.0,0.19,0.0,0.02,1.48,27.78,34.43,0.19,0.0,0.0,9.86,0.59,0.02,0.0,1.95,17.21,16.0,864.0
in.rhodo,48.48,195.72,5.7,0.0,2.22,0.0,0.01,0.0,0.0,0.12,0.0,0.15,0.15,18.93,50.21,0.01,0.0,0.0,2.64,0.14,0.03,0.0,1.41,18.27,16.0,864.0
in.rhodo,62.67,458.17,8.06,0.0,0.97,0.0,0.01,0.07,0.0,0.14,0.0,0.03,1.44,26.15,26.9,0.01,0.0,0.0,12.51,0.59,0.02,0.0,0.78,22.33,32.0,864.0
in.rhodo,70.31,488.15,7.63,0.0,0.93,0.0,0.01,0.13,0.0,0.46,0.0,0.03,3.01,30.51,23.83,0.01,0.0,0.0,13.21,0.95,0.02,0.0,0.78,18.51,32.0,864.0
in.rhodo,56.02,275.71,23.54,0.0,1.38,0.0,0.03,0.01,0.0,0.19,0.0,0.04,0.23,16.5,31.25,0.02,0.0,0.0,4.11,0.2,0.03,0.0,1.41,21.07,32.0,864.0
in.rhodo,72.6,839.11,17.53,0.0,0.71,0.0,0.21,0.4,0.0,0.5,0.0,0.15,3.26,31.63,20.19,0.55,0.0,0.0,2.41,0.75,0.02,0.0,1.36,20.33,64.0,864.0
in.rhodo,73.56,641.03,22.76,0.0,0.9,0.0,0.31,0.01,0.0,0.94,0.0,0.29,8.55,23.22,17.76,0.01,0.0,0.0,7.59,1.71,0.03,0.0,0.94,14.98,64.0,864.0
in.rhodo,63.19,419.44,35.73,0.0,1.19,0.0,0.02,0.01,0.0,0.25,0.0,0.3,0.7,20.06,19.85,0.02,0.0,0.0,2.36,0.11,0.04,0.0,0.97,18.37,64.0,864.0
in.rhodo,0.48,0.09,51.67,0.0,0.0,0.0,0.12,0.01,0.01,0.04,0.0,0.0,45.47,0.74,0.0,1.05,0.01,0.0,0.73,0.13,0.0,0.0,0.0,0.0,1.0,2048.0
