Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:05:01
Number of ranks;2
Ranks per node;2
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987358
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.lj.timer_2n_1ont_256k_aps
Elapsed Time, s;4.17
SP GFLOPS;6.62
DP GFLOPS;2.45
Average CPU Frequency, GHz;                      1.50
Instructions Per Cycle Rate;0.62
MPI Time, s;0.76
MPI Time, % of Elapsed Time;18.34
MPI Imbalance, s;0.04
MPI Imbalance, % of Elapsed Time;1.06

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.64
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;15.31
MPI Hotspot 2 - MPI_Wait, s;0.09
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;2.10
MPI Hotspot 3 - MPI_Send, s;0.02
MPI Hotspot 3 - MPI_Send, % of Elapsed Time;0.43
MPI Hotspot 4 - MPI_Bcast, s;0.01
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.21
MPI Hotspot 5 - MPI_Allreduce, s;0.01
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.15
Memory Stalls, % of Pipeline Slots;25.00
Cache Stalls, % of Cycles;26.40
DRAM Stalls, % of Cycles;4.30
DRAM Bandwidth Peak, GB/s;13.19
DRAM Bandwidth Average, GB/s;1.33
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;1.90
Vectorization, %;91.90
SP FLOPs, % of uOps;5.70
Packed, % from SP FP;100.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;100.00
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.00
DP Packed, % from DP FP;82.70
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;82.70
DP Scalar, % from DP FP;17.30
Non-FP, % of uOps;89.30
FP Arith/Mem Rd Instr. Ratio;0.82
FP Arith/Mem Wr Instr. Ratio;1.59
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          933.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          933.00
Per rank
Peak resident set size,MB;          469.00
Peak resident set rank;0
Average resident set size,MB;          466.50
Virtual
Per node
Peak memory consumption,MB;         8820.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;         8820.00
Per rank
Peak memory consumption,MB;         4412.00
Peak memory consumption rank;0
Average memory consumption,MB;         4410.00
