Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:07:28
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987241
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.lj.timer_16n_1ont_864k_aps
Elapsed Time, s;2.59
SP GFLOPS;37.55
DP GFLOPS;13.76
Average CPU Frequency, GHz;                      2.11
Instructions Per Cycle Rate;0.78
MPI Time, s;0.76
MPI Time, % of Elapsed Time;29.58
MPI Imbalance, s;0.03
MPI Imbalance, % of Elapsed Time;1.05

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.66
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;25.39
MPI Hotspot 2 - MPI_Wait, s;0.05
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.96
MPI Hotspot 3 - MPI_Bcast, s;0.02
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;0.80
MPI Hotspot 4 - MPI_Send, s;0.02
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;0.76
MPI Hotspot 5 - MPI_Allreduce, s;0.01
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.39
Memory Stalls, % of Pipeline Slots;28.20
Cache Stalls, % of Cycles;22.60
DRAM Stalls, % of Cycles;7.20
DRAM Bandwidth Peak, GB/s;92.57
DRAM Bandwidth Average, GB/s;20.61
DRAM Bandwidth Bound, %;38.90
NUMA, % of Remote Accesses;1.20
Vectorization, %;91.30
SP FLOPs, % of uOps;6.80
Packed, % from SP FP;100.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;100.00
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.90
DP Packed, % from DP FP;81.30
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;81.30
DP Scalar, % from DP FP;18.70
Non-FP, % of uOps;87.30
FP Arith/Mem Rd Instr. Ratio;1.07
FP Arith/Mem Wr Instr. Ratio;2.25
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         2521.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         2521.00
Per rank
Peak resident set size,MB;          164.00
Peak resident set rank;0
Average resident set size,MB;          157.56
Virtual
Per node
Peak memory consumption,MB;        70789.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        70789.00
Per rank
Peak memory consumption,MB;         4429.00
Peak memory consumption rank;13
Average memory consumption,MB;         4424.31
