Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.lj,864,8,Other,,0.0243,,,0.66
in.lj,864,16,Pair,0.89011,0.94287,1.3959,12.2,44.85
in.lj,864,16,Neigh,0.072366,0.081375,0.14261,5.6,3.87
in.lj,864,16,Comm,0.35844,0.97827,1.0526,16.3,46.53
in.lj,864,16,Output,0.00022256,0.0067838,0.026401,13.7,0.32
in.lj,864,16,Modify,0.066612,0.078461,0.17681,9.1,3.73
in.lj,864,16,Other,,0.01457,,,0.69
in.lj,864,32,Pair,0.39254,0.48645,0.7918,8.2,40.25
in.lj,864,32,Neigh,0.033138,0.041549,0.065042,2.2,3.44
in.lj,864,32,Comm,0.25884,0.62013,0.73874,8.6,51.31
in.lj,864,32,Output,0.00016958,0.0058345,0.013113,8.4,0.48
in.lj,864,32,Modify,0.035552,0.043658,0.051867,1.1,3.61
in.lj,864,32,Other,,0.01105,,,0.91
in.lj,864,64,Pair,0.19682,0.22868,0.37508,5.9,33.93
in.lj,864,64,Neigh,0.016703,0.02009,0.048973,3.0,2.98
in.lj,864,64,Comm,0.18739,0.38411,0.42908,5.9,56.99
in.lj,864,64,Output,0.00013672,0.0084178,0.014512,7.7,1.25
in.lj,864,64,Modify,0.02334,0.026065,0.05628,2.5,3.87
in.lj,864,64,Other,,0.006673,,,0.99
in.lj,2048,4,Pair,7.0165,8.7739,13.931,100.5,50.75
in.lj,2048,4,Neigh,0.56401,0.70318,1.1201,28.7,4.07
in.lj,2048,4,Comm,0.90308,6.9275,8.9905,132.2,40.07
in.lj,2048,4,Output,0.001448,0.001511,0.0015902,0.1,0.01
in.lj,2048,4,Modify,0.60511,0.74892,1.131,25.6,4.33
in.lj,2048,4,Other,,0.135,,,0.78
in.lj,2048,8,Pair,3.6356,4.0923,7.0664,55.6,46.02
in.lj,2048,8,Neigh,0.28427,0.32649,0.57542,16.5,3.67
in.lj,2048,8,Comm,0.62247,4.0433,4.5768,64.3,45.47
in.lj,2048,8,Output,0.00079596,0.00084486,0.00091525,0.0,0.01
in.lj,2048,8,Modify,0.32439,0.35896,0.51955,10.2,4.04
in.lj,2048,8,Other,,0.07077,,,0.80
in.lj,2048,16,Pair,1.9493,2.133,3.5023,24.5,45.30
in.lj,2048,16,Neigh,0.15231,0.17425,0.30683,8.3,3.70
in.lj,2048,16,Comm,0.36099,2.1252,2.3673,31.6,45.13
in.lj,2048,16,Output,0.00052018,0.027124,0.063161,12.8,0.58
in.lj,2048,16,Modify,0.16024,0.20345,0.48455,16.3,4.32
in.lj,2048,16,Other,,0.04572,,,0.97
in.lj,2048,32,Pair,0.95783,1.124,1.7168,12.9,41.21
