Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:01:45
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987146
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_16n_1ont_2048k_aps
Elapsed Time, s;5.82
SP GFLOPS;18.84
DP GFLOPS;9.70
Average CPU Frequency, GHz;                      2.63
Instructions Per Cycle Rate;1.19
MPI Time, s;1.07
MPI Time, % of Elapsed Time;18.44
MPI Imbalance, s;0.28
MPI Imbalance, % of Elapsed Time;4.76

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.65
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;11.18
MPI Hotspot 2 - MPI_Allreduce, s;0.13
MPI Hotspot 2 - MPI_Allreduce, % of Elapsed Time;2.22
MPI Hotspot 3 - MPI_Sendrecv, s;0.11
MPI Hotspot 3 - MPI_Sendrecv, % of Elapsed Time;1.81
MPI Hotspot 4 - MPI_Wait, s;0.09
MPI Hotspot 4 - MPI_Wait, % of Elapsed Time;1.52
MPI Hotspot 5 - MPI_Bcast, s;0.05
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.92
Memory Stalls, % of Pipeline Slots;26.20
Cache Stalls, % of Cycles;14.90
DRAM Stalls, % of Cycles;13.50
DRAM Bandwidth Peak, GB/s;176.67
DRAM Bandwidth Average, GB/s;39.96
DRAM Bandwidth Bound, %;59.20
NUMA, % of Remote Accesses;0.40
Vectorization, %;44.40
SP FLOPs, % of uOps;3.70
Packed, % from SP FP;56.60
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;56.60
SP Scalar, % from SP FP;43.40
DP FLOPs, % of uOps;5.20
DP Packed, % from DP FP;35.70
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;35.70
DP Scalar, % from DP FP;64.30
Non-FP, % of uOps;91.00
FP Arith/Mem Rd Instr. Ratio;0.34
FP Arith/Mem Wr Instr. Ratio;0.88
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         3206.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         3206.00
Per rank
Peak resident set size,MB;          207.00
Peak resident set rank;0
Average resident set size,MB;          200.38
Virtual
Per node
Peak memory consumption,MB;        82444.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        82444.00
Per rank
Peak memory consumption,MB;         5157.00
Peak memory consumption rank;0
Average memory consumption,MB;         5152.75
