Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:59:33
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987070
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_8n_1ont_864k_aps
Elapsed Time, s;4.61
SP GFLOPS;9.47
DP GFLOPS;5.50
Average CPU Frequency, GHz;                      2.30
Instructions Per Cycle Rate;1.18
MPI Time, s;0.72
MPI Time, % of Elapsed Time;15.67
MPI Imbalance, s;0.23
MPI Imbalance, % of Elapsed Time;5.06

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.35
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;7.70
MPI Hotspot 2 - MPI_Allreduce, s;0.11
MPI Hotspot 2 - MPI_Allreduce, % of Elapsed Time;2.34
MPI Hotspot 3 - MPI_Wait, s;0.10
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;2.18
MPI Hotspot 4 - MPI_Sendrecv, s;0.08
MPI Hotspot 4 - MPI_Sendrecv, % of Elapsed Time;1.84
MPI Hotspot 5 - MPI_Bcast, s;0.06
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;1.21
Memory Stalls, % of Pipeline Slots;22.90
Cache Stalls, % of Cycles;16.50
DRAM Stalls, % of Cycles;10.50
DRAM Bandwidth Peak, GB/s;49.18
DRAM Bandwidth Average, GB/s;13.60
DRAM Bandwidth Bound, %;1.80
NUMA, % of Remote Accesses;0.70
Vectorization, %;41.80
SP FLOPs, % of uOps;3.90
Packed, % from SP FP;51.90
SP 128-bit, %;0.00
SP 256-bit, %;2.10
SP 512-bit, %;49.80
SP Scalar, % from SP FP;48.10
DP FLOPs, % of uOps;5.60
DP Packed, % from DP FP;34.80
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;34.80
DP Scalar, % from DP FP;65.20
Non-FP, % of uOps;90.50
FP Arith/Mem Rd Instr. Ratio;0.35
FP Arith/Mem Wr Instr. Ratio;0.91
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1491.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1491.00
Per rank
Peak resident set size,MB;          193.00
Peak resident set rank;0
Average resident set size,MB;          186.38
Virtual
Per node
Peak memory consumption,MB;        34072.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        34072.00
Per rank
Peak memory consumption,MB;         4262.00
Peak memory consumption rank;4
Average memory consumption,MB;         4259.00
