Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 16:20:20
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.scaled.timer_8n_1ont_864k_aps
Elapsed Time, s;24.19
MPI Time, s;1.00
MPI Time, % of Elapsed Time;4.12
MPI Imbalance, s;0.39
MPI Imbalance, % of Elapsed Time;1.61

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Wait, s;0.32
MPI Hotspot 1 - MPI_Wait, % of Elapsed Time;1.31
MPI Hotspot 2 - MPI_Send, s;0.19
MPI Hotspot 2 - MPI_Send, % of Elapsed Time;0.80
MPI Hotspot 3 - MPI_Init, s;0.18
MPI Hotspot 3 - MPI_Init, % of Elapsed Time;0.75
MPI Hotspot 4 - MPI_Allreduce, s;0.11
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.45
MPI Hotspot 5 - MPI_Sendrecv, s;0.08
MPI Hotspot 5 - MPI_Sendrecv, % of Elapsed Time;0.33
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         4512.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;         4512.00
Per rank
Peak resident set size,MB;          566.00
Peak resident set rank;5
Average resident set size,MB;          564.00
Virtual
Per node
Peak memory consumption,MB;        36850.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;        36850.00
Per rank
Peak memory consumption,MB;         4611.00
Peak memory consumption rank;5
Average memory consumption,MB;         4606.25
