Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:57:38
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987209
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_16n_1ont_256k_aps
Elapsed Time, s;1.92
SP GFLOPS;6.33
DP GFLOPS;3.38
Average CPU Frequency, GHz;                      1.90
Instructions Per Cycle Rate;1.33
MPI Time, s;0.79
MPI Time, % of Elapsed Time;41.10
MPI Imbalance, s;0.04
MPI Imbalance, % of Elapsed Time;2.08

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.68
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;35.46
MPI Hotspot 2 - MPI_Bcast, s;0.05
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;2.41
MPI Hotspot 3 - MPI_Wait, s;0.02
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;1.05
MPI Hotspot 4 - MPI_Allreduce, s;0.02
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.94
MPI Hotspot 5 - MPI_Sendrecv, s;0.01
MPI Hotspot 5 - MPI_Sendrecv, % of Elapsed Time;0.50
Memory Stalls, % of Pipeline Slots;18.20
Cache Stalls, % of Cycles;17.90
DRAM Stalls, % of Cycles;3.20
DRAM Bandwidth Peak, GB/s;47.96
DRAM Bandwidth Average, GB/s;4.97
DRAM Bandwidth Bound, %;1.90
NUMA, % of Remote Accesses;2.30
Vectorization, %;42.20
SP FLOPs, % of uOps;2.10
Packed, % from SP FP;56.40
SP 128-bit, %;0.00
SP 256-bit, %;5.50
SP 512-bit, %;50.90
SP Scalar, % from SP FP;43.60
DP FLOPs, % of uOps;3.10
DP Packed, % from DP FP;32.60
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;32.60
DP Scalar, % from DP FP;67.40
Non-FP, % of uOps;94.70
FP Arith/Mem Rd Instr. Ratio;0.22
FP Arith/Mem Wr Instr. Ratio;0.48
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         2211.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         2211.00
Per rank
Peak resident set size,MB;          145.00
Peak resident set rank;0
Average resident set size,MB;          138.19
Virtual
Per node
Peak memory consumption,MB;        65134.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        65134.00
Per rank
Peak memory consumption,MB;         4073.00
Peak memory consumption rank;13
Average memory consumption,MB;         4070.88
