Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:59:55
Number of ranks;32
Ranks per node;32
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987173
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_32n_1ont_864k_aps
Elapsed Time, s;3.15
SP GFLOPS;13.88
DP GFLOPS;7.92
Average CPU Frequency, GHz;                      2.16
Instructions Per Cycle Rate;1.30
MPI Time, s;1.43
MPI Time, % of Elapsed Time;45.27
MPI Imbalance, s;0.05
MPI Imbalance, % of Elapsed Time;1.70

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;1.28
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;40.58
MPI Hotspot 2 - MPI_Bcast, s;0.06
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;1.98
MPI Hotspot 3 - MPI_Wait, s;0.03
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;0.80
MPI Hotspot 4 - MPI_Allreduce, s;0.02
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.67
MPI Hotspot 5 - MPI_Sendrecv, s;0.02
MPI Hotspot 5 - MPI_Sendrecv, % of Elapsed Time;0.53
Memory Stalls, % of Pipeline Slots;19.70
Cache Stalls, % of Cycles;18.00
DRAM Stalls, % of Cycles;7.50
DRAM Bandwidth Peak, GB/s;117.78
DRAM Bandwidth Average, GB/s;20.07
DRAM Bandwidth Bound, %;31.80
NUMA, % of Remote Accesses;1.00
Vectorization, %;40.70
SP FLOPs, % of uOps;2.90
Packed, % from SP FP;52.20
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;52.20
SP Scalar, % from SP FP;47.80
DP FLOPs, % of uOps;4.40
DP Packed, % from DP FP;33.20
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;33.20
DP Scalar, % from DP FP;66.80
Non-FP, % of uOps;92.80
FP Arith/Mem Rd Instr. Ratio;0.28
FP Arith/Mem Wr Instr. Ratio;0.67
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         4684.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         4684.00
Per rank
Peak resident set size,MB;          154.00
Peak resident set rank;0
Average resident set size,MB;          146.38
Virtual
Per node
Peak memory consumption,MB;       177824.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       177824.00
Per rank
Peak memory consumption,MB;         5561.00
Peak memory consumption rank;3
Average memory consumption,MB;         5557.00
