Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:47:06
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593986930
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.timer_8n_1ont_32k_aps
Elapsed Time, s;1.22
SP GFLOPS;1.32
DP GFLOPS;0.87
Average CPU Frequency, GHz;                      1.40
Instructions Per Cycle Rate;1.32
MPI Time, s;0.46
MPI Time, % of Elapsed Time;37.91
MPI Imbalance, s;0.04
MPI Imbalance, % of Elapsed Time;3.34

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.39
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;32.07
MPI Hotspot 2 - MPI_Bcast, s;0.05
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;3.93
MPI Hotspot 3 - MPI_Wait, s;0.01
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;0.71
MPI Hotspot 4 - MPI_Allreduce, s;0.01
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.44
MPI Hotspot 5 - MPI_Send, s;0.00
MPI Hotspot 5 - MPI_Send, % of Elapsed Time;0.22
Memory Stalls, % of Pipeline Slots;14.30
Cache Stalls, % of Cycles;19.40
DRAM Stalls, % of Cycles;2.70
DRAM Bandwidth Peak, GB/s;38.10
DRAM Bandwidth Average, GB/s;1.77
DRAM Bandwidth Bound, %;1.00
NUMA, % of Remote Accesses;12.30
Vectorization, %;31.80
SP FLOPs, % of uOps;1.90
Packed, % from SP FP;41.80
SP 128-bit, %;0.00
SP 256-bit, %;1.00
SP 512-bit, %;40.90
SP Scalar, % from SP FP;58.20
DP FLOPs, % of uOps;3.30
DP Packed, % from DP FP;25.80
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;25.80
DP Scalar, % from DP FP;74.20
Non-FP, % of uOps;94.80
FP Arith/Mem Rd Instr. Ratio;0.19
FP Arith/Mem Wr Instr. Ratio;0.43
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1022.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1022.00
Per rank
Peak resident set size,MB;          132.00
Peak resident set rank;0
Average resident set size,MB;          127.75
Virtual
Per node
Peak memory consumption,MB;        26106.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        26106.00
Per rank
Peak memory consumption,MB;         3266.00
Peak memory consumption rank;1
Average memory consumption,MB;         3263.25
