Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:57:28
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987272
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_8n_1ont_256k_aps
Elapsed Time, s;2.14
SP GFLOPS;6.02
DP GFLOPS;3.36
Average CPU Frequency, GHz;                      1.88
Instructions Per Cycle Rate;1.22
MPI Time, s;0.50
MPI Time, % of Elapsed Time;23.21
MPI Imbalance, s;0.05
MPI Imbalance, % of Elapsed Time;2.52

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.36
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;16.99
MPI Hotspot 2 - MPI_Bcast, s;0.04
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;2.09
MPI Hotspot 3 - MPI_Wait, s;0.03
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;1.50
MPI Hotspot 4 - MPI_Allreduce, s;0.02
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;1.07
MPI Hotspot 5 - MPI_Sendrecv, s;0.02
MPI Hotspot 5 - MPI_Sendrecv, % of Elapsed Time;0.94
Memory Stalls, % of Pipeline Slots;19.10
Cache Stalls, % of Cycles;20.20
DRAM Stalls, % of Cycles;3.90
DRAM Bandwidth Peak, GB/s;31.36
DRAM Bandwidth Average, GB/s;3.50
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;2.40
Vectorization, %;39.60
SP FLOPs, % of uOps;3.30
Packed, % from SP FP;50.10
SP 128-bit, %;0.00
SP 256-bit, %;3.10
SP 512-bit, %;47.10
SP Scalar, % from SP FP;49.90
DP FLOPs, % of uOps;4.70
DP Packed, % from DP FP;32.10
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;32.10
DP Scalar, % from DP FP;67.90
Non-FP, % of uOps;92.00
FP Arith/Mem Rd Instr. Ratio;0.31
FP Arith/Mem Wr Instr. Ratio;0.76
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1182.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1182.00
Per rank
Peak resident set size,MB;          153.00
Peak resident set rank;0
Average resident set size,MB;          147.75
Virtual
Per node
Peak memory consumption,MB;        28303.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        28303.00
Per rank
Peak memory consumption,MB;         3541.00
Peak memory consumption rank;3
Average memory consumption,MB;         3537.88
