Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:17:17
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987167
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.eam.timer_4n_1ont_256k_aps
Elapsed Time, s;4.24
SP GFLOPS;14.50
DP GFLOPS;4.73
Average CPU Frequency, GHz;                      1.97
Instructions Per Cycle Rate;0.80
MPI Time, s;0.57
MPI Time, % of Elapsed Time;13.53
MPI Imbalance, s;0.12
MPI Imbalance, % of Elapsed Time;2.85

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.29
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;6.86
MPI Hotspot 2 - MPI_Wait, s;0.21
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;4.97
MPI Hotspot 3 - MPI_Send, s;0.02
MPI Hotspot 3 - MPI_Send, % of Elapsed Time;0.56
MPI Hotspot 4 - MPI_Bcast, s;0.02
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.44
MPI Hotspot 5 - MPI_Allreduce, s;0.01
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.34
Memory Stalls, % of Pipeline Slots;29.80
Cache Stalls, % of Cycles;30.30
DRAM Stalls, % of Cycles;3.10
DRAM Bandwidth Peak, GB/s;25.77
DRAM Bandwidth Average, GB/s;2.59
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;2.10
Vectorization, %;93.00
SP FLOPs, % of uOps;7.20
Packed, % from SP FP;100.00
SP 128-bit, %;1.00
SP 256-bit, %;0.00
SP 512-bit, %;99.00
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.50
DP Packed, % from DP FP;83.70
DP 128-bit, %;0.00
DP 256-bit, %;0.50
DP 512-bit, %;83.20
DP Scalar, % from DP FP;16.30
Non-FP, % of uOps;87.30
FP Arith/Mem Rd Instr. Ratio;0.73
FP Arith/Mem Wr Instr. Ratio;1.76
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          649.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          649.00
Per rank
Peak resident set size,MB;          164.00
Peak resident set rank;0
Average resident set size,MB;          162.25
Virtual
Per node
Peak memory consumption,MB;        13980.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        13980.00
Per rank
Peak memory consumption,MB;         3497.00
Peak memory consumption rank;2
Average memory consumption,MB;         3495.00
