Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:44:29
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987286
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_16n_1ont_256k_aps
Elapsed Time, s;1.27
SP GFLOPS;0.00
DP GFLOPS;0.01
Average CPU Frequency, GHz;                      1.42
Instructions Per Cycle Rate;1.45
MPI Time, s;0.63
MPI Time, % of Elapsed Time;49.54
MPI Imbalance, s;0.03
MPI Imbalance, % of Elapsed Time;2.11

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.58
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;45.31
MPI Hotspot 2 - MPI_Bcast, s;0.04
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;3.14
MPI Hotspot 3 - MPI_Finalize, s;0.00
MPI Hotspot 3 - MPI_Finalize, % of Elapsed Time;0.30
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.29
MPI Hotspot 5 - MPI_Wait, s;0.00
MPI Hotspot 5 - MPI_Wait, % of Elapsed Time;0.23
Memory Stalls, % of Pipeline Slots;9.40
Cache Stalls, % of Cycles;16.60
DRAM Stalls, % of Cycles;1.80
DRAM Bandwidth Peak, GB/s;39.73
DRAM Bandwidth Average, GB/s;2.70
DRAM Bandwidth Bound, %;1.00
NUMA, % of Remote Accesses;4.50
Vectorization, %;0.00
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;0.10
DP Packed, % from DP FP;0.00
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;0.00
DP Scalar, % from DP FP;100.00
Non-FP, % of uOps;99.90
FP Arith/Mem Rd Instr. Ratio;0.00
FP Arith/Mem Wr Instr. Ratio;0.01
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         2005.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         2005.00
Per rank
Peak resident set size,MB;          129.00
Peak resident set rank;0
Average resident set size,MB;          125.31
Virtual
Per node
Peak memory consumption,MB;        62746.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        62746.00
Per rank
Peak memory consumption,MB;         3925.00
Peak memory consumption rank;1
Average memory consumption,MB;         3921.62
