Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:01:28
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987160
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_8n_1ont_2048k_aps
Elapsed Time, s;9.06
SP GFLOPS;11.03
DP GFLOPS;6.35
Average CPU Frequency, GHz;                      2.67
Instructions Per Cycle Rate;1.15
MPI Time, s;0.94
MPI Time, % of Elapsed Time;10.40
MPI Imbalance, s;0.40
MPI Imbalance, % of Elapsed Time;4.41

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.38
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;4.20
MPI Hotspot 2 - MPI_Sendrecv, s;0.20
MPI Hotspot 2 - MPI_Sendrecv, % of Elapsed Time;2.25
MPI Hotspot 3 - MPI_Allreduce, s;0.15
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;1.67
MPI Hotspot 4 - MPI_Wait, s;0.13
MPI Hotspot 4 - MPI_Wait, % of Elapsed Time;1.40
MPI Hotspot 5 - MPI_Bcast, s;0.05
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.52
Memory Stalls, % of Pipeline Slots;26.60
Cache Stalls, % of Cycles;14.80
DRAM Stalls, % of Cycles;16.60
DRAM Bandwidth Peak, GB/s;107.47
DRAM Bandwidth Average, GB/s;24.23
DRAM Bandwidth Bound, %;24.20
NUMA, % of Remote Accesses;0.30
Vectorization, %;39.70
SP FLOPs, % of uOps;4.00
Packed, % from SP FP;50.20
SP 128-bit, %;0.00
SP 256-bit, %;2.70
SP 512-bit, %;47.40
SP Scalar, % from SP FP;49.80
DP FLOPs, % of uOps;5.90
DP Packed, % from DP FP;32.50
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;32.50
DP Scalar, % from DP FP;67.50
Non-FP, % of uOps;90.10
FP Arith/Mem Rd Instr. Ratio;0.38
FP Arith/Mem Wr Instr. Ratio;1.02
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         2047.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         2047.00
Per rank
Peak resident set size,MB;          265.00
Peak resident set rank;0
Average resident set size,MB;          255.88
Virtual
Per node
Peak memory consumption,MB;        45548.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        45548.00
Per rank
Peak memory consumption,MB;         5696.00
Peak memory consumption rank;0
Average memory consumption,MB;         5693.50
