Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Reduce,MPI_Alltoall,MPI_Wait,MPI_Send,MPI_Irecv,MPI_Reduce_scatter,MPI_Allreduce,MPI_Bcast,MPI_Cart_rank,MPI_Comm_free,MPI_Cart_shift,MPI_Sendrecv,MPI_Cart_create,MPI_Comm_size,MPI_Comm_rank,MPI_Cart_get,MPI_Alltoallv,MPI_Finalize,MPI_Comm_dup,MPI_Barrier,MPI_Waitany,MPI_Scan,MPI_Init,MPI_Allgather,Processes,Size
in.chain,82.93,50.32,70.99,29.13,34.11,2.94,71.28,0.0,0.03,14.53,0.23,0.02,0.0,16.3,7.04,0.0,0.0,0.0,6.76,0.05,0.0,0.0,0.0,0.72,0.72,0.0,0.7,0.0,0.0,52.89,0.0,32.0,864.0
in.chain,93.31,77.51,85.96,16.02,18.3,1.56,188.39,0.0,0.08,4.1,0.13,0.01,0.0,11.48,3.09,0.0,0.0,0.0,1.62,0.03,0.0,0.0,0.0,0.8,0.26,0.0,0.04,0.0,0.0,78.35,0.0,64.0,864.0
in.chain,2.4,2.4,2.4,0.0,0.0,0.0,0.06,0.0,0.05,0.0,0.0,0.0,0.0,1.11,0.29,0.01,0.04,0.01,0.0,0.31,0.0,0.01,0.01,9.96,0.0,0.0,0.03,0.0,0.0,88.17,0.0,1.0,2048.0
in.chain,48.31,39.64,43.28,14.01,32.88,0.36,1.95,0.0,2.18,0.69,0.03,0.0,0.0,9.79,8.54,0.0,0.0,0.0,13.39,0.65,0.0,0.0,0.0,0.22,0.0,0.0,1.82,0.0,0.0,62.69,0.0,2.0,2048.0
in.chain,51.08,2.18,38.31,35.95,48.72,0.07,43.51,0.06,0.13,32.79,0.43,0.01,0.0,43.47,1.1,0.0,0.0,0.0,17.85,0.16,0.0,0.0,0.0,0.02,0.04,0.0,0.22,0.0,0.0,3.72,0.0,4.0,2048.0
in.chain,53.2,6.28,45.26,38.68,45.2,0.26,51.77,0.17,0.22,30.85,0.38,0.01,0.0,40.5,2.28,0.0,0.0,0.0,14.2,0.01,0.0,0.0,0.0,0.04,0.05,0.0,0.44,0.0,0.0,10.84,0.0,8.0,2048.0
in.chain,60.26,13.34,49.75,38.27,42.88,1.0,63.84,0.34,0.02,24.34,1.95,0.02,0.0,44.42,3.3,0.0,0.0,0.0,7.71,0.38,0.0,0.0,0.0,0.06,0.06,0.0,0.01,0.0,0.0,17.38,0.0,16.0,2048.0
in.chain,71.59,31.85,59.65,34.55,40.21,2.16,103.55,0.0,0.53,16.65,0.31,0.02,0.0,33.14,4.6,0.0,0.0,0.0,8.06,0.03,0.0,0.0,0.0,0.18,0.13,0.0,0.02,0.0,0.0,36.34,0.0,32.0,2048.0
in.chain,86.0,53.09,75.15,25.62,27.81,1.38,237.3,0.0,0.08,6.98,0.2,0.01,0.0,24.34,2.42,0.0,0.0,0.0,3.44,0.03,0.0,0.0,0.0,0.67,0.19,0.0,0.05,0.0,0.0,61.58,0.0,64.0,2048.0
in.chute,12.84,12.84,12.84,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.02,0.23,0.2,0.01,0.03,0.01,0.0,0.19,0.0,0.0,0.01,0.0,2.5,0.0,0.02,0.0,0.0,96.77,0.0,1.0,32.0
in.chute,81.12,51.11,70.48,11.05,15.85,2.31,1.64,0.0,0.0,1.14,0.13,0.01,0.0,12.26,10.65,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,1.04,0.0,0.05,0.0,0.0,74.6,0.0,2.0,32.0
in.chute,79.8,74.65,77.69,19.63,37.87,1.8,2.66,0.02,0.0,1.58,0.16,0.01,0.0,10.12,15.99,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.73,0.0,0.01,0.0,0.0,71.3,0.0,4.0,32.0
in.chute,91.96,82.96,87.11,14.63,27.0,2.68,6.94,0.0,0.0,0.7,0.15,0.01,0.03,5.84,13.5,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.23,0.0,0.03,0.0,0.0,79.43,0.0,8.0,32.0
in.chute,96.23,89.77,93.4,7.8,13.11,0.71,21.5,0.0,0.0,0.33,0.13,0.0,0.0,0.95,8.47,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,1.34,0.0,0.01,0.0,0.0,88.68,0.0,16.0,32.0
in.chute,97.91,92.56,95.44,5.78,10.54,0.7,53.09,0.0,0.0,0.28,0.08,0.0,0.0,0.78,6.29,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.28,0.0,0.01,0.0,0.0,92.19,0.0,32.0,32.0
in.chute,98.75,95.26,97.15,3.2,4.24,0.49,158.25,0.0,0.0,0.14,0.07,0.0,0.01,1.39,2.3,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.32,0.0,0.01,0.0,0.0,95.69,0.0,64.0,32.0
in.chute,4.2,4.2,4.2,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.02,0.49,0.25,0.01,0.03,0.01,0.0,0.24,0.0,0.0,0.01,0.0,2.91,0.0,0.03,0.0,0.0,95.95,0.0,1.0,256.0
in.chute,68.49,34.56,54.42,16.35,25.61,3.29,2.17,0.0,0.0,4.62,0.17,0.0,0.0,28.31,8.42,0.0,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.77,0.0,0.03,0.0,0.0,57.55,0.0,2.0,256.0
