Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Waitany,MPI_Scan,MPI_Allgather,MPI_Init,MPI_Sendrecv,MPI_Allreduce,MPI_Comm_size,MPI_Reduce_scatter,MPI_Cart_get,MPI_Send,MPI_Cart_shift,MPI_Finalize,MPI_Wait,MPI_Bcast,MPI_Irecv,MPI_Barrier,MPI_Comm_rank,MPI_Alltoall,MPI_Alltoallv,MPI_Cart_rank,MPI_Comm_dup,MPI_Reduce,MPI_Comm_free,MPI_Cart_create,Processes,Size
in.chain,0.3,0.3,0.3,0.0,0.0,0.0,0.07,0.0,0.0,0.0,83.7,0.0,1.85,0.0,0.0,0.01,0.0,0.01,8.53,0.0,1.0,0.0,0.06,0.01,0.04,4.47,0.0,0.0,0.03,0.03,0.25,1.0,864.0
in.chain,50.04,5.03,27.19,23.47,47.57,0.08,12.28,0.0,0.0,0.0,11.02,14.82,42.17,0.0,0.0,0.0,0.28,0.0,0.02,30.47,0.7,0.01,0.12,0.0,0.16,0.01,0.0,0.0,0.09,0.0,0.13,2.0,864.0
in.chain,52.02,11.76,40.28,34.06,46.89,0.51,18.31,0.0,0.0,0.0,10.49,13.8,39.51,0.0,0.0,0.0,0.3,0.0,0.11,32.66,2.62,0.01,0.18,0.0,0.26,0.03,0.0,0.0,0.0,0.0,0.02,4.0,864.0
in.chain,57.76,15.11,49.89,37.15,43.55,1.78,25.38,0.0,0.0,0.0,20.21,10.59,36.89,0.0,0.0,0.0,0.63,0.0,0.05,26.15,4.46,0.01,0.02,0.0,0.51,0.04,0.0,0.0,0.4,0.0,0.02,8.0,864.0
in.chain,70.95,43.03,61.36,32.96,37.71,3.22,44.05,0.0,0.0,0.0,39.51,6.48,26.74,0.0,0.0,0.0,0.27,0.0,0.53,19.82,5.12,0.02,0.49,0.0,0.02,0.45,0.0,0.0,0.52,0.0,0.03,16.0,864.0
in.chain,82.93,50.32,70.99,29.13,34.11,2.94,71.28,0.0,0.0,0.0,52.89,6.76,16.3,0.0,0.0,0.0,0.23,0.0,0.72,14.53,7.04,0.02,0.7,0.0,0.03,0.72,0.0,0.0,0.0,0.0,0.05,32.0,864.0
in.chain,93.31,77.51,85.96,16.02,18.3,1.56,188.39,0.0,0.0,0.0,78.35,1.62,11.48,0.0,0.0,0.0,0.13,0.0,0.26,4.1,3.09,0.01,0.04,0.0,0.08,0.8,0.0,0.0,0.0,0.0,0.03,64.0,864.0
in.chain,2.4,2.4,2.4,0.0,0.0,0.0,0.06,0.0,0.0,0.0,88.17,0.0,1.11,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.29,0.0,0.03,0.01,0.05,9.96,0.01,0.0,0.0,0.04,0.31,1.0,2048.0
in.chain,48.31,39.64,43.28,14.01,32.88,0.36,1.95,0.0,0.0,0.0,62.69,13.39,9.79,0.0,0.0,0.0,0.03,0.0,0.0,0.69,8.54,0.0,1.82,0.0,2.18,0.22,0.0,0.0,0.0,0.0,0.65,2.0,2048.0
in.chain,51.08,2.18,38.31,35.95,48.72,0.07,43.51,0.0,0.0,0.0,3.72,17.85,43.47,0.0,0.0,0.0,0.43,0.0,0.04,32.79,1.1,0.01,0.22,0.0,0.13,0.02,0.0,0.0,0.06,0.0,0.16,4.0,2048.0
