Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 16:20:45
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.scaled.timer_16n_1ont_864k_aps
Elapsed Time, s;12.85
MPI Time, s;0.90
MPI Time, % of Elapsed Time;7.00
MPI Imbalance, s;0.22
MPI Imbalance, % of Elapsed Time;1.71

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.34
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;2.61
MPI Hotspot 2 - MPI_Wait, s;0.15
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.18
MPI Hotspot 3 - MPI_Send, s;0.13
MPI Hotspot 3 - MPI_Send, % of Elapsed Time;1.00
MPI Hotspot 4 - MPI_Allreduce, s;0.10
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.81
MPI Hotspot 5 - MPI_Bcast, s;0.08
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.61
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         7621.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;         7621.00
Per rank
Peak resident set size,MB;          481.00
Peak resident set rank;10
Average resident set size,MB;          476.31
Virtual
Per node
Peak memory consumption,MB;        75631.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;        75631.00
Per rank
Peak memory consumption,MB;         4729.00
Peak memory consumption rank;11
Average memory consumption,MB;         4726.94
