Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:22:03
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987124
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.eam.timer_8n_1ont_864k_aps
Elapsed Time, s;6.50
SP GFLOPS;31.92
DP GFLOPS;10.94
Average CPU Frequency, GHz;                      2.52
Instructions Per Cycle Rate;0.87
MPI Time, s;0.89
MPI Time, % of Elapsed Time;13.65
MPI Imbalance, s;0.29
MPI Imbalance, % of Elapsed Time;4.40

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Wait, s;0.44
MPI Hotspot 1 - MPI_Wait, % of Elapsed Time;6.70
MPI Hotspot 2 - MPI_Init, s;0.36
MPI Hotspot 2 - MPI_Init, % of Elapsed Time;5.60
MPI Hotspot 3 - MPI_Send, s;0.03
MPI Hotspot 3 - MPI_Send, % of Elapsed Time;0.45
MPI Hotspot 4 - MPI_Sendrecv, s;0.02
MPI Hotspot 4 - MPI_Sendrecv, % of Elapsed Time;0.31
MPI Hotspot 5 - MPI_Allreduce, s;0.02
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.28
Memory Stalls, % of Pipeline Slots;32.20
Cache Stalls, % of Cycles;30.80
DRAM Stalls, % of Cycles;4.40
DRAM Bandwidth Peak, GB/s;36.69
DRAM Bandwidth Average, GB/s;12.28
DRAM Bandwidth Bound, %;1.00
NUMA, % of Remote Accesses;1.20
Vectorization, %;94.10
SP FLOPs, % of uOps;7.20
Packed, % from SP FP;100.00
SP 128-bit, %;1.10
SP 256-bit, %;0.00
SP 512-bit, %;98.90
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.60
DP Packed, % from DP FP;86.40
DP 128-bit, %;0.00
DP 256-bit, %;0.50
DP 512-bit, %;85.90
DP Scalar, % from DP FP;13.60
Non-FP, % of uOps;87.30
FP Arith/Mem Rd Instr. Ratio;0.71
FP Arith/Mem Wr Instr. Ratio;1.67
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1472.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1472.00
Per rank
Peak resident set size,MB;          188.00
Peak resident set rank;0
Average resident set size,MB;          184.00
Virtual
Per node
Peak memory consumption,MB;        33990.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        33990.00
Per rank
Peak memory consumption,MB;         4251.00
Peak memory consumption rank;4
Average memory consumption,MB;         4248.75
