Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:00:07
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987164
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_64n_1ont_864k_aps
Elapsed Time, s;4.04
SP GFLOPS;10.98
DP GFLOPS;6.37
Average CPU Frequency, GHz;                      2.11
Instructions Per Cycle Rate;1.22
MPI Time, s;2.67
MPI Time, % of Elapsed Time;66.07
MPI Imbalance, s;0.06
MPI Imbalance, % of Elapsed Time;1.46

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;2.53
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;62.71
MPI Hotspot 2 - MPI_Bcast, s;0.04
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;1.09
MPI Hotspot 3 - MPI_Allreduce, s;0.03
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.62
MPI Hotspot 4 - MPI_Alltoallv, s;0.02
MPI Hotspot 4 - MPI_Alltoallv, % of Elapsed Time;0.52
MPI Hotspot 5 - MPI_Wait, s;0.02
MPI Hotspot 5 - MPI_Wait, % of Elapsed Time;0.44
Memory Stalls, % of Pipeline Slots;17.80
Cache Stalls, % of Cycles;20.40
DRAM Stalls, % of Cycles;6.00
DRAM Bandwidth Peak, GB/s;203.59
DRAM Bandwidth Average, GB/s;14.68
DRAM Bandwidth Bound, %;15.80
NUMA, % of Remote Accesses;1.20
Vectorization, %;38.60
SP FLOPs, % of uOps;2.50
Packed, % from SP FP;49.60
SP 128-bit, %;0.00
SP 256-bit, %;2.30
SP 512-bit, %;47.30
SP Scalar, % from SP FP;50.40
DP FLOPs, % of uOps;3.70
DP Packed, % from DP FP;31.30
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;31.30
DP Scalar, % from DP FP;68.70
Non-FP, % of uOps;93.80
FP Arith/Mem Rd Instr. Ratio;0.24
FP Arith/Mem Wr Instr. Ratio;0.57
Disk I/O Bound, s;0.00
Disk I/O Bound, % of Elapsed Time;0.00
Disk read, KB;                               0.9
Disk write, KB;                              0.0
Memory Footprint
Resident
Per node
Peak resident set size,MB;         8981.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         8981.00
Per rank
Peak resident set size,MB;          149.00
Peak resident set rank;0
Average resident set size,MB;          140.33
Virtual
Per node
Peak memory consumption,MB;       658454.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       658454.00
Per rank
Peak memory consumption,MB;        10292.00
Peak memory consumption rank;49
Average memory consumption,MB;        10288.34
