Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:59:44
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987039
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_16n_1ont_864k_aps
Elapsed Time, s;3.50
SP GFLOPS;12.78
DP GFLOPS;7.22
Average CPU Frequency, GHz;                      2.20
Instructions Per Cycle Rate;1.16
MPI Time, s;0.92
MPI Time, % of Elapsed Time;26.20
MPI Imbalance, s;0.10
MPI Imbalance, % of Elapsed Time;2.95

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.68
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;19.43
MPI Hotspot 2 - MPI_Sendrecv, s;0.06
MPI Hotspot 2 - MPI_Sendrecv, % of Elapsed Time;1.69
MPI Hotspot 3 - MPI_Wait, s;0.06
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;1.68
MPI Hotspot 4 - MPI_Bcast, s;0.06
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;1.65
MPI Hotspot 5 - MPI_Allreduce, s;0.04
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;1.15
Memory Stalls, % of Pipeline Slots;26.00
Cache Stalls, % of Cycles;18.10
DRAM Stalls, % of Cycles;12.60
DRAM Bandwidth Peak, GB/s;83.63
DRAM Bandwidth Average, GB/s;19.39
DRAM Bandwidth Bound, %;13.60
NUMA, % of Remote Accesses;0.90
Vectorization, %;41.40
SP FLOPs, % of uOps;3.40
Packed, % from SP FP;52.80
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;52.80
SP Scalar, % from SP FP;47.20
DP FLOPs, % of uOps;5.10
DP Packed, % from DP FP;33.80
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;33.80
DP Scalar, % from DP FP;66.20
Non-FP, % of uOps;91.50
FP Arith/Mem Rd Instr. Ratio;0.33
FP Arith/Mem Wr Instr. Ratio;0.81
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         2568.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         2568.00
Per rank
Peak resident set size,MB;          168.00
Peak resident set rank;0
Average resident set size,MB;          160.50
Virtual
Per node
Peak memory consumption,MB;        70994.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        70994.00
Per rank
Peak memory consumption,MB;         4442.00
Peak memory consumption rank;0
Average memory consumption,MB;         4437.12
