Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:22:40
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987103
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.eam.timer_64n_1ont_864k_aps
Elapsed Time, s;4.31
SP GFLOPS;48.08
DP GFLOPS;15.90
Average CPU Frequency, GHz;                      2.18
Instructions Per Cycle Rate;0.79
MPI Time, s;2.67
MPI Time, % of Elapsed Time;61.95
MPI Imbalance, s;0.02
MPI Imbalance, % of Elapsed Time;0.53

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;2.56
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;59.50
MPI Hotspot 2 - MPI_Wait, s;0.06
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.37
MPI Hotspot 3 - MPI_Bcast, s;0.01
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;0.29
MPI Hotspot 4 - MPI_Send, s;0.01
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;0.20
MPI Hotspot 5 - MPI_Finalize, s;0.01
MPI Hotspot 5 - MPI_Finalize, % of Elapsed Time;0.20
Memory Stalls, % of Pipeline Slots;36.80
Cache Stalls, % of Cycles;29.60
DRAM Stalls, % of Cycles;5.90
DRAM Bandwidth Peak, GB/s;125.79
DRAM Bandwidth Average, GB/s;22.76
DRAM Bandwidth Bound, %;24.20
NUMA, % of Remote Accesses;1.40
Vectorization, %;92.00
SP FLOPs, % of uOps;6.90
Packed, % from SP FP;100.00
SP 128-bit, %;0.90
SP 256-bit, %;0.00
SP 512-bit, %;99.10
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.40
DP Packed, % from DP FP;81.70
DP 128-bit, %;0.00
DP 256-bit, %;0.40
DP 512-bit, %;81.30
DP Scalar, % from DP FP;18.30
Non-FP, % of uOps;87.60
FP Arith/Mem Rd Instr. Ratio;0.66
FP Arith/Mem Wr Instr. Ratio;1.55
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         8615.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         8615.00
Per rank
Peak resident set size,MB;          139.00
Peak resident set rank;52
Average resident set size,MB;          134.61
Virtual
Per node
Peak memory consumption,MB;       658298.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       658298.00
Per rank
Peak memory consumption,MB;        10290.00
Peak memory consumption rank;45
Average memory consumption,MB;        10285.91
