Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 15:34:31
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.scaled.timer_16n_1ont_256k_aps
Elapsed Time, s;12.94
MPI Time, s;0.97
MPI Time, % of Elapsed Time;7.48
MPI Imbalance, s;0.23
MPI Imbalance, % of Elapsed Time;1.79

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.36
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;2.82
MPI Hotspot 2 - MPI_Wait, s;0.20
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.51
MPI Hotspot 3 - MPI_Send, s;0.13
MPI Hotspot 3 - MPI_Send, % of Elapsed Time;1.00
MPI Hotspot 4 - MPI_Allreduce, s;0.11
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.88
MPI Hotspot 5 - MPI_Waitany, s;0.06
MPI Hotspot 5 - MPI_Waitany, % of Elapsed Time;0.45
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         7616.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;         7616.00
Per rank
Peak resident set size,MB;          482.00
Peak resident set rank;2
Average resident set size,MB;          476.00
Virtual
Per node
Peak memory consumption,MB;        75632.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;        75632.00
Per rank
Peak memory consumption,MB;         4729.00
Peak memory consumption rank;5
Average memory consumption,MB;         4727.00
