Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:07:05
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987121
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.lj.timer_4n_1ont_864k_aps
Elapsed Time, s;5.35
SP GFLOPS;17.43
DP GFLOPS;6.26
Average CPU Frequency, GHz;                      2.14
Instructions Per Cycle Rate;0.76
MPI Time, s;0.54
MPI Time, % of Elapsed Time;10.13
MPI Imbalance, s;0.13
MPI Imbalance, % of Elapsed Time;2.42

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.28
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;5.17
MPI Hotspot 2 - MPI_Send, s;0.12
MPI Hotspot 2 - MPI_Send, % of Elapsed Time;2.29
MPI Hotspot 3 - MPI_Wait, s;0.10
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;1.83
MPI Hotspot 4 - MPI_Bcast, s;0.02
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.45
MPI Hotspot 5 - MPI_Allreduce, s;0.01
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.20
Memory Stalls, % of Pipeline Slots;27.30
Cache Stalls, % of Cycles;23.30
DRAM Stalls, % of Cycles;5.90
DRAM Bandwidth Peak, GB/s;24.95
DRAM Bandwidth Average, GB/s;8.77
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;0.90
Vectorization, %;90.50
SP FLOPs, % of uOps;6.50
Packed, % from SP FP;100.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;100.00
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.70
DP Packed, % from DP FP;79.60
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;79.60
DP Scalar, % from DP FP;20.40
Non-FP, % of uOps;87.80
FP Arith/Mem Rd Instr. Ratio;0.93
FP Arith/Mem Wr Instr. Ratio;2.03
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          899.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          899.00
Per rank
Peak resident set size,MB;          227.00
Peak resident set rank;0
Average resident set size,MB;          224.75
Virtual
Per node
Peak memory consumption,MB;        19630.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        19630.00
Per rank
Peak memory consumption,MB;         4909.00
Peak memory consumption rank;2
Average memory consumption,MB;         4907.50
