Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%CPU,%total
in.chute.timer,2048,8,Neigh,0.0054524,0.0054964,0.0055643,0.0,97.7,10.46
in.chute.timer,2048,8,Comm,0.0097428,0.010069,0.010374,0.3,85.3,19.16
in.chute.timer,2048,8,Output,4.2338e-05,7.5805e-05,0.00010033,0.0,20.9,0.14
in.chute.timer,2048,8,Modify,0.0084692,0.0086094,0.0088376,0.1,87.6,16.38
in.chute.timer,2048,8,Other,,0.005678,,,,10.80
in.chute.timer,2048,16,Pair,0.0086493,0.009635,0.010716,0.8,97.8,36.47
in.chute.timer,2048,16,Neigh,0.0027711,0.0028143,0.0028619,0.1,96.9,10.65
in.chute.timer,2048,16,Comm,0.006198,0.0065616,0.0070196,0.3,96.2,24.83
in.chute.timer,2048,16,Output,3.5729e-05,4.8404e-05,5.8832e-05,0.0,99.4,0.18
in.chute.timer,2048,16,Modify,0.004109,0.0041764,0.0042478,0.1,97.5,15.81
in.chute.timer,2048,16,Other,,0.003186,,,,12.06
in.chute.timer,2048,32,Pair,0.0030711,0.0043814,0.0054309,1.3,94.7,28.48
in.chute.timer,2048,32,Neigh,0.0010771,0.0014074,0.0014959,0.2,100.0,9.15
in.chute.timer,2048,32,Comm,0.0041066,0.0046053,0.004961,0.3,94.4,29.93
in.chute.timer,2048,32,Output,2.231e-05,3.3936e-05,4.9899e-05,0.0,93.0,0.22
in.chute.timer,2048,32,Modify,0.0016021,0.0021175,0.0022487,0.3,94.8,13.76
in.chute.timer,2048,32,Other,,0.002841,,,,18.46
in.chute.timer,2048,64,Pair,0.0015166,0.0021599,0.0027295,0.8,62.1,13.31
in.chute.timer,2048,64,Neigh,0.00068829,0.00072515,0.00077765,0.0,43.4,4.47
in.chute.timer,2048,64,Comm,0.006472,0.0080774,0.0094134,0.8,59.6,49.79
in.chute.timer,2048,64,Output,3.1181e-05,6.3918e-05,0.00011291,0.0,58.1,0.39
in.chute.timer,2048,64,Modify,0.0010763,0.0011456,0.0012653,0.1,60.0,7.06
in.chute.timer,2048,64,Other,,0.004052,,,,24.98
in.eam.timer,32,1,Pair,1.3728,1.3728,1.3728,0.0,99.0,83.78
in.eam.timer,32,1,Neigh,0.1239,0.1239,0.1239,0.0,99.0,7.56
in.eam.timer,32,1,Comm,0.055417,0.055417,0.055417,0.0,98.8,3.38
in.eam.timer,32,1,Output,0.00028491,0.00028491,0.00028491,0.0,100.0,0.02
in.eam.timer,32,1,Modify,0.061687,0.061687,0.061687,0.0,97.8,3.76
in.eam.timer,32,1,Other,,0.02453,,,,1.50
in.eam.timer,32,2,Pair,0.71185,0.71284,0.71382,0.1,98.4,82.71
in.eam.timer,32,2,Neigh,0.063484,0.064425,0.065367,0.4,98.9,7.48
in.eam.timer,32,2,Comm,0.042403,0.044195,0.045987,0.9,97.7,5.13
in.eam.timer,32,2,Output,0.00016901,0.00018444,0.00019987,0.0,100.0,0.02
in.eam.timer,32,2,Modify,0.027059,0.027109,0.02716,0.0,98.1,3.15
in.eam.timer,32,2,Other,,0.01313,,,,1.52
in.eam.timer,32,4,Pair,0.35389,0.35517,0.35724,0.2,99.0,81.44
in.eam.timer,32,4,Neigh,0.031922,0.03256,0.033062,0.2,99.0,7.47
in.eam.timer,32,4,Comm,0.028704,0.032105,0.035004,1.4,97.6,7.36
in.eam.timer,32,4,Output,0.00010453,0.0001191,0.00013141,0.0,100.0,0.03
in.eam.timer,32,4,Modify,0.0094851,0.010683,0.011857,1.1,99.5,2.45
in.eam.timer,32,4,Other,,0.005485,,,,1.26
in.eam.timer,32,8,Pair,0.18025,0.18143,0.18269,0.2,97.1,79.08
in.eam.timer,32,8,Neigh,0.016026,0.016356,0.016832,0.2,96.9,7.13
in.eam.timer,32,8,Comm,0.021849,0.023743,0.025264,0.7,95.1,10.35
in.eam.timer,32,8,Output,8.3223e-05,9.376e-05,0.00010614,0.0,100.0,0.04
in.eam.timer,32,8,Modify,0.0044455,0.0049037,0.0056302,0.6,98.8,2.14
in.eam.timer,32,8,Other,,0.002909,,,,1.27
in.eam.timer,32,16,Pair,0.10293,0.104,0.10687,0.3,94.3,75.27
in.eam.timer,32,16,Neigh,0.008321,0.0086604,0.0091937,0.3,95.2,6.27
in.eam.timer,32,16,Comm,0.017973,0.020763,0.021891,0.8,90.8,15.03
in.eam.timer,32,16,Output,0.00010149,0.00010848,0.00012548,0.0,100.0,0.08
in.eam.timer,32,16,Modify,0.0022508,0.0023956,0.0026067,0.2,95.8,1.73
in.eam.timer,32,16,Other,,0.002233,,,,1.62
in.eam.timer,32,32,Pair,0.057056,0.058529,0.061556,0.4,93.6,68.42
in.eam.timer,32,32,Neigh,0.0045134,0.0047973,0.0053455,0.3,95.9,5.61
in.eam.timer,32,32,Comm,0.015721,0.018723,0.020703,0.9,90.7,21.89
in.eam.timer,32,32,Output,9.5699e-05,0.00010407,0.00012492,0.0,99.7,0.12
in.eam.timer,32,32,Modify,0.0010382,0.0010719,0.0012185,0.1,93.3,1.25
in.eam.timer,32,32,Other,,0.002312,,,,2.70
in.eam.timer,32,64,Pair,0.033219,0.034064,0.037417,0.4,91.9,64.03
in.eam.timer,32,64,Neigh,0.0024005,0.0026851,0.0036438,0.4,97.5,5.05
in.eam.timer,32,64,Comm,0.010372,0.013917,0.015514,0.8,90.9,26.16
in.eam.timer,32,64,Output,6.2168e-05,0.00012468,0.00017862,0.0,93.5,0.23
in.eam.timer,32,64,Modify,0.0006299,0.0006737,0.00085896,0.0,92.7,1.27
in.eam.timer,32,64,Other,,0.001735,,,,3.26
in.eam.timer,256,1,Pair,9.0349,9.0349,9.0349,0.0,99.2,84.44
in.eam.timer,256,1,Neigh,0.89093,0.89093,0.89093,0.0,99.3,8.33
in.eam.timer,256,1,Comm,0.31212,0.31212,0.31212,0.0,98.8,2.92
in.eam.timer,256,1,Output,0.0013106,0.0013106,0.0013106,0.0,100.0,0.01
in.eam.timer,256,1,Modify,0.33604,0.33604,0.33604,0.0,99.0,3.14
in.eam.timer,256,1,Other,,0.1246,,,,1.16
in.eam.timer,256,2,Pair,4.925,4.9655,5.006,1.8,97.3,82.96
in.eam.timer,256,2,Neigh,0.48554,0.48978,0.49401,0.6,97.9,8.18
in.eam.timer,256,2,Comm,0.23477,0.28186,0.32896,8.9,95.7,4.71
in.eam.timer,256,2,Output,0.00064106,0.00066046,0.00067987,0.0,100.0,0.01
in.eam.timer,256,2,Modify,0.17065,0.17304,0.17543,0.6,94.6,2.89
in.eam.timer,256,2,Other,,0.0746,,,,1.25
in.eam.timer,256,4,Pair,2.6152,2.6716,2.7449,3.2,98.0,79.90
in.eam.timer,256,4,Neigh,0.25608,0.26648,0.27718,1.9,98.8,7.97
in.eam.timer,256,4,Comm,0.16407,0.25709,0.33071,13.6,88.3,7.69
in.eam.timer,256,4,Output,0.00060659,0.0013274,0.0016149,1.1,100.0,0.04
in.eam.timer,256,4,Modify,0.092253,0.10092,0.10959,2.5,96.3,3.02
in.eam.timer,256,4,Other,,0.04626,,,,1.38
in.eam.timer,256,8,Pair,1.4021,1.4086,1.4231,0.5,99.3,79.22
in.eam.timer,256,8,Neigh,0.14268,0.14441,0.14783,0.4,99.5,8.12
in.eam.timer,256,8,Comm,0.11187,0.13365,0.14482,2.7,98.7,7.52
in.eam.timer,256,8,Output,0.00038191,0.00043186,0.00045886,0.0,100.0,0.02
in.eam.timer,256,8,Modify,0.05666,0.061914,0.068498,1.6,99.1,3.48
in.eam.timer,256,8,Other,,0.02898,,,,1.63
in.eam.timer,256,16,Pair,0.71352,0.71965,0.7261,0.4,98.4,78.67
in.eam.timer,256,16,Neigh,0.073108,0.074019,0.075889,0.3,98.8,8.09
in.eam.timer,256,16,Comm,0.066642,0.07564,0.083508,1.5,95.6,8.27
in.eam.timer,256,16,Output,0.0002571,0.0003202,0.00044338,0.0,100.0,0.04
in.eam.timer,256,16,Modify,0.026418,0.028615,0.031773,0.9,98.1,3.13
in.eam.timer,256,16,Other,,0.0165,,,,1.80
in.eam.timer,256,32,Pair,0.36647,0.37002,0.37348,0.3,97.6,76.74
in.eam.timer,256,32,Neigh,0.037644,0.038178,0.038863,0.2,98.5,7.92
in.eam.timer,256,32,Comm,0.043569,0.048129,0.053103,1.2,94.8,9.98
in.eam.timer,256,32,Output,0.00020441,0.00025071,0.00034181,0.0,100.0,0.05
in.eam.timer,256,32,Modify,0.014295,0.016167,0.018382,0.8,97.3,3.35
in.eam.timer,256,32,Other,,0.009443,,,,1.96
in.eam.timer,256,64,Pair,0.18966,0.19268,0.19654,0.3,94.4,72.68
in.eam.timer,256,64,Neigh,0.019501,0.02008,0.021172,0.2,91.6,7.57
in.eam.timer,256,64,Comm,0.033537,0.037803,0.042776,0.9,90.7,14.26
in.eam.timer,256,64,Output,0.00018378,0.00021376,0.00028359,0.0,100.0,0.08
in.eam.timer,256,64,Modify,0.0071662,0.0090082,0.011101,0.9,95.1,3.40
in.eam.timer,256,64,Other,,0.00532,,,,2.01
in.eam.timer,864,1,Pair,29.425,29.425,29.425,0.0,99.3,84.31
in.eam.timer,864,1,Neigh,2.9099,2.9099,2.9099,0.0,99.2,8.34
in.eam.timer,864,1,Comm,1.125,1.125,1.125,0.0,99.1,3.22
in.eam.timer,864,1,Output,0.0048123,0.0048123,0.0048123,0.0,100.0,0.01
in.eam.timer,864,1,Modify,1.0598,1.0598,1.0598,0.0,99.3,3.04
in.eam.timer,864,1,Other,,0.3772,,,,1.08
in.eam.timer,864,2,Pair,15.32,15.324,15.328,0.1,99.2,84.23
in.eam.timer,864,2,Neigh,1.4727,1.4736,1.4745,0.1,99.2,8.10
in.eam.timer,864,2,Comm,0.677,0.68096,0.68492,0.5,94.1,3.74
in.eam.timer,864,2,Output,0.002277,0.0022866,0.0022963,0.0,100.0,0.01
in.eam.timer,864,2,Modify,0.51923,0.52077,0.52231,0.2,98.5,2.86
in.eam.timer,864,2,Other,,0.1912,,,,1.05
in.eam.timer,864,4,Pair,7.7273,7.7693,7.8037,1.0,99.2,83.05
in.eam.timer,864,4,Neigh,0.7495,0.75936,0.77224,1.1,99.4,8.12
in.eam.timer,864,4,Comm,0.38204,0.43942,0.50172,7.1,94.9,4.70
in.eam.timer,864,4,Output,0.0011978,0.0012437,0.0012796,0.1,100.0,0.01
in.eam.timer,864,4,Modify,0.26686,0.27852,0.29012,2.1,97.6,2.98
in.eam.timer,864,4,Other,,0.107,,,,1.14
in.eam.timer,864,8,Pair,4.2009,4.2443,4.4095,3.3,98.3,79.55
in.eam.timer,864,8,Neigh,0.39318,0.40556,0.44045,2.3,99.3,7.60
in.eam.timer,864,8,Comm,0.24625,0.45537,0.51318,13.1,86.9,8.53
in.eam.timer,864,8,Output,0.00066522,0.00070042,0.00072962,0.0,100.0,0.01
in.eam.timer,864,8,Modify,0.15375,0.16245,0.1742,1.7,95.5,3.04
in.eam.timer,864,8,Other,,0.0673,,,,1.26
in.eam.timer,864,16,Pair,2.0993,2.2898,2.3723,3.6,98.8,80.53
in.eam.timer,864,16,Neigh,0.18764,0.22575,0.23699,2.3,99.8,7.94
in.eam.timer,864,16,Comm,0.12267,0.21807,0.45346,14.3,90.9,7.67
in.eam.timer,864,16,Output,0.00044051,0.00053604,0.0007851,0.0,100.0,0.02
in.eam.timer,864,16,Modify,0.071373,0.075858,0.079402,0.8,96.7,2.67
in.eam.timer,864,16,Other,,0.03343,,,,1.18
in.eam.timer,864,32,Pair,1.2032,1.2111,1.2271,0.4,99.1,80.03
in.eam.timer,864,32,Neigh,0.12245,0.12339,0.12904,0.3,99.6,8.15
in.eam.timer,864,32,Comm,0.084807,0.096495,0.10999,1.9,95.9,6.38
in.eam.timer,864,32,Output,0.0003224,0.00041764,0.00074425,0.0,100.0,0.03
in.eam.timer,864,32,Modify,0.052043,0.055922,0.059912,0.8,96.9,3.70
in.eam.timer,864,32,Other,,0.02596,,,,1.72
in.eam.timer,864,64,Pair,0.62893,0.63466,0.64334,0.4,98.6,77.10
in.eam.timer,864,64,Neigh,0.063526,0.064457,0.06711,0.3,98.9,7.83
in.eam.timer,864,64,Comm,0.057464,0.069121,0.078371,1.6,97.5,8.40
in.eam.timer,864,64,Output,0.00022884,0.00038048,0.00062058,0.0,100.0,0.05
in.eam.timer,864,64,Modify,0.030746,0.035351,0.039672,1.0,98.2,4.29
in.eam.timer,864,64,Other,,0.0192,,,,2.33
in.eam.timer,2048,4,Pair,17.84,18.025,18.256,3.5,98.8,82.36
in.eam.timer,2048,4,Neigh,1.6555,1.6906,1.7346,2.7,99.0,7.72
in.eam.timer,2048,4,Comm,0.95379,1.2493,1.4852,17.6,90.1,5.71
in.eam.timer,2048,4,Output,0.0028658,0.0028762,0.0028894,0.0,100.0,0.01
in.eam.timer,2048,4,Modify,0.64357,0.66663,0.68925,2.5,97.8,3.05
in.eam.timer,2048,4,Other,,0.2516,,,,1.15
in.eam.timer,2048,8,Pair,9.1019,9.1502,9.2598,1.7,99.4,81.26
in.eam.timer,2048,8,Neigh,0.85075,0.86083,0.8827,1.3,99.8,7.65
in.eam.timer,2048,8,Comm,0.57902,0.7276,0.79246,8.1,92.5,6.46
in.eam.timer,2048,8,Output,0.0017368,0.0018605,0.0019223,0.1,100.0,0.02
in.eam.timer,2048,8,Modify,0.35757,0.37081,0.38952,1.7,96.7,3.29
in.eam.timer,2048,8,Other,,0.1486,,,,1.32
in.eam.timer,2048,16,Pair,4.8557,4.8934,4.9825,1.5,99.0,79.52
in.eam.timer,2048,16,Neigh,0.45855,0.46487,0.48406,1.1,99.8,7.55
in.eam.timer,2048,16,Comm,0.37555,0.47789,0.52221,6.0,91.5,7.77
in.eam.timer,2048,16,Output,0.0011909,0.0015675,0.0026448,1.5,100.0,0.03
in.eam.timer,2048,16,Modify,0.21212,0.22149,0.23348,1.2,97.4,3.60
in.eam.timer,2048,16,Other,,0.09433,,,,1.53
in.eam.timer,2048,32,Pair,2.7324,2.7597,2.8823,1.8,98.7,76.94
in.eam.timer,2048,32,Neigh,0.25797,0.26328,0.2853,1.1,99.7,7.34
in.eam.timer,2048,32,Comm,0.21563,0.33898,0.37793,5.7,88.2,9.45
in.eam.timer,2048,32,Output,0.00069876,0.0022204,0.0044962,3.5,96.5,0.06
in.eam.timer,2048,32,Modify,0.13518,0.14925,0.15892,1.5,96.8,4.16
in.eam.timer,2048,32,Other,,0.07321,,,,2.04
in.eam.timer,2048,64,Pair,1.4812,1.5075,1.5478,1.4,99.3,76.08
in.eam.timer,2048,64,Neigh,0.14769,0.14977,0.15574,0.5,99.5,7.56
in.eam.timer,2048,64,Comm,0.13419,0.16724,0.20111,4.7,94.0,8.44
in.eam.timer,2048,64,Output,0.0005526,0.00067889,0.0011491,0.0,100.0,0.03
in.eam.timer,2048,64,Modify,0.096908,0.1098,0.12164,1.8,97.3,5.54
in.eam.timer,2048,64,Other,,0.04661,,,,2.35
in.lj.timer,32,1,Pair,0.55429,0.55429,0.55429,0.0,99.0,78.00
in.lj.timer,32,1,Neigh,0.049035,0.049035,0.049035,0.0,98.9,6.90
in.lj.timer,32,1,Comm,0.033103,0.033103,0.033103,0.0,98.3,4.66
in.lj.timer,32,1,Output,0.00014276,0.00014276,0.00014276,0.0,100.0,0.02
in.lj.timer,32,1,Modify,0.060823,0.060823,0.060823,0.0,99.6,8.56
in.lj.timer,32,1,Other,,0.01328,,,,1.87
in.lj.timer,32,2,Pair,0.27787,0.27863,0.2794,0.1,98.3,74.51
in.lj.timer,32,2,Neigh,0.024939,0.025078,0.025216,0.1,98.7,6.71
in.lj.timer,32,2,Comm,0.035732,0.036805,0.037878,0.6,96.4,9.84
in.lj.timer,32,2,Output,8.5129e-05,9.385e-05,0.00010257,0.0,100.0,0.03
in.lj.timer,32,2,Modify,0.026862,0.026939,0.027015,0.0,97.9,7.20
in.lj.timer,32,2,Other,,0.006422,,,,1.72
in.lj.timer,32,4,Pair,0.13669,0.13955,0.14275,0.6,98.1,70.36
in.lj.timer,32,4,Neigh,0.012865,0.013131,0.013404,0.2,98.9,6.62
in.lj.timer,32,4,Comm,0.027396,0.03244,0.036848,2.2,98.7,16.36
in.lj.timer,32,4,Output,5.3269e-05,5.987e-05,6.8033e-05,0.0,100.0,0.03
in.lj.timer,32,4,Modify,0.0095083,0.010659,0.011979,1.1,99.2,5.37
in.lj.timer,32,4,Other,,0.002499,,,,1.26
in.lj.timer,32,8,Pair,0.065681,0.068346,0.071795,1.0,97.8,64.93
in.lj.timer,32,8,Neigh,0.0065385,0.0066264,0.0067708,0.1,100.0,6.30
in.lj.timer,32,8,Comm,0.02078,0.024573,0.0276,1.7,94.2,23.34
in.lj.timer,32,8,Output,4.679e-05,6.0471e-05,6.3327e-05,0.0,100.0,0.06
in.lj.timer,32,8,Modify,0.0043951,0.004716,0.0054155,0.5,98.6,4.48
in.lj.timer,32,8,Other,,0.00094,,,,0.89
in.lj.timer,32,16,Pair,0.032732,0.035352,0.038593,1.1,89.6,54.07
in.lj.timer,32,16,Neigh,0.003473,0.0036084,0.0037606,0.2,95.8,5.52
in.lj.timer,32,16,Comm,0.020199,0.023664,0.026289,1.4,89.2,36.19
in.lj.timer,32,16,Output,5.3613e-05,6.4204e-05,6.8796e-05,0.0,99.9,0.10
in.lj.timer,32,16,Modify,0.0018872,0.0020645,0.0022966,0.3,90.0,3.16
in.lj.timer,32,16,Other,,0.0006328,,,,0.97
in.lj.timer,32,32,Pair,0.016532,0.01868,0.023098,1.4,92.1,40.28
in.lj.timer,32,32,Neigh,0.0018597,0.0020517,0.0024197,0.3,95.9,4.42
in.lj.timer,32,32,Comm,0.018924,0.024084,0.026336,1.4,89.0,51.93
in.lj.timer,32,32,Output,4.7468e-05,6.1403e-05,0.00013705,0.0,96.5,0.13
in.lj.timer,32,32,Modify,0.0010026,0.0011142,0.0014193,0.4,91.8,2.40
in.lj.timer,32,32,Other,,0.000387,,,,0.83
in.lj.timer,32,64,Pair,0.0084697,0.0099594,0.014345,1.8,84.3,32.92
in.lj.timer,32,64,Neigh,0.0010133,0.0012915,0.0020729,0.6,83.8,4.27
in.lj.timer,32,64,Comm,0.012666,0.01794,0.019652,1.7,80.0,59.29
in.lj.timer,32,64,Output,3.4918e-05,4.4784e-05,6.1998e-05,0.0,93.3,0.15
in.lj.timer,32,64,Modify,0.00062365,0.00073417,0.0010616,0.0,84.4,2.43
in.lj.timer,32,64,Other,,0.0002873,,,,0.95
in.lj.timer,256,1,Pair,3.8609,3.8609,3.8609,0.0,99.1,80.02
in.lj.timer,256,1,Neigh,0.32066,0.32066,0.32066,0.0,99.1,6.65
in.lj.timer,256,1,Comm,0.20178,0.20178,0.20178,0.0,99.1,4.18
in.lj.timer,256,1,Output,0.0019512,0.0019512,0.0019512,0.0,100.0,0.04
in.lj.timer,256,1,Modify,0.37532,0.37532,0.37532,0.0,99.1,7.78
in.lj.timer,256,1,Other,,0.06443,,,,1.34
in.lj.timer,256,2,Pair,2.2157,2.2579,2.3,2.8,97.4,75.86
in.lj.timer,256,2,Neigh,0.1798,0.18627,0.19274,1.5,97.5,6.26
in.lj.timer,256,2,Comm,0.1856,0.23948,0.29335,11.0,93.3,8.05
in.lj.timer,256,2,Output,0.00031907,0.00037055,0.00042203,0.0,100.0,0.01
in.lj.timer,256,2,Modify,0.2419,0.24581,0.24971,0.8,94.9,8.26
in.lj.timer,256,2,Other,,0.04645,,,,1.56
in.lj.timer,256,4,Pair,1.0913,1.1166,1.1494,2.2,98.0,72.74
in.lj.timer,256,4,Neigh,0.09457,0.097338,0.10175,0.9,98.8,6.34
in.lj.timer,256,4,Comm,0.12559,0.18426,0.23109,10.2,93.5,12.00
in.lj.timer,256,4,Output,0.00034707,0.00038413,0.00041081,0.0,100.0,0.03
in.lj.timer,256,4,Modify,0.09723,0.11362,0.13253,4.7,95.0,7.40
in.lj.timer,256,4,Other,,0.02292,,,,1.49
in.lj.timer,256,8,Pair,0.53976,0.55048,0.58194,1.9,97.2,69.64
in.lj.timer,256,8,Neigh,0.048128,0.048801,0.051002,0.4,98.9,6.17
in.lj.timer,256,8,Comm,0.080135,0.12507,0.1442,5.9,93.2,15.82
in.lj.timer,256,8,Output,0.00020721,0.00024671,0.00028063,0.0,100.0,0.03
in.lj.timer,256,8,Modify,0.047092,0.053921,0.063794,2.5,95.8,6.82
in.lj.timer,256,8,Other,,0.01194,,,,1.51
in.lj.timer,256,16,Pair,0.21279,0.26018,0.26637,2.4,98.7,74.86
in.lj.timer,256,16,Neigh,0.019406,0.024274,0.025525,0.8,99.9,6.98
in.lj.timer,256,16,Comm,0.035962,0.044742,0.099034,6.8,97.3,12.87
in.lj.timer,256,16,Output,9.4636e-05,0.00012249,0.00019763,0.0,100.0,0.04
in.lj.timer,256,16,Modify,0.012598,0.014166,0.015968,0.8,97.3,4.08
in.lj.timer,256,16,Other,,0.004077,,,,1.17
in.lj.timer,256,32,Pair,0.13682,0.1395,0.14265,0.4,96.9,66.50
in.lj.timer,256,32,Neigh,0.012918,0.013154,0.013763,0.2,97.8,6.27
in.lj.timer,256,32,Comm,0.037197,0.041611,0.046143,1.2,95.1,19.84
in.lj.timer,256,32,Output,0.00010619,0.0001268,0.00018033,0.0,100.0,0.06
in.lj.timer,256,32,Modify,0.010792,0.012677,0.014615,1.0,97.5,6.04
in.lj.timer,256,32,Other,,0.0027,,,,1.29
in.lj.timer,256,64,Pair,0.066315,0.068799,0.076227,1.0,95.1,59.01
in.lj.timer,256,64,Neigh,0.0066026,0.0068203,0.0073258,0.2,97.9,5.85
in.lj.timer,256,64,Comm,0.025362,0.033555,0.036917,1.5,90.7,28.78
in.lj.timer,256,64,Output,8.3502e-05,9.6902e-05,0.00013492,0.0,100.0,0.08
in.lj.timer,256,64,Modify,0.0050783,0.00632,0.0081003,0.8,96.1,5.42
in.lj.timer,256,64,Other,,0.0009965,,,,0.85
in.lj.timer,864,1,Pair,12.062,12.062,12.062,0.0,99.2,80.71
in.lj.timer,864,1,Neigh,0.99201,0.99201,0.99201,0.0,99.3,6.64
in.lj.timer,864,1,Comm,0.58874,0.58874,0.58874,0.0,99.0,3.94
in.lj.timer,864,1,Output,0.0040826,0.0040826,0.0040826,0.0,100.0,0.03
in.lj.timer,864,1,Modify,1.12,1.12,1.12,0.0,99.1,7.49
in.lj.timer,864,1,Other,,0.1783,,,,1.19
in.lj.timer,864,2,Pair,6.1819,6.2055,6.2291,0.9,99.1,79.60
in.lj.timer,864,2,Neigh,0.51199,0.51287,0.51375,0.1,99.2,6.58
in.lj.timer,864,2,Comm,0.38716,0.41066,0.43416,3.7,96.7,5.27
in.lj.timer,864,2,Output,0.0010881,0.0011132,0.0011383,0.1,100.0,0.01
in.lj.timer,864,2,Modify,0.57464,0.57472,0.5748,0.0,98.4,7.37
in.lj.timer,864,2,Other,,0.0911,,,,1.17
in.lj.timer,864,4,Pair,3.2546,3.3165,3.4173,3.4,99.4,75.92
in.lj.timer,864,4,Neigh,0.27125,0.27629,0.2815,0.9,99.5,6.32
in.lj.timer,864,4,Comm,0.26064,0.39008,0.48205,13.7,92.2,8.93
in.lj.timer,864,4,Output,0.00059129,0.000602,0.00062223,0.0,100.0,0.01
in.lj.timer,864,4,Modify,0.30738,0.3291,0.34978,3.2,98.0,7.53
in.lj.timer,864,4,Other,,0.05594,,,,1.28
in.lj.timer,864,8,Pair,1.8334,1.8808,1.9587,3.0,99.5,72.70
in.lj.timer,864,8,Neigh,0.14366,0.15163,0.15968,1.4,99.7,5.86
in.lj.timer,864,8,Comm,0.20331,0.31166,0.36971,10.3,89.6,12.05
in.lj.timer,864,8,Output,0.00033303,0.00036364,0.00039182,0.0,100.0,0.01
in.lj.timer,864,8,Modify,0.1907,0.20639,0.22696,2.8,95.5,7.98
in.lj.timer,864,8,Other,,0.03614,,,,1.40
in.lj.timer,864,16,Pair,0.94828,0.95459,0.96136,0.4,99.4,75.43
in.lj.timer,864,16,Neigh,0.079163,0.080549,0.084469,0.5,99.8,6.36
in.lj.timer,864,16,Comm,0.10634,0.12142,0.13253,2.2,97.3,9.59
in.lj.timer,864,16,Output,0.00026605,0.0003956,0.00070868,0.0,100.0,0.03
in.lj.timer,864,16,Modify,0.086696,0.091144,0.096156,0.9,98.5,7.20
in.lj.timer,864,16,Other,,0.01748,,,,1.38
in.lj.timer,864,32,Pair,0.48318,0.48746,0.49325,0.4,99.3,73.04
in.lj.timer,864,32,Neigh,0.041098,0.041711,0.042699,0.2,99.5,6.25
in.lj.timer,864,32,Comm,0.064914,0.075255,0.082873,1.5,97.6,11.28
in.lj.timer,864,32,Output,0.00014565,0.00017316,0.00023288,0.0,100.0,0.03
in.lj.timer,864,32,Modify,0.047592,0.050797,0.054154,0.7,98.8,7.61
in.lj.timer,864,32,Other,,0.01196,,,,1.79
in.lj.timer,864,64,Pair,0.24006,0.24494,0.25369,0.4,97.7,67.08
in.lj.timer,864,64,Neigh,0.021027,0.021527,0.022675,0.2,99.8,5.90
in.lj.timer,864,64,Comm,0.051452,0.06025,0.071202,1.2,96.7,16.50
in.lj.timer,864,64,Output,0.0001172,0.00014052,0.00022436,0.0,100.0,0.04
in.lj.timer,864,64,Modify,0.025407,0.030931,0.032956,0.7,97.1,8.47
in.lj.timer,864,64,Other,,0.007349,,,,2.01
in.lj.timer,2048,4,Pair,7.2509,7.3449,7.4485,2.8,99.5,77.81
in.lj.timer,2048,4,Neigh,0.56808,0.57839,0.60245,1.8,99.6,6.13
in.lj.timer,2048,4,Comm,0.52067,0.6683,0.79405,13.2,94.3,7.08
in.lj.timer,2048,4,Output,0.0014533,0.0014605,0.0014754,0.0,100.0,0.02
in.lj.timer,2048,4,Modify,0.70012,0.72151,0.74367,2.5,98.8,7.64
in.lj.timer,2048,4,Other,,0.1252,,,,1.33
in.lj.timer,2048,8,Pair,3.8551,3.9134,4.0275,3.2,99.7,74.47
in.lj.timer,2048,8,Neigh,0.30118,0.30803,0.3215,1.3,99.8,5.86
in.lj.timer,2048,8,Comm,0.3801,0.5352,0.60742,11.1,90.7,10.18
in.lj.timer,2048,8,Output,0.00079694,0.00083345,0.00090852,0.0,100.0,0.02
in.lj.timer,2048,8,Modify,0.39941,0.41757,0.44082,2.2,97.8,7.95
in.lj.timer,2048,8,Other,,0.07987,,,,1.52
in.lj.timer,2048,16,Pair,2.1203,2.1606,2.2634,2.8,99.7,72.76
in.lj.timer,2048,16,Neigh,0.16849,0.17186,0.18618,1.2,99.8,5.79
in.lj.timer,2048,16,Comm,0.25355,0.36096,0.41281,7.9,91.6,12.16
in.lj.timer,2048,16,Output,0.00051086,0.0034691,0.011963,8.3,97.9,0.12
in.lj.timer,2048,16,Modify,0.21081,0.2246,0.23545,1.4,98.7,7.56
in.lj.timer,2048,16,Other,,0.04812,,,,1.62
in.lj.timer,2048,32,Pair,1.1726,1.1882,1.2224,0.8,99.5,71.63
in.lj.timer,2048,32,Neigh,0.094678,0.095702,0.098368,0.3,99.8,5.77
in.lj.timer,2048,32,Comm,0.14079,0.18764,0.20698,2.8,95.5,11.31
in.lj.timer,2048,32,Output,0.0003685,0.00054153,0.00077465,0.0,100.0,0.03
in.lj.timer,2048,32,Modify,0.13969,0.15324,0.16149,1.3,97.7,9.24
in.lj.timer,2048,32,Other,,0.03352,,,,2.02
in.lj.timer,2048,64,Pair,0.62352,0.64491,0.69358,1.5,98.3,65.67
in.lj.timer,2048,64,Neigh,0.048984,0.049655,0.051758,0.3,99.5,5.06
in.lj.timer,2048,64,Comm,0.11102,0.16449,0.20089,3.3,92.7,16.75
in.lj.timer,2048,64,Output,0.0002655,0.00050232,0.00085462,0.0,100.0,0.05
in.lj.timer,2048,64,Modify,0.088595,0.10364,0.11401,1.7,96.2,10.55
in.lj.timer,2048,64,Other,,0.01891,,,,1.93
