Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%CPU,%total
in.chain.timer,256,4,Neigh,0.47348,0.47439,0.47527,0.1,98.3,22.19
in.chain.timer,256,4,Comm,0.40664,0.44157,0.47401,4.3,96.5,20.65
in.chain.timer,256,4,Output,0.00016801,0.00057481,0.00098064,0.0,100.0,0.03
in.chain.timer,256,4,Modify,0.4394,0.4651,0.49198,3.4,97.3,21.75
in.chain.timer,256,4,Other,,0.1006,,,,4.70
in.chain.timer,256,8,Pair,0.26796,0.2726,0.27985,0.8,98.7,26.43
in.chain.timer,256,8,Bond,0.049209,0.050902,0.053597,0.7,98.4,4.94
in.chain.timer,256,8,Neigh,0.2294,0.23024,0.23099,0.1,98.8,22.33
in.chain.timer,256,8,Comm,0.18473,0.19694,0.20665,1.7,96.3,19.10
in.chain.timer,256,8,Output,0.00016788,0.00037971,0.00041799,0.0,100.0,0.04
in.chain.timer,256,8,Modify,0.22336,0.23053,0.241,1.3,97.9,22.35
in.chain.timer,256,8,Other,,0.04969,,,,4.82
in.chain.timer,256,16,Pair,0.1354,0.13758,0.14013,0.4,99.0,26.50
in.chain.timer,256,16,Bond,0.024934,0.025668,0.026825,0.3,99.2,4.94
in.chain.timer,256,16,Neigh,0.12806,0.12832,0.12888,0.1,99.3,24.72
in.chain.timer,256,16,Comm,0.095065,0.098928,0.1034,0.7,96.6,19.06
in.chain.timer,256,16,Output,9.4465e-05,0.00015223,0.00030976,0.0,100.0,0.03
in.chain.timer,256,16,Modify,0.1024,0.10431,0.10698,0.4,98.9,20.09
in.chain.timer,256,16,Other,,0.02416,,,,4.65
in.chain.timer,256,32,Pair,0.070217,0.071731,0.073938,0.3,98.4,27.45
in.chain.timer,256,32,Bond,0.011186,0.011523,0.012197,0.2,98.3,4.41
in.chain.timer,256,32,Neigh,0.060365,0.060829,0.061274,0.1,94.4,23.28
in.chain.timer,256,32,Comm,0.046336,0.050042,0.053315,1.0,92.4,19.15
in.chain.timer,256,32,Output,7.5209e-05,8.178e-05,0.000101,0.0,100.0,0.03
