Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:01:05
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987121
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_4n_1ont_2048k_aps
Elapsed Time, s;16.48
SP GFLOPS;6.39
DP GFLOPS;3.41
Average CPU Frequency, GHz;                      2.56
Instructions Per Cycle Rate;1.12
MPI Time, s;1.05
MPI Time, % of Elapsed Time;6.37
MPI Imbalance, s;0.67
MPI Imbalance, % of Elapsed Time;4.07

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.29
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;1.73
MPI Hotspot 2 - MPI_Sendrecv, s;0.28
MPI Hotspot 2 - MPI_Sendrecv, % of Elapsed Time;1.70
MPI Hotspot 3 - MPI_Allreduce, s;0.21
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;1.26
MPI Hotspot 4 - MPI_Wait, s;0.19
MPI Hotspot 4 - MPI_Wait, % of Elapsed Time;1.13
MPI Hotspot 5 - MPI_Bcast, s;0.05
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.27
Memory Stalls, % of Pipeline Slots;28.60
Cache Stalls, % of Cycles;16.00
DRAM Stalls, % of Cycles;14.60
DRAM Bandwidth Peak, GB/s;51.45
DRAM Bandwidth Average, GB/s;14.39
DRAM Bandwidth Bound, %;10.60
NUMA, % of Remote Accesses;0.30
Vectorization, %;40.70
SP FLOPs, % of uOps;4.40
Packed, % from SP FP;52.50
SP 128-bit, %;0.00
SP 256-bit, %;2.20
SP 512-bit, %;50.40
SP Scalar, % from SP FP;47.50
DP FLOPs, % of uOps;6.30
DP Packed, % from DP FP;32.40
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;32.40
DP Scalar, % from DP FP;67.60
Non-FP, % of uOps;89.30
FP Arith/Mem Rd Instr. Ratio;0.40
FP Arith/Mem Wr Instr. Ratio;1.10
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1495.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1495.00
Per rank
Peak resident set size,MB;          377.00
Peak resident set rank;0
Average resident set size,MB;          373.75
Virtual
Per node
Peak memory consumption,MB;        31302.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        31302.00
Per rank
Peak memory consumption,MB;         7826.00
Peak memory consumption rank;3
Average memory consumption,MB;         7825.50
