Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:44:49
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987103
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_64n_1ont_256k_aps
Elapsed Time, s;3.55
SP GFLOPS;0.00
DP GFLOPS;0.00
Average CPU Frequency, GHz;                      1.56
Instructions Per Cycle Rate;1.14
MPI Time, s;2.60
MPI Time, % of Elapsed Time;73.24
MPI Imbalance, s;0.03
MPI Imbalance, % of Elapsed Time;0.84

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;2.54
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;71.58
MPI Hotspot 2 - MPI_Allreduce, s;0.03
MPI Hotspot 2 - MPI_Allreduce, % of Elapsed Time;0.73
MPI Hotspot 3 - MPI_Finalize, s;0.01
MPI Hotspot 3 - MPI_Finalize, % of Elapsed Time;0.33
MPI Hotspot 4 - MPI_Bcast, s;0.01
MPI Hotspot 4 - MPI_Bcast, % of Elapsed Time;0.30
MPI Hotspot 5 - MPI_Wait, s;0.01
MPI Hotspot 5 - MPI_Wait, % of Elapsed Time;0.14
Memory Stalls, % of Pipeline Slots;20.10
Cache Stalls, % of Cycles;12.40
DRAM Stalls, % of Cycles;1.00
DRAM Bandwidth Peak, GB/s;125.84
DRAM Bandwidth Average, GB/s;3.42
DRAM Bandwidth Bound, %;3.30
NUMA, % of Remote Accesses;2.00
Vectorization, %;0.20
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;0.00
Non-FP, % of uOps;100.00
FP Arith/Mem Rd Instr. Ratio;0.00
FP Arith/Mem Wr Instr. Ratio;0.00
Disk I/O Bound, s;0.00
Disk I/O Bound, % of Elapsed Time;0.00
Disk read, KB;                               0.6
Disk write, KB;                              0.0
Memory Footprint
Resident
Per node
Peak resident set size,MB;         7989.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         7989.00
Per rank
Peak resident set size,MB;          131.00
Peak resident set rank;0
Average resident set size,MB;          124.83
Virtual
Per node
Peak memory consumption,MB;       650307.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       650307.00
Per rank
Peak memory consumption,MB;        10165.00
Peak memory consumption rank;6
Average memory consumption,MB;        10161.05
