Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:02:11
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987181
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_64n_1ont_2048k_aps
Elapsed Time, s;5.21
SP GFLOPS;19.80
DP GFLOPS;11.45
Average CPU Frequency, GHz;                      2.31
Instructions Per Cycle Rate;1.11
MPI Time, s;2.81
MPI Time, % of Elapsed Time;53.88
MPI Imbalance, s;0.06
MPI Imbalance, % of Elapsed Time;1.24

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;2.63
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;50.40
MPI Hotspot 2 - MPI_Wait, s;0.04
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;0.74
MPI Hotspot 3 - MPI_Allreduce, s;0.04
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.68
MPI Hotspot 4 - MPI_Sendrecv, s;0.03
MPI Hotspot 4 - MPI_Sendrecv, % of Elapsed Time;0.55
MPI Hotspot 5 - MPI_Bcast, s;0.03
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.49
Memory Stalls, % of Pipeline Slots;29.40
Cache Stalls, % of Cycles;15.70
DRAM Stalls, % of Cycles;16.20
DRAM Bandwidth Peak, GB/s;216.53
DRAM Bandwidth Average, GB/s;38.12
DRAM Bandwidth Bound, %;29.50
NUMA, % of Remote Accesses;0.60
Vectorization, %;37.70
SP FLOPs, % of uOps;3.10
Packed, % from SP FP;52.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;52.00
SP Scalar, % from SP FP;48.00
DP FLOPs, % of uOps;5.20
DP Packed, % from DP FP;29.20
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;29.20
DP Scalar, % from DP FP;70.80
Non-FP, % of uOps;91.60
FP Arith/Mem Rd Instr. Ratio;0.32
FP Arith/Mem Wr Instr. Ratio;0.80
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         9576.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         9576.00
Per rank
Peak resident set size,MB;          156.00
Peak resident set rank;55
Average resident set size,MB;          149.62
Virtual
Per node
Peak memory consumption,MB;       669850.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       669850.00
Per rank
Peak memory consumption,MB;        10470.00
Peak memory consumption rank;32
Average memory consumption,MB;        10466.41
