Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 17:17:03
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.scaled.timer_8n_1ont_2048k_aps
Elapsed Time, s;24.05
MPI Time, s;0.89
MPI Time, % of Elapsed Time;3.72
MPI Imbalance, s;0.30
MPI Imbalance, % of Elapsed Time;1.26

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Wait, s;0.21
MPI Hotspot 1 - MPI_Wait, % of Elapsed Time;0.89
MPI Hotspot 2 - MPI_Send, s;0.20
MPI Hotspot 2 - MPI_Send, % of Elapsed Time;0.81
MPI Hotspot 3 - MPI_Init, s;0.18
MPI Hotspot 3 - MPI_Init, % of Elapsed Time;0.75
MPI Hotspot 4 - MPI_Allreduce, s;0.10
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.44
MPI Hotspot 5 - MPI_Sendrecv, s;0.08
MPI Hotspot 5 - MPI_Sendrecv, % of Elapsed Time;0.33
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         4517.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;         4517.00
Per rank
Peak resident set size,MB;          568.00
Peak resident set rank;3
Average resident set size,MB;          564.62
Virtual
Per node
Peak memory consumption,MB;        36856.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;        36856.00
Per rank
Peak memory consumption,MB;         4611.00
Peak memory consumption rank;6
Average memory consumption,MB;         4607.00
