Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:38:21
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987246
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_16n_1ont_32k_aps
Elapsed Time, s;1.41
SP GFLOPS;0.00
DP GFLOPS;1.02
Average CPU Frequency, GHz;                      1.36
Instructions Per Cycle Rate;1.43
MPI Time, s;0.74
MPI Time, % of Elapsed Time;52.85
MPI Imbalance, s;0.03
MPI Imbalance, % of Elapsed Time;2.35

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.69
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;48.66
MPI Hotspot 2 - MPI_Bcast, s;0.04
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;3.19
MPI Hotspot 3 - MPI_Finalize, s;0.00
MPI Hotspot 3 - MPI_Finalize, % of Elapsed Time;0.28
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.26
MPI Hotspot 5 - MPI_Wait, s;0.00
MPI Hotspot 5 - MPI_Wait, % of Elapsed Time;0.20
Memory Stalls, % of Pipeline Slots;10.40
Cache Stalls, % of Cycles;19.10
DRAM Stalls, % of Cycles;5.70
DRAM Bandwidth Peak, GB/s;51.67
DRAM Bandwidth Average, GB/s;2.54
DRAM Bandwidth Bound, %;2.60
NUMA, % of Remote Accesses;3.40
Vectorization, %;0.70
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;4.90
DP Packed, % from DP FP;0.70
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;0.70
DP Scalar, % from DP FP;99.30
Non-FP, % of uOps;95.10
FP Arith/Mem Rd Instr. Ratio;0.22
FP Arith/Mem Wr Instr. Ratio;0.40
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1996.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1996.00
Per rank
Peak resident set size,MB;          129.00
Peak resident set rank;0
Average resident set size,MB;          124.75
Virtual
Per node
Peak memory consumption,MB;        62730.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        62730.00
Per rank
Peak memory consumption,MB;         3923.00
Peak memory consumption rank;15
Average memory consumption,MB;         3920.62
