Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:56:00
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987162
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_64n_1ont_864k_aps
Elapsed Time, s;3.52
SP GFLOPS;0.00
DP GFLOPS;0.01
Average CPU Frequency, GHz;                      1.55
Instructions Per Cycle Rate;1.16
MPI Time, s;2.63
MPI Time, % of Elapsed Time;74.67
MPI Imbalance, s;0.03
MPI Imbalance, % of Elapsed Time;0.75

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;2.57
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;72.98
MPI Hotspot 2 - MPI_Allreduce, s;0.02
MPI Hotspot 2 - MPI_Allreduce, % of Elapsed Time;0.64
MPI Hotspot 3 - MPI_Bcast, s;0.02
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;0.46
MPI Hotspot 4 - MPI_Finalize, s;0.01
MPI Hotspot 4 - MPI_Finalize, % of Elapsed Time;0.32
MPI Hotspot 5 - MPI_Wait, s;0.00
MPI Hotspot 5 - MPI_Wait, % of Elapsed Time;0.13
Memory Stalls, % of Pipeline Slots;12.00
Cache Stalls, % of Cycles;15.80
DRAM Stalls, % of Cycles;1.40
DRAM Bandwidth Peak, GB/s;122.87
DRAM Bandwidth Average, GB/s;3.78
DRAM Bandwidth Bound, %;3.40
NUMA, % of Remote Accesses;3.50
Vectorization, %;0.50
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;0.10
DP Packed, % from DP FP;0.50
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;0.50
DP Scalar, % from DP FP;99.50
Non-FP, % of uOps;99.90
FP Arith/Mem Rd Instr. Ratio;0.00
FP Arith/Mem Wr Instr. Ratio;0.00
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         7967.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         7967.00
Per rank
Peak resident set size,MB;          128.00
Peak resident set rank;54
Average resident set size,MB;          124.48
Virtual
Per node
Peak memory consumption,MB;       650285.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       650285.00
Per rank
Peak memory consumption,MB;        10165.00
Peak memory consumption rank;56
Average memory consumption,MB;        10160.70
