Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 15:18:59
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.timer_4n_1ont_32k_aps
Elapsed Time, s;10.33
MPI Time, s;0.55
MPI Time, % of Elapsed Time;5.32
MPI Imbalance, s;0.08
MPI Imbalance, % of Elapsed Time;0.74

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Wait, s;0.23
MPI Hotspot 1 - MPI_Wait, % of Elapsed Time;2.24
MPI Hotspot 2 - MPI_Init, s;0.11
MPI Hotspot 2 - MPI_Init, % of Elapsed Time;1.03
MPI Hotspot 3 - MPI_Send, s;0.08
MPI Hotspot 3 - MPI_Send, % of Elapsed Time;0.74
MPI Hotspot 4 - MPI_Waitany, s;0.05
MPI Hotspot 4 - MPI_Waitany, % of Elapsed Time;0.48
MPI Hotspot 5 - MPI_Allreduce, s;0.05
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.46
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          790.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;          790.00
Per rank
Peak resident set size,MB;          200.00
Peak resident set rank;0
Average resident set size,MB;          197.50
Virtual
Per node
Peak memory consumption,MB;        12320.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;        12320.00
Per rank
Peak memory consumption,MB;         3081.00
Peak memory consumption rank;2
Average memory consumption,MB;         3080.00
