Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:55:40
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987864
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_16n_1ont_864k_aps
Elapsed Time, s;1.35
SP GFLOPS;0.00
DP GFLOPS;0.53
Average CPU Frequency, GHz;                      1.37
Instructions Per Cycle Rate;1.45
MPI Time, s;0.71
MPI Time, % of Elapsed Time;52.57
MPI Imbalance, s;0.03
MPI Imbalance, % of Elapsed Time;2.07

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.66
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;48.56
MPI Hotspot 2 - MPI_Bcast, s;0.04
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;2.94
MPI Hotspot 3 - MPI_Finalize, s;0.00
MPI Hotspot 3 - MPI_Finalize, % of Elapsed Time;0.29
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.27
MPI Hotspot 5 - MPI_Wait, s;0.00
MPI Hotspot 5 - MPI_Wait, % of Elapsed Time;0.22
Memory Stalls, % of Pipeline Slots;14.00
Cache Stalls, % of Cycles;12.30
DRAM Stalls, % of Cycles;1.30
DRAM Bandwidth Peak, GB/s;64.67
DRAM Bandwidth Average, GB/s;2.77
DRAM Bandwidth Bound, %;1.80
NUMA, % of Remote Accesses;2.70
Vectorization, %;0.10
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;4.30
DP Packed, % from DP FP;0.10
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;0.10
DP Scalar, % from DP FP;99.90
Non-FP, % of uOps;95.70
FP Arith/Mem Rd Instr. Ratio;0.17
FP Arith/Mem Wr Instr. Ratio;0.35
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1995.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1995.00
Per rank
Peak resident set size,MB;          129.00
Peak resident set rank;0
Average resident set size,MB;          124.69
Virtual
Per node
Peak memory consumption,MB;        62740.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        62740.00
Per rank
Peak memory consumption,MB;         3925.00
Peak memory consumption rank;4
Average memory consumption,MB;         3921.25
