Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:17:28
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987243
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.eam.timer_8n_1ont_256k_aps
Elapsed Time, s;2.90
SP GFLOPS;20.68
DP GFLOPS;6.89
Average CPU Frequency, GHz;                      1.97
Instructions Per Cycle Rate;0.77
MPI Time, s;0.54
MPI Time, % of Elapsed Time;18.50
MPI Imbalance, s;0.03
MPI Imbalance, % of Elapsed Time;0.92

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.40
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;13.63
MPI Hotspot 2 - MPI_Wait, s;0.08
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;2.78
MPI Hotspot 3 - MPI_Bcast, s;0.02
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;0.73
MPI Hotspot 4 - MPI_Send, s;0.02
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;0.57
MPI Hotspot 5 - MPI_Allreduce, s;0.01
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.35
Memory Stalls, % of Pipeline Slots;34.10
Cache Stalls, % of Cycles;30.10
DRAM Stalls, % of Cycles;4.00
DRAM Bandwidth Peak, GB/s;29.36
DRAM Bandwidth Average, GB/s;4.33
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;2.20
Vectorization, %;93.70
SP FLOPs, % of uOps;7.10
Packed, % from SP FP;100.00
SP 128-bit, %;1.10
SP 256-bit, %;0.00
SP 512-bit, %;98.90
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.40
DP Packed, % from DP FP;85.40
DP 128-bit, %;0.00
DP 256-bit, %;0.50
DP 512-bit, %;84.90
DP Scalar, % from DP FP;14.60
Non-FP, % of uOps;87.40
FP Arith/Mem Rd Instr. Ratio;0.76
FP Arith/Mem Wr Instr. Ratio;1.94
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1155.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         1155.00
Per rank
Peak resident set size,MB;          147.00
Peak resident set rank;0
Average resident set size,MB;          144.38
Virtual
Per node
Peak memory consumption,MB;        28272.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        28272.00
Per rank
Peak memory consumption,MB;         3538.00
Peak memory consumption rank;7
Average memory consumption,MB;         3534.00
