Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.rhodo-e-5,32,32,Neigh,0.1591,0.15974,0.16022,0.1,6.63
in.rhodo-e-5,32,32,Comm,0.12961,0.15499,0.17259,4.7,6.44
in.rhodo-e-5,32,32,Output,0.00057665,0.00059362,0.00086551,0.0,0.02
in.rhodo-e-5,32,32,Modify,0.23663,0.28088,0.33685,8.0,11.66
in.rhodo-e-5,32,32,Other,,0.04188,,,1.74
in.rhodo-e-5,32,64,Pair,0.44024,0.51839,0.59388,6.2,35.53
in.rhodo-e-5,32,64,Bond,0.004815,0.033177,0.056307,9.0,2.27
in.rhodo-e-5,32,64,Kspace,0.37515,0.45793,0.54142,6.9,31.38
in.rhodo-e-5,32,64,Neigh,0.092539,0.093297,0.094237,0.1,6.39
in.rhodo-e-5,32,64,Comm,0.11344,0.12225,0.13126,1.3,8.38
in.rhodo-e-5,32,64,Output,0.00056834,0.0005782,0.00083089,0.0,0.04
in.rhodo-e-5,32,64,Modify,0.19304,0.2133,0.23274,2.2,14.62
in.rhodo-e-5,32,64,Other,,0.0202,,,1.38
in.rhodo-e-5,256,1,Pair,34.823,34.823,34.823,0.0,62.69
in.rhodo-e-5,256,1,Bond,2.0859,2.0859,2.0859,0.0,3.76
in.rhodo-e-5,256,1,Kspace,7.1853,7.1853,7.1853,0.0,12.94
in.rhodo-e-5,256,1,Neigh,4.203,4.203,4.203,0.0,7.57
in.rhodo-e-5,256,1,Comm,1.3421,1.3421,1.3421,0.0,2.42
in.rhodo-e-5,256,1,Output,0.00092466,0.00092466,0.00092466,0.0,0.00
in.rhodo-e-5,256,1,Modify,5.784,5.784,5.784,0.0,10.41
in.rhodo-e-5,256,1,Other,,0.1234,,,0.22
in.rhodo-e-5,256,2,Pair,17.78,17.832,17.885,1.2,62.54
in.rhodo-e-5,256,2,Bond,1.0475,1.0512,1.0548,0.4,3.69
in.rhodo-e-5,256,2,Kspace,3.7626,3.8188,3.875,2.9,13.39
in.rhodo-e-5,256,2,Neigh,2.0922,2.0924,2.0925,0.0,7.34
in.rhodo-e-5,256,2,Comm,0.62924,0.63796,0.64668,1.1,2.24
in.rhodo-e-5,256,2,Output,0.00046716,0.00050478,0.00054239,0.0,0.00
in.rhodo-e-5,256,2,Modify,2.9805,3.0004,3.0203,1.1,10.52
in.rhodo-e-5,256,2,Other,,0.0792,,,0.28
in.rhodo-e-5,256,4,Pair,9.0122,9.0211,9.0335,0.3,60.68
in.rhodo-e-5,256,4,Bond,0.53277,0.537,0.53982,0.4,3.61
in.rhodo-e-5,256,4,Kspace,2.0774,2.0851,2.0933,0.5,14.03
in.rhodo-e-5,256,4,Neigh,1.0936,1.0945,1.0959,0.1,7.36
in.rhodo-e-5,256,4,Comm,0.37956,0.39262,0.39952,1.2,2.64
in.rhodo-e-5,256,4,Output,0.00027661,0.00030098,0.00035407,0.0,0.00
in.rhodo-e-5,256,4,Modify,1.6693,1.6807,1.7106,1.3,11.31
in.rhodo-e-5,256,4,Other,,0.05509,,,0.37
in.rhodo-e-5,256,8,Pair,4.6483,4.6964,4.7623,1.5,59.42
in.rhodo-e-5,256,8,Bond,0.27603,0.27924,0.2827,0.4,3.53
in.rhodo-e-5,256,8,Kspace,1.0663,1.1371,1.1849,3.2,14.39
in.rhodo-e-5,256,8,Neigh,0.57188,0.57303,0.5738,0.1,7.25
in.rhodo-e-5,256,8,Comm,0.23119,0.24769,0.25156,1.3,3.13
in.rhodo-e-5,256,8,Output,0.00015797,0.0001685,0.00023543,0.0,0.00
in.rhodo-e-5,256,8,Modify,0.91473,0.92339,0.95824,1.4,11.68
in.rhodo-e-5,256,8,Other,,0.04619,,,0.58
in.rhodo-e-5,256,16,Pair,2.478,2.598,2.6715,3.6,56.26
in.rhodo-e-5,256,16,Bond,0.14484,0.15362,0.16134,1.4,3.33
in.rhodo-e-5,256,16,Kspace,0.67021,0.74632,0.86943,6.8,16.16
in.rhodo-e-5,256,16,Neigh,0.32594,0.32651,0.32721,0.1,7.07
in.rhodo-e-5,256,16,Comm,0.16746,0.18376,0.19349,2.2,3.98
in.rhodo-e-5,256,16,Output,0.00013394,0.00014004,0.00021343,0.0,0.00
in.rhodo-e-5,256,16,Modify,0.55232,0.56292,0.61156,1.8,12.19
in.rhodo-e-5,256,16,Other,,0.04682,,,1.01
in.rhodo-e-5,256,32,Pair,1.1056,1.3501,1.4619,9.8,53.38
in.rhodo-e-5,256,32,Bond,0.065285,0.079176,0.088012,2.4,3.13
in.rhodo-e-5,256,32,Kspace,0.35637,0.47195,0.72978,17.4,18.66
in.rhodo-e-5,256,32,Neigh,0.18183,0.18242,0.18357,0.1,7.21
in.rhodo-e-5,256,32,Comm,0.096579,0.11158,0.13068,3.8,4.41
in.rhodo-e-5,256,32,Output,0.00012409,0.00012767,0.00019259,0.0,0.01
in.rhodo-e-5,256,32,Modify,0.259,0.30351,0.33562,5.3,12.00
in.rhodo-e-5,256,32,Other,,0.03056,,,1.21
in.rhodo-e-5,256,64,Pair,0.56685,0.64702,0.74884,8.6,43.25
in.rhodo-e-5,256,64,Bond,0.033693,0.038994,0.045841,2.0,2.61
in.rhodo-e-5,256,64,Kspace,0.25324,0.36145,0.44641,12.0,24.16
in.rhodo-e-5,256,64,Neigh,0.095682,0.097341,0.099702,0.3,6.51
in.rhodo-e-5,256,64,Comm,0.077947,0.099486,0.11195,3.2,6.65
in.rhodo-e-5,256,64,Output,0.00013364,0.00013578,0.00021019,0.0,0.01
in.rhodo-e-5,256,64,Modify,0.19144,0.21471,0.26174,4.9,14.35
in.rhodo-e-5,256,64,Other,,0.03695,,,2.47
in.rhodo-e-5,864,1,Pair,118.26,118.26,118.26,0.0,61.93
in.rhodo-e-5,864,1,Bond,7.3526,7.3526,7.3526,0.0,3.85
in.rhodo-e-5,864,1,Kspace,25.419,25.419,25.419,0.0,13.31
in.rhodo-e-5,864,1,Neigh,14.006,14.006,14.006,0.0,7.33
in.rhodo-e-5,864,1,Comm,5.6102,5.6102,5.6102,0.0,2.94
in.rhodo-e-5,864,1,Output,0.0029225,0.0029225,0.0029225,0.0,0.00
in.rhodo-e-5,864,1,Modify,19.849,19.849,19.849,0.0,10.39
in.rhodo-e-5,864,1,Other,,0.4549,,,0.24
in.rhodo-e-5,864,2,Pair,58.989,59.376,59.763,5.0,61.46
in.rhodo-e-5,864,2,Bond,3.5114,3.5524,3.5935,2.2,3.68
in.rhodo-e-5,864,2,Kspace,13.267,13.696,14.126,11.6,14.18
in.rhodo-e-5,864,2,Neigh,6.975,6.975,6.9751,0.0,7.22
in.rhodo-e-5,864,2,Comm,2.7177,2.742,2.7663,1.5,2.84
in.rhodo-e-5,864,2,Output,0.0013882,0.001428,0.0014678,0.1,0.00
in.rhodo-e-5,864,2,Modify,9.9644,10.018,10.072,1.7,10.37
in.rhodo-e-5,864,2,Other,,0.2538,,,0.26
in.rhodo-e-5,864,4,Pair,29.504,29.68,29.901,3.2,59.78
in.rhodo-e-5,864,4,Bond,1.7506,1.781,1.809,1.7,3.59
in.rhodo-e-5,864,4,Kspace,7.4039,7.6388,7.8273,6.2,15.39
in.rhodo-e-5,864,4,Neigh,3.5411,3.5417,3.5422,0.0,7.13
in.rhodo-e-5,864,4,Comm,1.5149,1.5334,1.5429,0.9,3.09
in.rhodo-e-5,864,4,Output,0.00074133,0.00077981,0.00082489,0.0,0.00
in.rhodo-e-5,864,4,Modify,5.2917,5.3146,5.3703,1.4,10.70
in.rhodo-e-5,864,4,Other,,0.1567,,,0.32
in.rhodo-e-5,864,8,Pair,14.852,15.047,15.255,3.0,58.33
in.rhodo-e-5,864,8,Bond,0.89279,0.90826,0.92452,1.2,3.52
in.rhodo-e-5,864,8,Kspace,3.8349,4.0462,4.2549,6.0,15.69
in.rhodo-e-5,864,8,Neigh,1.8024,1.8032,1.8042,0.0,6.99
in.rhodo-e-5,864,8,Comm,0.828,0.88807,0.92079,3.1,3.44
in.rhodo-e-5,864,8,Output,0.0004109,0.00043232,0.00048694,0.0,0.00
in.rhodo-e-5,864,8,Modify,2.8711,2.9453,3.0778,3.8,11.42
in.rhodo-e-5,864,8,Other,,0.1572,,,0.61
in.rhodo-e-5,864,16,Pair,7.5704,7.7554,7.9118,3.3,57.10
in.rhodo-e-5,864,16,Bond,0.45631,0.47149,0.49384,1.6,3.47
in.rhodo-e-5,864,16,Kspace,1.962,2.1345,2.323,6.6,15.71
in.rhodo-e-5,864,16,Neigh,0.97228,0.97426,0.97619,0.1,7.17
in.rhodo-e-5,864,16,Comm,0.49962,0.5145,0.55362,2.5,3.79
in.rhodo-e-5,864,16,Output,0.00043863,0.00044867,0.0005188,0.0,0.00
in.rhodo-e-5,864,16,Modify,1.5713,1.6587,1.6896,3.0,12.21
in.rhodo-e-5,864,16,Other,,0.07395,,,0.54
in.rhodo-e-5,864,32,Pair,3.7564,4.0761,4.2682,5.6,55.14
in.rhodo-e-5,864,32,Bond,0.19456,0.2472,0.30947,8.7,3.34
in.rhodo-e-5,864,32,Kspace,1.0545,1.213,1.5089,10.0,16.41
in.rhodo-e-5,864,32,Neigh,0.52639,0.52746,0.52894,0.1,7.14
in.rhodo-e-5,864,32,Comm,0.32195,0.33204,0.37394,2.5,4.49
in.rhodo-e-5,864,32,Output,0.00026316,0.00026806,0.00034445,0.0,0.00
in.rhodo-e-5,864,32,Modify,0.84603,0.94285,0.9636,3.3,12.76
in.rhodo-e-5,864,32,Other,,0.05297,,,0.72
in.rhodo-e-5,864,64,Pair,2.032,2.1642,2.3737,8.1,49.23
in.rhodo-e-5,864,64,Bond,0.0995,0.13275,0.17026,6.3,3.02
in.rhodo-e-5,864,64,Kspace,0.67239,0.87931,1.0214,12.3,20.00
in.rhodo-e-5,864,64,Neigh,0.30482,0.30668,0.30788,0.1,6.98
in.rhodo-e-5,864,64,Comm,0.23967,0.25777,0.30785,2.4,5.86
in.rhodo-e-5,864,64,Output,0.00014545,0.0001489,0.00023126,0.0,0.00
in.rhodo-e-5,864,64,Modify,0.50018,0.60925,0.63932,3.4,13.86
in.rhodo-e-5,864,64,Other,,0.04635,,,1.05
in.rhodo-e-5,2048,4,Pair,69.743,70.06,70.542,3.6,59.24
in.rhodo-e-5,2048,4,Bond,4.396,4.4315,4.4698,1.3,3.75
in.rhodo-e-5,2048,4,Kspace,18.195,18.641,18.95,6.5,15.76
in.rhodo-e-5,2048,4,Neigh,8.2686,8.2711,8.2735,0.1,6.99
in.rhodo-e-5,2048,4,Comm,3.6778,3.6977,3.7141,0.7,3.13
in.rhodo-e-5,2048,4,Output,0.0018291,0.0018702,0.0019128,0.1,0.00
in.rhodo-e-5,2048,4,Modify,12.799,12.833,12.88,0.8,10.85
in.rhodo-e-5,2048,4,Other,,0.3256,,,0.28
in.rhodo-e-5,2048,8,Pair,34.937,35.148,35.62,3.4,58.43
in.rhodo-e-5,2048,8,Bond,2.2097,2.2224,2.2511,0.9,3.69
in.rhodo-e-5,2048,8,Kspace,9.1044,9.5653,9.7724,6.3,15.90
in.rhodo-e-5,2048,8,Neigh,4.2393,4.2429,4.2465,0.1,7.05
