Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Comm_free,MPI_Allreduce,MPI_Comm_dup,MPI_Reduce_scatter,MPI_Scan,MPI_Sendrecv,MPI_Barrier,MPI_Cart_shift,MPI_Allgather,MPI_Wait,MPI_Init,MPI_Bcast,MPI_Cart_create,MPI_Alltoall,MPI_Cart_rank,MPI_Finalize,MPI_Reduce,MPI_Comm_rank,MPI_Waitany,MPI_Alltoallv,MPI_Cart_get,MPI_Comm_size,MPI_Irecv,MPI_Send,Processes,Size
in.chain,71.7,45.31,61.69,31.62,39.38,4.26,12.93,0.0,32.85,0.0,0.0,0.0,2.78,0.86,0.0,0.0,12.84,41.58,8.62,0.04,0.03,0.0,0.1,0.01,0.0,0.0,0.04,0.0,0.0,0.01,0.24,8.0,256.0
in.chain,83.25,55.83,71.88,25.64,32.05,3.28,22.4,0.0,20.46,0.0,0.0,0.0,1.57,0.02,0.0,0.0,8.02,58.63,8.52,0.08,0.02,0.0,1.31,0.0,0.0,0.0,1.12,0.0,0.0,0.01,0.24,16.0,256.0
in.chain,93.09,77.3,85.7,16.72,19.77,2.26,59.07,0.0,6.82,0.0,0.0,0.0,2.11,0.01,0.0,0.0,5.13,76.81,8.45,0.06,0.03,0.0,0.23,0.0,0.0,0.0,0.18,0.0,0.0,0.01,0.17,32.0,256.0
in.chain,97.32,88.83,93.16,8.03,9.73,0.83,166.56,0.0,4.55,0.0,0.0,0.0,0.73,0.02,0.0,0.0,1.59,89.0,2.34,0.04,0.22,0.0,0.3,0.0,0.0,0.0,1.1,0.0,0.0,0.01,0.1,64.0,256.0
in.chain,0.3,0.3,0.3,0.0,0.0,0.0,0.07,0.03,1.85,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.0,83.7,1.0,0.25,0.04,0.0,8.53,0.03,0.01,0.0,4.47,0.01,0.0,0.0,0.0,1.0,864.0
in.chain,50.04,5.03,27.19,23.47,47.57,0.08,12.28,0.0,42.17,0.0,0.0,0.0,14.82,0.12,0.0,0.0,30.47,11.02,0.7,0.13,0.16,0.0,0.02,0.09,0.0,0.0,0.01,0.0,0.0,0.01,0.28,2.0,864.0
in.chain,52.02,11.76,40.28,34.06,46.89,0.51,18.31,0.0,39.51,0.0,0.0,0.0,13.8,0.18,0.0,0.0,32.66,10.49,2.62,0.02,0.26,0.0,0.11,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.3,4.0,864.0
in.chain,57.76,15.11,49.89,37.15,43.55,1.78,25.38,0.0,36.89,0.0,0.0,0.0,10.59,0.02,0.0,0.0,26.15,20.21,4.46,0.02,0.51,0.0,0.05,0.4,0.0,0.0,0.04,0.0,0.0,0.01,0.63,8.0,864.0
in.chain,70.95,43.03,61.36,32.96,37.71,3.22,44.05,0.0,26.74,0.0,0.0,0.0,6.48,0.49,0.0,0.0,19.82,39.51,5.12,0.03,0.02,0.0,0.53,0.52,0.0,0.0,0.45,0.0,0.0,0.02,0.27,16.0,864.0
in.chain,82.93,50.32,70.99,29.13,34.11,2.94,71.28,0.0,16.3,0.0,0.0,0.0,6.76,0.7,0.0,0.0,14.53,52.89,7.04,0.05,0.03,0.0,0.72,0.0,0.0,0.0,0.72,0.0,0.0,0.02,0.23,32.0,864.0
in.chain,93.31,77.51,85.96,16.02,18.3,1.56,188.39,0.0,11.48,0.0,0.0,0.0,1.62,0.04,0.0,0.0,4.1,78.35,3.09,0.03,0.08,0.0,0.26,0.0,0.0,0.0,0.8,0.0,0.0,0.01,0.13,64.0,864.0
in.chain,2.4,2.4,2.4,0.0,0.0,0.0,0.06,0.04,1.11,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.0,88.17,0.29,0.31,0.05,0.01,0.0,0.0,0.01,0.0,9.96,0.01,0.0,0.0,0.0,1.0,2048.0
in.chain,48.31,39.64,43.28,14.01,32.88,0.36,1.95,0.0,9.79,0.0,0.0,0.0,13.39,1.82,0.0,0.0,0.69,62.69,8.54,0.65,2.18,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.03,2.0,2048.0
