Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:44:05
Number of ranks;2
Ranks per node;2
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987228
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_2n_1ont_256k_aps
Elapsed Time, s;1.37
SP GFLOPS;0.00
DP GFLOPS;0.46
Average CPU Frequency, GHz;                      1.24
Instructions Per Cycle Rate;0.83
MPI Time, s;0.67
MPI Time, % of Elapsed Time;49.31
MPI Imbalance, s;0.01
MPI Imbalance, % of Elapsed Time;0.63

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.64
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;46.64
MPI Hotspot 2 - MPI_Bcast, s;0.02
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;1.68
MPI Hotspot 3 - MPI_Allreduce, s;0.01
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.46
MPI Hotspot 4 - MPI_Wait, s;0.00
MPI Hotspot 4 - MPI_Wait, % of Elapsed Time;0.23
MPI Hotspot 5 - MPI_Send, s;0.00
MPI Hotspot 5 - MPI_Send, % of Elapsed Time;0.12
Memory Stalls, % of Pipeline Slots;21.10
Cache Stalls, % of Cycles;21.20
DRAM Stalls, % of Cycles;5.60
DRAM Bandwidth Peak, GB/s;9.52
DRAM Bandwidth Average, GB/s;1.20
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;6.80
Vectorization, %;0.60
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;8.50
DP Packed, % from DP FP;0.60
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;0.60
DP Scalar, % from DP FP;99.40
Non-FP, % of uOps;91.50
FP Arith/Mem Rd Instr. Ratio;0.33
FP Arith/Mem Wr Instr. Ratio;0.71
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          823.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          823.00
Per rank
Peak resident set size,MB;          413.00
Peak resident set rank;0
Average resident set size,MB;          411.50
Virtual
Per node
Peak memory consumption,MB;         6412.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;         6412.00
Per rank
Peak memory consumption,MB;         3207.00
Peak memory consumption rank;1
Average memory consumption,MB;         3206.00
