Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-31 16:08:37
Number of ranks;32
Ranks per node;32
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593983970
Logical core count per node;128
Collector type;Driverless Perf per-process counting
Used statistics;./in.lj.scaled_2048-double_32n_1ont_2048k_aps
Elapsed Time, s;7.30
SP GFLOPS;0.00
DP GFLOPS;67.45
Average CPU Frequency, GHz;                     92.11
Instructions Per Cycle Rate;1.43
MPI Time, s;3.73
MPI Time, % of Elapsed Time;71.45
MPI Imbalance, s;2.23
MPI Imbalance, % of Elapsed Time;42.86

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Wait, s;2.00
MPI Hotspot 1 - MPI_Wait, % of Elapsed Time;38.55
MPI Hotspot 2 - MPI_Init, s;1.17
MPI Hotspot 2 - MPI_Init, % of Elapsed Time;22.37
MPI Hotspot 3 - MPI_Allreduce, s;0.29
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;5.54
MPI Hotspot 4 - MPI_Sendrecv, s;0.16
MPI Hotspot 4 - MPI_Sendrecv, % of Elapsed Time;3.10
MPI Hotspot 5 - MPI_Send, s;0.03
MPI Hotspot 5 - MPI_Send, % of Elapsed Time;0.66
Memory Stalls, % of Pipeline Slots;14.43
Cache Stalls, % of Cycles;12.16
DRAM Stalls, % of Cycles;4.28
Average DRAM Bandwidth;                 N/A
NUMA, % of Remote Accesses;0.77
Vectorization, %;92.91
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;217.70
DP Packed, % from DP FP;2973.00
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;2973.00
DP Scalar, % from DP FP;227.00
Non-FP, % of uOps;2982.30
FP Arith/Mem Rd Instr. Ratio;9.15
FP Arith/Mem Wr Instr. Ratio;16.67
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         5254.00
Peak resident set node;instance-20220530-1006
Average resident set size,MB;         5254.00
Per rank
Peak resident set size,MB;          171.00
Peak resident set rank;5
Average resident set size,MB;          164.19
Virtual
Per node
Peak memory consumption,MB;       188959.00
Peak memory consumption node;instance-20220530-1006
Average memory consumption,MB;       188959.00
Per rank
Peak memory consumption,MB;         5914.00
Peak memory consumption rank;8
Average memory consumption,MB;         5904.97
| Counters, Memory and Disk usage statistics for all Ranks
Elapsed Time, s
  MIN;            5.07 ;Rank 17
  MAX;            7.30 ;Rank 6
  AVG;            5.22 ;

MPI Time, s
Total;          119.49 ;all ranks
  MIN;            2.84 ;Rank 16
  MAX;            5.91 ;Rank 6
  AVG;            3.73 ;
  OUTLIER BY STATISTIC;            5.91 ;Rank 6
  OUTLIER BY STATISTIC;            2.84 ;Rank 16
  OUTLIER BY STATISTIC;            3.04 ;Rank 0
  OUTLIER BY STATISTIC;            4.20 ;Rank 7
  OUTLIER BY STATISTIC;            4.03 ;Rank 8

MPI Time, % of Elapsed Time
  MIN;           55.83 ;Rank 16
  MAX;           80.94 ;Rank 6
  AVG;           71.45 ;
  OUTLIER BY STATISTIC;           55.83 ;Rank 16
  OUTLIER BY STATISTIC;           56.00 ;Rank 0
  OUTLIER BY STATISTIC;           80.94 ;Rank 6
  OUTLIER BY STATISTIC;           76.85 ;Rank 7

MPI Imbalance, s
Total;           71.25 ;all ranks
  MIN;            0.52 ;Rank 16
  MAX;            2.54 ;Rank 27
  AVG;            2.23 ;
  OUTLIER BY STATISTIC;            0.52 ;Rank 16
  OUTLIER BY STATISTIC;            0.62 ;Rank 0

MPI Imbalance, % of Elapsed Time
  MIN;           10.23 ;Rank 16
  MAX;           49.86 ;Rank 27
  AVG;           42.86 ;
  OUTLIER BY STATISTIC;           10.23 ;Rank 16
  OUTLIER BY STATISTIC;           11.38 ;Rank 0
  OUTLIER BY STATISTIC;           32.14 ;Rank 6

MPI Hotspot 1 - MPI_Wait, s
Total;           64.13 ;all ranks
  MIN;            1.21 ;Rank 0
  MAX;            2.20 ;Rank 7
  AVG;            2.00 ;
  OUTLIER BY STATISTIC;            1.21 ;Rank 0
  OUTLIER BY STATISTIC;            1.40 ;Rank 16

MPI Hotspot 1 - MPI_Wait, % of Elapsed Time
  MIN;           23.85 ;Rank 0
  MAX;           42.91 ;Rank 14
  AVG;           38.55 ;
  OUTLIER BY STATISTIC;           23.85 ;Rank 0
  OUTLIER BY STATISTIC;           26.79 ;Rank 16
  OUTLIER BY STATISTIC;           28.43 ;Rank 10

MPI Hotspot 2 - MPI_Init, s
Total;           37.31 ;all ranks
  MIN;            1.02 ;Rank 16
  MAX;            3.25 ;Rank 6
  AVG;            1.17 ;
  OUTLIER BY STATISTIC;            3.25 ;Rank 6

MPI Hotspot 2 - MPI_Init, % of Elapsed Time
  MIN;           16.30 ;Rank 14
  MAX;           59.97 ;Rank 6
  AVG;           22.37 ;
  OUTLIER BY STATISTIC;           59.97 ;Rank 6

MPI Hotspot 3 - MPI_Allreduce, s
Total;            9.23 ;all ranks
  MIN;            0.17 ;Rank 0
  MAX;            0.34 ;Rank 27
  AVG;            0.29 ;
  OUTLIER BY STATISTIC;            0.17 ;Rank 0

MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time
  MIN;            3.35 ;Rank 0
  MAX;            6.53 ;Rank 18
  AVG;            5.54 ;
  OUTLIER BY STATISTIC;            3.35 ;Rank 0

MPI Hotspot 4 - MPI_Sendrecv, s
Total;            5.20 ;all ranks
  MIN;            0.04 ;Rank 24
  MAX;            0.29 ;Rank 27
  AVG;            0.16 ;

MPI Hotspot 4 - MPI_Sendrecv, % of Elapsed Time
  MIN;            0.85 ;Rank 24
  MAX;            5.31 ;Rank 27
  AVG;            3.10 ;

MPI Hotspot 5 - MPI_Send, s
Total;            1.11 ;all ranks
  MIN;            0.01 ;Rank 27
  MAX;            0.12 ;Rank 17
  AVG;            0.03 ;

MPI Hotspot 5 - MPI_Send, % of Elapsed Time
  MIN;            0.29 ;Rank 27
  MAX;            2.18 ;Rank 17
  AVG;            0.66 ;

OpenMP threads number, per Rank
  MIN;            1.00 ;Rank 16
  MAX;            1.00 ;Rank 1
  AVG;            1.00 ;

Disk I/O Bound, s
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 16
  MAX;            0.00 ;Rank 1
  AVG;            0.00 ;

Resident Memory Usage per Rank, MB
Total;         5254.00 ;all ranks
  MIN;          162.00 ;Rank 30
  MAX;          171.00 ;Rank 5
  AVG;          164.19 ;

Resident Memory Usage per Node, MB
Total;         5254.00 ;all nodes
  MIN;         5254.00 ;Node instance-20220530-1006
  MAX;         5254.00 ;Node instance-20220530-1006
  AVG;         5254.00 ;

Virtual Memory Usage per Rank, MB
Total;       188959.00 ;all ranks
  MIN;         5841.00 ;Rank 31
  MAX;         5914.00 ;Rank 8
  AVG;         5904.97 ;

Virtual Memory Usage per Node, MB
Total;       188959.00 ;all nodes
  MIN;       188959.00 ;Node instance-20220530-1006
  MAX;       188959.00 ;Node instance-20220530-1006
  AVG;       188959.00 ;

Instructions Per Cycle Rate
  MIN;            1.01 ;Rank 16
  MAX;            1.53 ;Rank 7
  AVG;            1.43 ;
  OUTLIER BY STATISTIC;            1.01 ;Rank 16
  OUTLIER BY STATISTIC;            1.22 ;Rank 0

Average CPU Frequency, Hz
  MIN;  92109632314.97 ;Node instance-20220530-1006
  MAX;  92109632314.97 ;Node instance-20220530-1006
  AVG;  92109632314.97 ;

Physical Core Utilization, %
  MIN;           39.40 ;Node instance-20220530-1006
  MAX;           39.40 ;Node instance-20220530-1006
  AVG;           39.40 ;

Average Physical Core Utilization, out of 2048 Physical Cores
  MIN;           24.79 ;Node instance-20220530-1006
  MAX;           24.79 ;Node instance-20220530-1006
  AVG;           24.79 ;

Memory Stalls, % of Pipeline Slots
  MIN;           12.80 ;Rank 3
  MAX;           22.40 ;Rank 16
  AVG;           14.43 ;
  OUTLIER BY STATISTIC AND THRESHOLD;           22.40 ;Rank 16
  OUTLIER BY STATISTIC;           19.80 ;Rank 0

Cache Stalls, % of Cycles
  MIN;           11.00 ;Rank 23
  MAX;           15.30 ;Rank 16
  AVG;           12.16 ;
  OUTLIER BY STATISTIC;           15.30 ;Rank 16
  OUTLIER BY STATISTIC;           13.60 ;Rank 0

DRAM Stalls, % of Cycles
  MIN;            3.50 ;Rank 14
  MAX;            7.50 ;Rank 16
  AVG;            4.28 ;
  OUTLIER BY STATISTIC;            7.50 ;Rank 16
  OUTLIER BY STATISTIC;            7.40 ;Rank 0

NUMA, % of Remote Accesses
  MIN;            0.60 ;Rank 18
  MAX;            1.10 ;Rank 5
  AVG;            0.77 ;

SP GFLOPS
Total;            0.00 ;all ranks
  MIN;            0.00 ;Rank 16
  MAX;            0.00 ;Rank 1
  AVG;            0.00 ;

DP GFLOPS
Total;           67.45 ;all ranks
  MIN;            1.57 ;Rank 6
  MAX;            2.48 ;Rank 10
  AVG;            2.11 ;

Vectorization, %
  MIN;           90.20 ;Rank 3
  MAX;           95.40 ;Rank 22
  AVG;           92.91 ;

SP FLOPs, % of uOps
  MIN;            0.00 ;Rank 16
  MAX;            0.00 ;Rank 1
  AVG;            0.00 ;

DP FLOPs, % of uOps
  MIN;          217.70 ;Node instance-20220530-1006
  MAX;          217.70 ;Node instance-20220530-1006
  AVG;          217.70 ;

DP Packed, % from DP FP
  MIN;         2973.00 ;Node instance-20220530-1006
  MAX;         2973.00 ;Node instance-20220530-1006
  AVG;         2973.00 ;

DP 128-bit, %
  MIN;            0.00 ;Node instance-20220530-1006
  MAX;            0.00 ;Node instance-20220530-1006
  AVG;            0.00 ;

DP 256-bit, %
  MIN;            0.00 ;Node instance-20220530-1006
  MAX;            0.00 ;Node instance-20220530-1006
  AVG;            0.00 ;

DP 512-bit, %
  MIN;         2973.00 ;Node instance-20220530-1006
  MAX;         2973.00 ;Node instance-20220530-1006
  AVG;         2973.00 ;

DP Scalar, % from DP FP
  MIN;          227.00 ;Node instance-20220530-1006
  MAX;          227.00 ;Node instance-20220530-1006
  AVG;          227.00 ;

Non-FP, % of uOps
  MIN;         2982.30 ;Node instance-20220530-1006
  MAX;         2982.30 ;Node instance-20220530-1006
  AVG;         2982.30 ;

FP Arith/Mem Rd Instr. Ratio
  MIN;            9.15 ;Node instance-20220530-1006
  MAX;            9.15 ;Node instance-20220530-1006
  AVG;            9.15 ;

FP Arith/Mem Wr Instr. Ratio
  MIN;           16.67 ;Node instance-20220530-1006
  MAX;           16.67 ;Node instance-20220530-1006
  AVG;           16.67 ;

| MPI Time per Rank for all Ranks
Rank;Elapsed Time(sec);    MPI;Time(sec);    MPI;Time(%);Imbalance(sec);Imbalance(%)
  0006 ;            7.24;            5.91;          81.59;            2.35;          32.40
  0007 ;            5.39;            4.20;          77.92;            2.47;          45.76
  0027 ;            5.03;            3.82;          76.00;            2.54;          50.46
  0011 ;            5.08;            3.80;          74.75;            2.44;          48.02
  0008 ;            5.39;            4.03;          74.69;            2.37;          43.98
  0014 ;            5.18;            3.87;          74.58;            2.42;          46.76
  0029 ;            5.06;            3.75;          74.25;            2.34;          46.38
  0030 ;            5.16;            3.82;          74.12;            2.40;          46.62
  0031 ;            5.03;            3.72;          73.99;            2.40;          47.71
  0022 ;            5.20;            3.84;          73.85;            2.33;          44.76
  0001 ;            5.08;            3.75;          73.84;            2.30;          45.37
  0025 ;            5.04;            3.71;          73.73;            2.37;          47.14
  0017 ;            5.02;            3.68;          73.37;            2.32;          46.32
  0020 ;            5.02;            3.68;          73.35;            2.33;          46.33
  0023 ;            5.02;            3.67;          73.21;            2.33;          46.47
  0019 ;            5.00;            3.66;          73.19;            2.36;          47.19
  0009 ;            5.02;            3.66;          73.04;            2.34;          46.62
  0018 ;            5.03;            3.66;          72.70;            2.39;          47.55
  0021 ;            5.03;            3.64;          72.48;            2.27;          45.17
  0003 ;            5.02;            3.62;          72.18;            2.29;          45.64
  0004 ;            5.02;            3.62;          72.15;            2.29;          45.62
  0015 ;            5.03;            3.62;          71.96;            2.24;          44.45
  0005 ;            5.02;            3.61;          71.88;            2.20;          43.77
  0002 ;            5.03;            3.61;          71.85;            2.33;          46.39
  0026 ;            5.02;            3.60;          71.76;            2.34;          46.56
  0012 ;            5.10;            3.66;          71.71;            2.22;          43.46
  0010 ;            5.03;            3.60;          71.57;            2.36;          46.98
  0028 ;            5.01;            3.58;          71.41;            2.29;          45.76
  0013 ;            5.16;            3.68;          71.20;            2.17;          42.07
  0024 ;            5.02;            3.53;          70.41;            2.30;          45.92
  0000 ;            5.34;            3.04;          56.93;            0.62;          11.56
  0016 ;            5.01;            2.84;          56.66;            0.52;          10.39
