Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 15:19:09
Number of ranks;8
Ranks per node;8
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.timer_8n_1ont_32k_aps
Elapsed Time, s;5.67
MPI Time, s;0.60
MPI Time, % of Elapsed Time;10.66
MPI Imbalance, s;0.08
MPI Imbalance, % of Elapsed Time;1.36

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Wait, s;0.19
MPI Hotspot 1 - MPI_Wait, % of Elapsed Time;3.32
MPI Hotspot 2 - MPI_Init, s;0.18
MPI Hotspot 2 - MPI_Init, % of Elapsed Time;3.15
MPI Hotspot 3 - MPI_Allreduce, s;0.09
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;1.59
MPI Hotspot 4 - MPI_Send, s;0.06
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;1.04
MPI Hotspot 5 - MPI_Waitany, s;0.04
MPI Hotspot 5 - MPI_Waitany, % of Elapsed Time;0.79
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1472.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;         1472.00
Per rank
Peak resident set size,MB;          189.00
Peak resident set rank;0
Average resident set size,MB;          184.00
Virtual
Per node
Peak memory consumption,MB;        27084.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;        27084.00
Per rank
Peak memory consumption,MB;         3389.00
Peak memory consumption rank;1
Average memory consumption,MB;         3385.50
