Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:05:12
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987228
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.lj.timer_4n_1ont_256k_aps
Elapsed Time, s;2.46
SP GFLOPS;11.39
DP GFLOPS;4.24
Average CPU Frequency, GHz;                      1.68
Instructions Per Cycle Rate;0.71
MPI Time, s;0.45
MPI Time, % of Elapsed Time;18.19
MPI Imbalance, s;0.04
MPI Imbalance, % of Elapsed Time;1.52

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.29
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;11.88
MPI Hotspot 2 - MPI_Wait, s;0.09
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;3.82
MPI Hotspot 3 - MPI_Bcast, s;0.02
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;0.90
MPI Hotspot 4 - MPI_Send, s;0.02
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;0.83
MPI Hotspot 5 - MPI_Allreduce, s;0.01
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.39
Memory Stalls, % of Pipeline Slots;23.90
Cache Stalls, % of Cycles;25.60
DRAM Stalls, % of Cycles;2.90
DRAM Bandwidth Peak, GB/s;22.08
DRAM Bandwidth Average, GB/s;2.03
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;2.80
Vectorization, %;90.70
SP FLOPs, % of uOps;6.20
Packed, % from SP FP;100.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;100.00
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.60
DP Packed, % from DP FP;80.40
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;80.40
DP Scalar, % from DP FP;19.60
Non-FP, % of uOps;88.20
FP Arith/Mem Rd Instr. Ratio;0.95
FP Arith/Mem Wr Instr. Ratio;1.93
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          636.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          636.00
Per rank
Peak resident set size,MB;          162.00
Peak resident set rank;0
Average resident set size,MB;          159.00
Virtual
Per node
Peak memory consumption,MB;        13954.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        13954.00
Per rank
Peak memory consumption,MB;         3490.00
Peak memory consumption rank;3
Average memory consumption,MB;         3488.50
