Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 15:19:23
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.timer_64n_1ont_32k_aps
Elapsed Time, s;2.78
MPI Time, s;1.74
MPI Time, % of Elapsed Time;63.21
MPI Imbalance, s;0.08
MPI Imbalance, % of Elapsed Time;3.04

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;1.30
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;47.09
MPI Hotspot 2 - MPI_Wait, s;0.14
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;5.17
MPI Hotspot 3 - MPI_Allreduce, s;0.11
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;3.98
MPI Hotspot 4 - MPI_Waitany, s;0.06
MPI Hotspot 4 - MPI_Waitany, % of Elapsed Time;2.18
MPI Hotspot 5 - MPI_Send, s;0.05
MPI Hotspot 5 - MPI_Send, % of Elapsed Time;1.89
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;        11634.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;        11634.00
Per rank
Peak resident set size,MB;          190.00
Peak resident set rank;16
Average resident set size,MB;          181.78
Virtual
Per node
Peak memory consumption,MB;       656488.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;       656488.00
Per rank
Peak memory consumption,MB;        10267.00
Peak memory consumption rank;56
Average memory consumption,MB;        10257.62
