Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 15:34:53
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.scaled.timer_64n_1ont_256k_aps
Elapsed Time, s;5.59
MPI Time, s;1.85
MPI Time, % of Elapsed Time;33.26
MPI Imbalance, s;0.19
MPI Imbalance, % of Elapsed Time;3.39

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;1.29
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;23.06
MPI Hotspot 2 - MPI_Wait, s;0.18
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;3.31
MPI Hotspot 3 - MPI_Allreduce, s;0.14
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;2.53
MPI Hotspot 4 - MPI_Send, s;0.07
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;1.30
MPI Hotspot 5 - MPI_Waitany, s;0.06
MPI Hotspot 5 - MPI_Waitany, % of Elapsed Time;1.08
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;        19209.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;        19209.00
Per rank
Peak resident set size,MB;          317.00
Peak resident set rank;31
Average resident set size,MB;          300.14
Virtual
Per node
Peak memory consumption,MB;       668219.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;       668219.00
Per rank
Peak memory consumption,MB;        10446.00
Peak memory consumption rank;23
Average memory consumption,MB;        10440.92
