Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:21:46
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987156
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.eam.timer_4n_1ont_864k_aps
Elapsed Time, s;10.38
SP GFLOPS;19.14
DP GFLOPS;6.31
Average CPU Frequency, GHz;                      2.47
Instructions Per Cycle Rate;0.80
MPI Time, s;0.58
MPI Time, % of Elapsed Time;5.59
MPI Imbalance, s;0.14
MPI Imbalance, % of Elapsed Time;1.35

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.27
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;2.64
MPI Hotspot 2 - MPI_Wait, s;0.14
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.35
MPI Hotspot 3 - MPI_Send, s;0.11
MPI Hotspot 3 - MPI_Send, % of Elapsed Time;1.01
MPI Hotspot 4 - MPI_Sendrecv, s;0.03
MPI Hotspot 4 - MPI_Sendrecv, % of Elapsed Time;0.25
MPI Hotspot 5 - MPI_Bcast, s;0.02
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.15
Memory Stalls, % of Pipeline Slots;34.10
Cache Stalls, % of Cycles;32.10
DRAM Stalls, % of Cycles;3.60
DRAM Bandwidth Peak, GB/s;32.17
DRAM Bandwidth Average, GB/s;7.09
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;0.80
Vectorization, %;94.20
SP FLOPs, % of uOps;7.90
Packed, % from SP FP;100.00
SP 128-bit, %;1.10
SP 256-bit, %;0.00
SP 512-bit, %;98.90
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.90
DP Packed, % from DP FP;86.30
DP 128-bit, %;0.00
DP 256-bit, %;0.50
DP 512-bit, %;85.90
DP Scalar, % from DP FP;13.70
Non-FP, % of uOps;86.20
FP Arith/Mem Rd Instr. Ratio;0.82
FP Arith/Mem Wr Instr. Ratio;2.25
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          962.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          962.00
Per rank
Peak resident set size,MB;          245.00
Peak resident set rank;0
Average resident set size,MB;          240.50
Virtual
Per node
Peak memory consumption,MB;        19697.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        19697.00
Per rank
Peak memory consumption,MB;         4926.00
Peak memory consumption rank;3
Average memory consumption,MB;         4924.25
