Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Allreduce,MPI_Send,MPI_Bcast,MPI_Reduce,MPI_Comm_free,MPI_Allgather,MPI_Finalize,MPI_Wait,MPI_Comm_dup,MPI_Init,MPI_Comm_size,MPI_Comm_rank,MPI_Sendrecv,MPI_Irecv,MPI_Waitany,MPI_Cart_get,MPI_Cart_rank,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Alltoallv,Processes,Size
in.rhodo-e-5,39.35,23.27,28.21,2.96,8.2,1.52,23.42,8.55,6.78,4.84,0.0,0.0,0.03,0.16,19.93,0.15,49.77,0.0,0.0,0.57,0.35,8.5,0.0,0.0,0.11,0.06,0.01,0.18,16.0,32.0
in.rhodo-e-5,71.66,58.08,60.82,3.72,7.27,2.4,105.97,5.92,2.2,3.48,0.0,0.0,0.01,0.12,6.16,0.05,78.31,0.0,0.0,0.17,0.18,3.15,0.0,0.0,0.08,0.03,0.01,0.13,32.0,32.0
in.rhodo-e-5,84.86,66.73,71.84,5.58,7.59,2.39,197.36,8.59,1.91,1.27,0.0,0.0,0.02,0.25,6.22,0.05,77.59,0.0,0.0,0.19,0.19,2.58,0.0,0.0,0.03,0.14,0.34,0.64,64.0,32.0
in.rhodo-e-5,8.46,4.96,5.95,1.6,3.86,0.59,3.87,8.42,24.56,7.09,0.0,0.0,0.02,0.14,12.63,0.15,40.96,0.0,0.0,0.9,0.13,4.42,0.0,0.0,0.13,0.21,0.04,0.19,4.0,256.0
in.rhodo-e-5,20.35,10.69,13.73,1.88,2.5,1.34,10.3,6.39,6.18,6.25,0.0,0.0,0.03,0.12,13.24,0.1,60.52,0.0,0.0,0.69,0.11,5.88,0.0,0.0,0.12,0.14,0.03,0.18,8.0,256.0
in.rhodo-e-5,36.87,20.7,25.05,2.86,6.44,1.38,25.06,5.04,4.53,5.5,0.0,0.0,0.03,0.15,11.56,0.15,67.76,0.0,0.0,0.53,0.1,4.11,0.0,0.0,0.14,0.1,0.02,0.28,16.0,256.0
in.rhodo-e-5,59.86,35.6,41.17,4.23,13.73,1.03,56.57,4.74,2.26,5.11,0.0,0.0,0.03,0.23,10.25,0.1,73.68,0.0,0.0,0.4,0.08,2.45,0.0,0.0,0.12,0.09,0.03,0.41,32.0,256.0
in.rhodo-e-5,83.21,61.19,67.33,4.79,7.53,1.49,186.29,4.94,1.45,1.55,0.0,0.0,0.02,0.26,6.13,0.05,82.42,0.0,0.0,0.14,0.06,1.97,0.0,0.0,0.04,0.2,0.03,0.75,64.0,256.0
in.rhodo-e-5,4.97,4.16,4.51,2.08,3.84,1.19,9.47,6.9,49.04,4.38,0.0,0.0,0.01,0.05,16.59,0.03,16.36,0.0,0.0,4.81,0.07,1.34,0.0,0.0,0.07,0.16,0.03,0.15,4.0,864.0
in.rhodo-e-5,8.49,6.33,7.46,2.0,2.55,1.06,16.63,8.66,30.83,5.3,0.0,0.0,0.02,0.08,16.98,0.06,27.55,0.0,0.0,4.01,0.09,5.9,0.0,0.0,0.09,0.17,0.05,0.2,8.0,864.0
in.rhodo-e-5,18.13,10.75,12.86,2.39,5.65,1.22,32.11,6.63,15.59,4.77,0.01,0.0,0.03,0.11,14.86,0.11,49.06,0.0,0.0,2.38,0.1,5.75,0.0,0.0,0.1,0.12,0.13,0.27,16.0,864.0
in.rhodo-e-5,38.7,22.16,25.76,3.69,7.67,1.78,80.73,7.46,4.11,4.25,0.0,0.0,0.02,0.16,11.4,0.06,66.54,0.0,0.0,1.18,0.07,4.16,0.0,0.0,0.09,0.1,0.05,0.33,32.0,864.0
in.rhodo-e-5,64.28,39.24,44.69,5.79,8.86,2.36,212.1,6.75,2.81,2.34,0.0,0.0,0.02,0.23,10.25,0.04,73.0,0.0,0.0,0.53,0.07,2.84,0.0,0.0,0.04,0.19,0.04,0.84,64.0,864.0
in.rhodo-e-5,4.0,3.21,3.51,1.89,3.08,1.32,17.23,5.1,68.23,1.6,0.0,0.0,0.0,0.03,13.58,0.02,7.73,0.0,0.0,1.8,0.05,0.88,0.0,0.0,0.11,0.49,0.28,0.1,4.0,2048.0
in.rhodo-e-5,6.89,4.63,5.4,1.41,1.77,0.83,27.51,4.63,45.67,1.78,0.0,0.0,0.01,0.05,18.14,0.03,23.2,0.0,0.0,1.25,0.08,4.6,0.0,0.0,0.04,0.21,0.1,0.22,8.0,2048.0
in.rhodo-e-5,9.62,5.95,6.89,1.15,3.44,0.51,36.61,5.38,34.08,4.33,0.0,0.0,0.01,0.09,14.01,0.05,33.98,0.0,0.0,0.63,0.1,6.8,0.0,0.0,0.1,0.13,0.08,0.22,16.0,2048.0
in.rhodo-e-5,23.83,13.75,15.13,2.25,4.12,1.11,93.51,5.77,12.21,3.37,0.0,0.0,0.01,0.13,13.88,0.05,57.52,0.0,0.0,0.38,0.09,6.03,0.0,0.0,0.04,0.11,0.06,0.35,32.0,2048.0
in.rhodo-e-5,45.53,23.78,27.23,3.9,5.64,1.57,228.52,7.87,5.58,1.58,0.0,0.0,0.01,0.21,11.59,0.04,66.05,0.0,0.0,0.34,0.09,5.47,0.0,0.0,0.04,0.22,0.1,0.8,64.0,2048.0
