Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:05:30
Number of ranks;16
Ranks per node;16
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987282
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.lj.timer_16n_1ont_256k_aps
Elapsed Time, s;1.64
SP GFLOPS;19.21
DP GFLOPS;7.23
Average CPU Frequency, GHz;                      1.76
Instructions Per Cycle Rate;0.88
MPI Time, s;0.71
MPI Time, % of Elapsed Time;43.41
MPI Imbalance, s;0.02
MPI Imbalance, % of Elapsed Time;1.20

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.65
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;39.58
MPI Hotspot 2 - MPI_Wait, s;0.03
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.80
MPI Hotspot 3 - MPI_Bcast, s;0.02
MPI Hotspot 3 - MPI_Bcast, % of Elapsed Time;0.97
MPI Hotspot 4 - MPI_Send, s;0.01
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;0.38
MPI Hotspot 5 - MPI_Allreduce, s;0.00
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;0.30
Memory Stalls, % of Pipeline Slots;21.60
Cache Stalls, % of Cycles;21.20
DRAM Stalls, % of Cycles;1.90
DRAM Bandwidth Peak, GB/s;70.10
DRAM Bandwidth Average, GB/s;4.50
DRAM Bandwidth Bound, %;2.30
NUMA, % of Remote Accesses;3.70
Vectorization, %;89.80
SP FLOPs, % of uOps;5.80
Packed, % from SP FP;100.00
SP 128-bit, %;0.00
SP 256-bit, %;0.00
SP 512-bit, %;100.00
SP Scalar, % from SP FP;0.00
DP FLOPs, % of uOps;5.40
DP Packed, % from DP FP;78.80
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;78.80
DP Scalar, % from DP FP;21.20
Non-FP, % of uOps;88.80
FP Arith/Mem Rd Instr. Ratio;0.81
FP Arith/Mem Wr Instr. Ratio;1.55
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         2132.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         2132.00
Per rank
Peak resident set size,MB;          136.00
Peak resident set rank;11
Average resident set size,MB;          133.25
Virtual
Per node
Peak memory consumption,MB;        64984.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        64984.00
Per rank
Peak memory consumption,MB;         4067.00
Peak memory consumption rank;4
Average memory consumption,MB;         4061.50
