Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:46:50
Number of ranks;2
Ranks per node;2
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987267
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.timer_2n_1ont_32k_aps
Elapsed Time, s;1.64
SP GFLOPS;1.20
DP GFLOPS;0.61
Average CPU Frequency, GHz;                      1.31
Instructions Per Cycle Rate;0.86
MPI Time, s;0.70
MPI Time, % of Elapsed Time;42.77
MPI Imbalance, s;0.00
MPI Imbalance, % of Elapsed Time;0.16

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.67
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;40.80
MPI Hotspot 2 - MPI_Bcast, s;0.01
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;0.67
MPI Hotspot 3 - MPI_Wait, s;0.01
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;0.49
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.27
MPI Hotspot 5 - MPI_Sendrecv, s;0.00
MPI Hotspot 5 - MPI_Sendrecv, % of Elapsed Time;0.24
Memory Stalls, % of Pipeline Slots;21.50
Cache Stalls, % of Cycles;23.40
DRAM Stalls, % of Cycles;4.90
DRAM Bandwidth Peak, GB/s;7.82
DRAM Bandwidth Average, GB/s;1.02
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;8.10
Vectorization, %;44.30
SP FLOPs, % of uOps;1.80
Packed, % from SP FP;56.20
SP 128-bit, %;0.00
SP 256-bit, %;4.20
SP 512-bit, %;52.00
SP Scalar, % from SP FP;43.80
DP FLOPs, % of uOps;2.40
DP Packed, % from DP FP;35.30
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;35.30
DP Scalar, % from DP FP;64.70
Non-FP, % of uOps;95.70
FP Arith/Mem Rd Instr. Ratio;0.21
FP Arith/Mem Wr Instr. Ratio;0.40
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          831.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          831.00
Per rank
Peak resident set size,MB;          416.00
Peak resident set rank;1
Average resident set size,MB;          415.50
Virtual
Per node
Peak memory consumption,MB;         6730.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;         6730.00
Per rank
Peak memory consumption,MB;         3365.00
Peak memory consumption rank;1
Average memory consumption,MB;         3365.00
