Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:57:06
Number of ranks;2
Ranks per node;2
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987153
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_2n_1ont_256k_aps
Elapsed Time, s;5.12
SP GFLOPS;2.50
DP GFLOPS;1.30
Average CPU Frequency, GHz;                      1.63
Instructions Per Cycle Rate;0.98
MPI Time, s;0.79
MPI Time, % of Elapsed Time;15.46
MPI Imbalance, s;0.05
MPI Imbalance, % of Elapsed Time;0.93

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.67
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;13.01
MPI Hotspot 2 - MPI_Allreduce, s;0.05
MPI Hotspot 2 - MPI_Allreduce, % of Elapsed Time;0.97
MPI Hotspot 3 - MPI_Wait, s;0.03
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;0.65
MPI Hotspot 4 - MPI_Sendrecv, s;0.02
MPI Hotspot 4 - MPI_Sendrecv, % of Elapsed Time;0.35
MPI Hotspot 5 - MPI_Bcast, s;0.01
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;0.25
Memory Stalls, % of Pipeline Slots;20.50
Cache Stalls, % of Cycles;22.30
DRAM Stalls, % of Cycles;4.70
DRAM Bandwidth Peak, GB/s;10.98
DRAM Bandwidth Average, GB/s;1.50
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;1.20
Vectorization, %;40.50
SP FLOPs, % of uOps;3.70
Packed, % from SP FP;53.80
SP 128-bit, %;0.00
SP 256-bit, %;4.80
SP 512-bit, %;49.00
SP Scalar, % from SP FP;46.20
DP FLOPs, % of uOps;5.20
DP Packed, % from DP FP;31.10
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;31.10
DP Scalar, % from DP FP;68.90
Non-FP, % of uOps;91.10
FP Arith/Mem Rd Instr. Ratio;0.36
FP Arith/Mem Wr Instr. Ratio;0.90
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          946.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          946.00
Per rank
Peak resident set size,MB;          475.00
Peak resident set rank;0
Average resident set size,MB;          473.00
Virtual
Per node
Peak memory consumption,MB;         8866.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;         8866.00
Per rank
Peak memory consumption,MB;         4434.00
Peak memory consumption rank;1
Average memory consumption,MB;         4433.00
