Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-30 09:54:55
Number of ranks;64
Ranks per node;64
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593983888
Logical core count per node;128
Collector type;Driverless Perf per-process counting
Used statistics;./in.rhodo-e-7.scaled_864_64n_1ont_864k_aps
Elapsed Time, s;18.30
SP GFLOPS;233.50
DP GFLOPS;51.38
Average CPU Frequency, GHz;                    193.83
Instructions Per Cycle Rate;1.23
MPI Time, s;5.05
MPI Time, % of Elapsed Time;36.68
MPI Imbalance, s;0.56
MPI Imbalance, % of Elapsed Time;4.11

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;2.38
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;17.31
MPI Hotspot 2 - MPI_Send, s;1.40
MPI Hotspot 2 - MPI_Send, % of Elapsed Time;10.20
MPI Hotspot 3 - MPI_Wait, s;0.43
MPI Hotspot 3 - MPI_Wait, % of Elapsed Time;3.11
MPI Hotspot 4 - MPI_Waitany, s;0.42
MPI Hotspot 4 - MPI_Waitany, % of Elapsed Time;3.02
MPI Hotspot 5 - MPI_Allreduce, s;0.29
MPI Hotspot 5 - MPI_Allreduce, % of Elapsed Time;2.08
Memory Stalls, % of Pipeline Slots;39.59
Cache Stalls, % of Cycles;24.43
DRAM Stalls, % of Cycles;10.96
Average DRAM Bandwidth;                 N/A
NUMA, % of Remote Accesses;3.94
Vectorization, %;31.53
SP FLOPs, % of uOps;7.69
Packed, % from SP FP;92.44
SP 128-bit, %;0.00
SP 256-bit, %;16.56
SP 512-bit, %;75.87
SP Scalar, % from SP FP;7.56
DP FLOPs, % of uOps;17.45
DP Packed, % from DP FP;4.52
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;4.52
DP Scalar, % from DP FP;95.48
Non-FP, % of uOps;74.85
