Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 15:18:39
Number of ranks;2
Ranks per node;2
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.timer_2n_1ont_32k_aps
Elapsed Time, s;19.56
MPI Time, s;0.53
MPI Time, % of Elapsed Time;2.69
MPI Imbalance, s;0.01
MPI Imbalance, % of Elapsed Time;0.08

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.24
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;1.22
MPI Hotspot 2 - MPI_Wait, s;0.15
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;0.75
MPI Hotspot 3 - MPI_Allreduce, s;0.05
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;0.26
MPI Hotspot 4 - MPI_Send, s;0.05
MPI Hotspot 4 - MPI_Send, % of Elapsed Time;0.25
MPI Hotspot 5 - MPI_Waitany, s;0.02
MPI Hotspot 5 - MPI_Waitany, % of Elapsed Time;0.08
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         1000.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;         1000.00
Per rank
Peak resident set size,MB;          501.00
Peak resident set rank;0
Average resident set size,MB;          500.00
Virtual
Per node
Peak memory consumption,MB;         7026.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;         7026.00
Per rank
Peak memory consumption,MB;         3513.00
Peak memory consumption rank;1
Average memory consumption,MB;         3513.00
