Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Alltoall,MPI_Waitany,MPI_Bcast,MPI_Cart_create,MPI_Comm_size,MPI_Finalize,MPI_Comm_rank,MPI_Comm_dup,MPI_Barrier,MPI_Reduce,MPI_Wait,MPI_Sendrecv,MPI_Init,MPI_Alltoallv,MPI_Cart_get,MPI_Irecv,MPI_Allreduce,MPI_Allgather,MPI_Comm_free,MPI_Cart_rank,MPI_Send,Processes,Size
in.rhodo,55.23,8.28,51.1,44.48,47.28,0.6,517.25,0.04,28.51,2.3,0.01,0.0,0.03,0.0,0.01,0.14,0.0,36.7,0.94,8.56,0.25,0.0,0.03,20.15,0.08,0.0,0.0,2.25,32.0,2048.0
in.rhodo,63.3,17.66,55.2,40.2,42.13,1.14,704.93,0.11,29.76,1.21,0.01,0.0,0.07,0.0,0.01,0.03,0.0,25.69,0.36,20.35,0.8,0.0,0.04,20.14,0.0,0.0,0.0,1.42,64.0,2048.0
in.rhodo-e-5,5.93,4.34,5.14,0.3,0.33,0.27,2.34,0.01,4.31,2.24,0.1,0.0,0.07,0.0,0.12,0.05,0.0,14.7,0.93,62.23,0.03,0.0,0.21,7.06,0.01,0.0,0.0,7.92,2.0,32.0
in.rhodo-e-5,12.81,6.81,9.36,1.59,3.08,0.77,4.69,0.03,8.0,4.08,0.07,0.0,0.08,0.0,0.12,0.02,0.0,27.61,1.33,39.73,0.11,0.0,0.28,7.99,0.02,0.0,0.0,10.5,4.0,32.0
in.rhodo-e-5,22.4,13.05,17.21,1.96,4.05,0.88,10.25,0.07,8.74,4.7,0.1,0.0,0.11,0.0,0.11,0.01,0.0,25.65,0.92,44.88,0.09,0.0,0.31,6.26,0.02,0.0,0.0,8.02,8.0,32.0
in.rhodo-e-5,39.35,23.27,28.21,2.96,8.2,1.52,23.42,0.06,8.5,4.84,0.11,0.0,0.16,0.0,0.15,0.01,0.0,19.93,0.57,49.77,0.18,0.0,0.35,8.55,0.03,0.0,0.0,6.78,16.0,32.0
in.rhodo-e-5,71.66,58.08,60.82,3.72,7.27,2.4,105.97,0.03,3.15,3.48,0.08,0.0,0.12,0.0,0.05,0.01,0.0,6.16,0.17,78.31,0.13,0.0,0.18,5.92,0.01,0.0,0.0,2.2,32.0,32.0
in.rhodo-e-5,84.86,66.73,71.84,5.58,7.59,2.39,197.36,0.14,2.58,1.27,0.03,0.0,0.25,0.0,0.05,0.34,0.0,6.22,0.19,77.59,0.64,0.0,0.19,8.59,0.02,0.0,0.0,1.91,64.0,32.0
in.rhodo-e-5,4.73,2.75,3.75,0.38,0.39,0.36,2.31,0.05,5.14,2.67,0.11,0.0,0.08,0.0,0.14,0.06,0.0,12.36,0.48,67.32,0.11,0.0,0.08,5.73,0.01,0.0,0.0,5.64,2.0,256.0
in.rhodo-e-5,8.46,4.96,5.95,1.6,3.86,0.59,3.87,0.21,4.42,7.09,0.13,0.0,0.14,0.0,0.15,0.04,0.0,12.63,0.9,40.96,0.19,0.0,0.13,8.42,0.02,0.0,0.0,24.56,4.0,256.0
in.rhodo-e-5,20.35,10.69,13.73,1.88,2.5,1.34,10.3,0.14,5.88,6.25,0.12,0.0,0.12,0.0,0.1,0.03,0.0,13.24,0.69,60.52,0.18,0.0,0.11,6.39,0.03,0.0,0.0,6.18,8.0,256.0
in.rhodo-e-5,36.87,20.7,25.05,2.86,6.44,1.38,25.06,0.1,4.11,5.5,0.14,0.0,0.15,0.0,0.15,0.02,0.0,11.56,0.53,67.76,0.28,0.0,0.1,5.04,0.03,0.0,0.0,4.53,16.0,256.0
