Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 13:57:18
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987063
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chain.scaled.timer_4n_1ont_256k_aps
Elapsed Time, s;3.15
SP GFLOPS;4.38
DP GFLOPS;2.44
Average CPU Frequency, GHz;                      1.76
Instructions Per Cycle Rate;1.09
MPI Time, s;0.50
MPI Time, % of Elapsed Time;15.77
MPI Imbalance, s;0.14
MPI Imbalance, % of Elapsed Time;4.30

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;0.28
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;8.90
MPI Hotspot 2 - MPI_Wait, s;0.06
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;1.83
MPI Hotspot 3 - MPI_Allreduce, s;0.05
MPI Hotspot 3 - MPI_Allreduce, % of Elapsed Time;1.57
MPI Hotspot 4 - MPI_Sendrecv, s;0.05
MPI Hotspot 4 - MPI_Sendrecv, % of Elapsed Time;1.48
MPI Hotspot 5 - MPI_Bcast, s;0.05
MPI Hotspot 5 - MPI_Bcast, % of Elapsed Time;1.47
Memory Stalls, % of Pipeline Slots;19.80
Cache Stalls, % of Cycles;22.10
DRAM Stalls, % of Cycles;4.30
DRAM Bandwidth Peak, GB/s;24.22
DRAM Bandwidth Average, GB/s;2.40
DRAM Bandwidth Bound, %;0.00
NUMA, % of Remote Accesses;1.90
Vectorization, %;42.50
SP FLOPs, % of uOps;4.00
Packed, % from SP FP;54.90
SP 128-bit, %;0.00
SP 256-bit, %;2.30
SP 512-bit, %;52.70
SP Scalar, % from SP FP;45.10
DP FLOPs, % of uOps;5.90
DP Packed, % from DP FP;34.20
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;34.20
DP Scalar, % from DP FP;65.80
Non-FP, % of uOps;90.10
FP Arith/Mem Rd Instr. Ratio;0.37
FP Arith/Mem Wr Instr. Ratio;0.97
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;          656.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;          656.00
Per rank
Peak resident set size,MB;          169.00
Peak resident set rank;0
Average resident set size,MB;          164.00
Virtual
Per node
Peak memory consumption,MB;        14009.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;        14009.00
Per rank
Peak memory consumption,MB;         3504.00
Peak memory consumption rank;3
Average memory consumption,MB;         3502.25
